RULE_ID,RULE_TYPE,SOURCE_ZONES,DEST_ZONES,ALLOWED_PORTS,REQUIRES,LOGGING,REMARK,misconfig_prob,is_misconfigured,last_changed_by,last_changed_on,change_complexity
RULE_00030,allow,PARTNER_VPN,OT,"80,443",none,False,auto generated allow rule,0.331,True,netadmin,2025-10-31,medium
RULE_00031,cloud_boundary,PARTNER_VPN,MGMT,"80,443",mfa,True,auto generated cloud_boundary rule,0.161,False,audit_bot,2023-09-27,low
RULE_00032,segmentation,CLOUD,SERVER_LAN,"8080,8443",none,False,auto generated segmentation rule,0.033,False,netadmin,2023-01-13,high
RULE_00033,segmentation,MGMT,DMZ,3306,tls,False,auto generated segmentation rule,0.013,False,secops,2025-05-14,low
RULE_00034,cloud_boundary,SERVER_LAN,EXTERNAL,22,vpn,False,auto generated cloud_boundary rule,0.155,False,netadmin,2025-07-30,medium
RULE_00035,cloud_boundary,MGMT,EXTERNAL,restricted,none,False,auto generated cloud_boundary rule,0.322,True,auto_gen,2024-05-24,medium
RULE_00036,monitor,EXTERNAL,DMZ,restricted,vpn,True,auto generated monitor rule,0.282,True,secops,2025-02-12,low
RULE_00037,allow,CLOUD,MGMT,restricted,tls,True,auto generated allow rule,0.124,False,auto_gen,2023-01-30,medium
RULE_00038,cloud_boundary,SERVER_LAN,SERVER_LAN,"80,443",vpn,True,auto generated cloud_boundary rule,0.287,True,netadmin,2024-10-03,high
RULE_00039,cloud_boundary,CLOUD,MGMT,"80,443",tls,False,auto generated cloud_boundary rule,0.115,False,netadmin,2025-09-23,medium
RULE_00040,segmentation,PARTNER_VPN,SERVER_LAN,"80,443",tls,False,auto generated segmentation rule,0.014,False,netadmin,2025-09-09,low
RULE_00041,segmentation,USER_LAN,PARTNER_VPN,restricted,tls,True,auto generated segmentation rule,0.241,False,audit_bot,2025-11-07,medium
RULE_00042,allow,MGMT,SERVER_LAN,any,tls,True,auto generated allow rule,0.318,True,cloud_admin,2023-09-07,high
RULE_00043,segmentation,EXTERNAL,SERVER_LAN,3306,none,True,auto generated segmentation rule,0.03,False,netadmin,2025-03-31,medium
RULE_00044,cloud_boundary,OT,OT,"80,443",mfa,True,auto generated cloud_boundary rule,0.052,False,cloud_admin,2025-03-31,high
RULE_00045,allow,EXTERNAL,SERVER_LAN,any,tls,False,auto generated allow rule,0.22,False,netadmin,2025-06-13,medium
RULE_00046,segmentation,USER_LAN,CLOUD,"80,443",mfa,True,auto generated segmentation rule,0.31,True,secops,2025-08-04,high
RULE_00047,allow,CLOUD,CLOUD,"8080,8443",mfa,False,auto generated allow rule,0.31,True,audit_bot,2024-01-17,low
RULE_00048,monitor,OT,PARTNER_VPN,53,none,False,auto generated monitor rule,0.286,True,auto_gen,2022-12-26,high
RULE_00049,segmentation,DMZ,SERVER_LAN,3306,none,True,auto generated segmentation rule,0.179,False,auto_gen,2024-08-29,low
RULE_00050,cloud_boundary,EXTERNAL,SERVER_LAN,53,tls,False,auto generated cloud_boundary rule,0.18,False,auto_gen,2025-12-17,high
RULE_00051,monitor,PARTNER_VPN,USER_LAN,"80,443",tls,True,auto generated monitor rule,0.21,False,cloud_admin,2025-05-08,medium
RULE_00052,allow,CLOUD,MGMT,"8080,8443",tls,False,auto generated allow rule,0.113,False,cloud_admin,2024-12-08,high
RULE_00053,allow,PARTNER_VPN,USER_LAN,3306,mfa,True,auto generated allow rule,0.251,False,cloud_admin,2022-12-05,low
RULE_00054,segmentation,OT,PARTNER_VPN,22,none,False,auto generated segmentation rule,0.338,True,audit_bot,2023-05-12,high
RULE_00055,cloud_boundary,SERVER_LAN,SERVER_LAN,"80,443",vpn,False,auto generated cloud_boundary rule,0.273,False,audit_bot,2023-10-14,medium
RULE_00056,allow,MGMT,MGMT,53,tls,True,auto generated allow rule,0.251,False,secops,2024-02-11,low
RULE_00057,segmentation,OT,DMZ,any,mfa,True,auto generated segmentation rule,0.086,False,secops,2024-11-21,high
RULE_00058,segmentation,SERVER_LAN,DMZ,restricted,mfa,True,auto generated segmentation rule,0.056,False,secops,2022-10-12,high
RULE_00059,allow,PARTNER_VPN,USER_LAN,"8080,8443",mfa,True,auto generated allow rule,0.027,False,audit_bot,2024-02-24,high
RULE_00060,deny,PARTNER_VPN,OT,53,none,False,auto generated deny rule,0.375,True,cloud_admin,2024-05-14,low
RULE_00061,allow,CLOUD,MGMT,restricted,tls,False,auto generated allow rule,0.034,False,secops,2024-09-11,low
RULE_00062,deny,DMZ,EXTERNAL,53,tls,True,auto generated deny rule,0.067,False,netadmin,2023-01-16,medium
RULE_00063,monitor,SERVER_LAN,CLOUD,3306,vpn,False,auto generated monitor rule,0.199,False,netadmin,2023-11-04,low
RULE_00064,cloud_boundary,OT,EXTERNAL,53,tls,False,auto generated cloud_boundary rule,0.341,True,cloud_admin,2025-03-31,medium
RULE_00065,monitor,USER_LAN,EXTERNAL,"8080,8443",tls,False,auto generated monitor rule,0.315,True,audit_bot,2024-03-17,medium
RULE_00066,allow,OT,EXTERNAL,restricted,tls,False,auto generated allow rule,0.309,True,secops,2024-06-17,medium
RULE_00067,cloud_boundary,EXTERNAL,PARTNER_VPN,22,tls,False,auto generated cloud_boundary rule,0.214,False,auto_gen,2023-11-21,medium
RULE_00068,deny,PARTNER_VPN,USER_LAN,"8080,8443",none,True,auto generated deny rule,0.051,False,secops,2023-12-21,medium
RULE_00069,deny,EXTERNAL,OT,any,none,False,auto generated deny rule,0.263,False,auto_gen,2024-07-12,high
RULE_00070,monitor,PARTNER_VPN,CLOUD,22,tls,True,auto generated monitor rule,0.355,True,auto_gen,2025-02-15,low
RULE_00071,cloud_boundary,MGMT,USER_LAN,22,tls,False,auto generated cloud_boundary rule,0.069,False,secops,2024-08-04,low
RULE_00072,cloud_boundary,PARTNER_VPN,EXTERNAL,"8080,8443",none,False,auto generated cloud_boundary rule,0.344,True,netadmin,2025-05-08,high
RULE_00073,monitor,SERVER_LAN,CLOUD,3306,tls,False,auto generated monitor rule,0.167,False,netadmin,2024-09-23,high
RULE_00074,deny,USER_LAN,OT,"8080,8443",none,True,auto generated deny rule,0.18,False,netadmin,2023-09-08,high
RULE_00075,segmentation,PARTNER_VPN,USER_LAN,any,mfa,False,auto generated segmentation rule,0.364,True,netadmin,2025-05-30,medium
RULE_00076,monitor,PARTNER_VPN,CLOUD,22,none,False,auto generated monitor rule,0.353,True,auto_gen,2023-01-06,high
RULE_00077,allow,DMZ,DMZ,"8080,8443",vpn,False,auto generated allow rule,0.327,True,cloud_admin,2023-06-09,medium
RULE_00078,deny,PARTNER_VPN,OT,restricted,mfa,False,auto generated deny rule,0.192,False,audit_bot,2025-10-18,low
RULE_00079,deny,DMZ,PARTNER_VPN,22,tls,False,auto generated deny rule,0.251,False,audit_bot,2023-09-13,high
RULE_00080,deny,EXTERNAL,OT,"80,443",vpn,False,auto generated deny rule,0.213,False,netadmin,2025-11-10,high
RULE_00081,allow,USER_LAN,SERVER_LAN,22,tls,False,auto generated allow rule,0.279,False,secops,2022-11-19,medium
RULE_00082,deny,DMZ,EXTERNAL,22,tls,True,auto generated deny rule,0.213,False,cloud_admin,2025-06-22,low
RULE_00083,deny,PARTNER_VPN,CLOUD,22,vpn,False,auto generated deny rule,0.296,True,secops,2023-10-21,low
RULE_00084,deny,MGMT,MGMT,"8080,8443",tls,False,auto generated deny rule,0.121,False,cloud_admin,2024-02-25,low
RULE_00085,allow,DMZ,SERVER_LAN,any,none,True,auto generated allow rule,0.255,False,auto_gen,2023-02-07,low
RULE_00086,cloud_boundary,PARTNER_VPN,EXTERNAL,any,none,False,auto generated cloud_boundary rule,0.163,False,netadmin,2025-12-01,high
RULE_00087,allow,MGMT,PARTNER_VPN,22,tls,True,auto generated allow rule,0.191,False,secops,2024-07-26,low
RULE_00088,deny,OT,EXTERNAL,3306,tls,False,auto generated deny rule,0.198,False,auto_gen,2025-06-20,high
RULE_00089,deny,MGMT,CLOUD,22,none,True,auto generated deny rule,0.092,False,secops,2024-07-03,high
RULE_00090,deny,MGMT,OT,restricted,none,True,auto generated deny rule,0.215,False,netadmin,2024-03-20,medium
RULE_00091,segmentation,CLOUD,SERVER_LAN,3306,tls,True,auto generated segmentation rule,0.103,False,netadmin,2025-07-19,low
RULE_00092,monitor,USER_LAN,OT,restricted,tls,True,auto generated monitor rule,0.155,False,secops,2023-01-07,low
RULE_00093,deny,CLOUD,DMZ,22,tls,False,auto generated deny rule,0.374,True,netadmin,2024-12-19,high
RULE_00094,deny,USER_LAN,USER_LAN,restricted,vpn,True,auto generated deny rule,0.057,False,auto_gen,2023-07-15,medium
RULE_00095,allow,SERVER_LAN,DMZ,restricted,tls,True,auto generated allow rule,0.363,True,cloud_admin,2025-08-21,medium
RULE_00096,cloud_boundary,CLOUD,SERVER_LAN,22,none,False,auto generated cloud_boundary rule,0.26,False,netadmin,2022-12-19,medium
RULE_00097,monitor,MGMT,USER_LAN,"80,443",vpn,True,auto generated monitor rule,0.128,False,audit_bot,2024-09-13,low
RULE_00098,allow,DMZ,CLOUD,22,vpn,False,auto generated allow rule,0.321,True,audit_bot,2024-01-09,high
RULE_00099,allow,MGMT,USER_LAN,restricted,none,False,auto generated allow rule,0.294,True,netadmin,2023-11-04,low
RULE_00100,deny,PARTNER_VPN,EXTERNAL,53,tls,True,auto generated deny rule,0.12,False,netadmin,2025-03-17,high
RULE_00101,monitor,USER_LAN,SERVER_LAN,restricted,mfa,True,auto generated monitor rule,0.082,False,audit_bot,2024-06-05,low
RULE_00102,segmentation,OT,MGMT,restricted,tls,True,auto generated segmentation rule,0.371,True,secops,2023-09-06,low
RULE_00103,segmentation,DMZ,SERVER_LAN,22,none,True,auto generated segmentation rule,0.184,False,auto_gen,2025-11-03,high
RULE_00104,cloud_boundary,USER_LAN,OT,any,none,True,auto generated cloud_boundary rule,0.339,True,netadmin,2024-08-21,low
RULE_00105,cloud_boundary,PARTNER_VPN,EXTERNAL,any,tls,False,auto generated cloud_boundary rule,0.265,False,netadmin,2023-03-16,high
RULE_00106,monitor,PARTNER_VPN,OT,"80,443",tls,False,auto generated monitor rule,0.202,False,cloud_admin,2025-03-15,high
RULE_00107,deny,SERVER_LAN,EXTERNAL,22,mfa,True,auto generated deny rule,0.043,False,secops,2024-03-19,high
RULE_00108,monitor,SERVER_LAN,PARTNER_VPN,22,vpn,False,auto generated monitor rule,0.006,False,netadmin,2024-06-28,medium
RULE_00109,allow,PARTNER_VPN,MGMT,"80,443",vpn,False,auto generated allow rule,0.115,False,secops,2024-07-11,medium
RULE_00110,deny,DMZ,DMZ,53,mfa,True,auto generated deny rule,0.278,False,auto_gen,2023-10-05,low
RULE_00111,cloud_boundary,SERVER_LAN,EXTERNAL,3306,mfa,True,auto generated cloud_boundary rule,0.272,False,auto_gen,2024-08-23,medium
RULE_00112,deny,MGMT,CLOUD,any,none,False,auto generated deny rule,0.053,False,audit_bot,2023-01-12,high
RULE_00113,deny,SERVER_LAN,OT,"8080,8443",tls,True,auto generated deny rule,0.191,False,cloud_admin,2023-02-21,low
RULE_00114,cloud_boundary,EXTERNAL,PARTNER_VPN,53,tls,True,auto generated cloud_boundary rule,0.11,False,auto_gen,2024-04-11,medium
RULE_00115,allow,DMZ,MGMT,"80,443",none,False,auto generated allow rule,0.232,False,auto_gen,2024-03-07,high
RULE_00116,cloud_boundary,MGMT,USER_LAN,any,mfa,False,auto generated cloud_boundary rule,0.204,False,netadmin,2024-12-27,medium
RULE_00117,deny,DMZ,CLOUD,restricted,none,True,auto generated deny rule,0.359,True,secops,2025-09-23,medium
RULE_00118,deny,MGMT,CLOUD,"80,443",none,False,auto generated deny rule,0.137,False,audit_bot,2022-09-10,high
RULE_00119,cloud_boundary,MGMT,EXTERNAL,22,vpn,True,auto generated cloud_boundary rule,0.044,False,secops,2025-01-24,low
RULE_00120,cloud_boundary,USER_LAN,DMZ,22,vpn,True,auto generated cloud_boundary rule,0.169,False,cloud_admin,2023-10-15,low
RULE_00121,deny,EXTERNAL,PARTNER_VPN,any,mfa,True,auto generated deny rule,0.255,False,secops,2024-06-01,high
RULE_00122,segmentation,EXTERNAL,SERVER_LAN,"8080,8443",none,False,auto generated segmentation rule,0.043,False,netadmin,2024-04-27,high
RULE_00123,allow,EXTERNAL,USER_LAN,any,none,False,auto generated allow rule,0.128,False,secops,2025-06-08,low
RULE_00124,allow,SERVER_LAN,MGMT,"80,443",mfa,True,auto generated allow rule,0.232,False,secops,2023-01-03,medium
RULE_00125,monitor,MGMT,DMZ,"80,443",vpn,True,auto generated monitor rule,0.147,False,auto_gen,2023-07-05,low
RULE_00126,segmentation,CLOUD,PARTNER_VPN,53,tls,False,auto generated segmentation rule,0.225,False,secops,2025-01-08,high
RULE_00127,segmentation,CLOUD,DMZ,3306,vpn,False,auto generated segmentation rule,0.399,True,secops,2024-12-05,low
RULE_00128,monitor,DMZ,OT,22,tls,True,auto generated monitor rule,0.149,False,audit_bot,2023-04-21,high
RULE_00129,segmentation,CLOUD,MGMT,53,vpn,False,auto generated segmentation rule,0.355,True,auto_gen,2024-06-18,medium
RULE_00130,allow,CLOUD,CLOUD,"80,443",tls,False,auto generated allow rule,0.142,False,cloud_admin,2024-02-08,high
RULE_00131,cloud_boundary,PARTNER_VPN,OT,53,vpn,True,auto generated cloud_boundary rule,0.29,True,auto_gen,2025-04-27,low
RULE_00132,monitor,CLOUD,PARTNER_VPN,any,none,False,auto generated monitor rule,0.245,False,audit_bot,2024-06-11,high
RULE_00133,deny,CLOUD,SERVER_LAN,restricted,none,False,auto generated deny rule,0.02,False,auto_gen,2024-03-08,high
RULE_00134,segmentation,SERVER_LAN,EXTERNAL,any,tls,True,auto generated segmentation rule,0.215,False,secops,2024-08-01,high
RULE_00135,cloud_boundary,SERVER_LAN,MGMT,any,vpn,True,auto generated cloud_boundary rule,0.351,True,netadmin,2025-02-11,medium
RULE_00136,allow,SERVER_LAN,SERVER_LAN,22,mfa,False,auto generated allow rule,0.209,False,secops,2023-07-27,low
RULE_00137,cloud_boundary,OT,OT,"8080,8443",mfa,True,auto generated cloud_boundary rule,0.005,False,netadmin,2024-04-13,low
RULE_00138,deny,SERVER_LAN,MGMT,3306,vpn,False,auto generated deny rule,0.33,True,auto_gen,2025-10-29,medium
RULE_00139,cloud_boundary,SERVER_LAN,PARTNER_VPN,53,mfa,True,auto generated cloud_boundary rule,0.088,False,cloud_admin,2023-07-14,high
RULE_00140,segmentation,USER_LAN,PARTNER_VPN,"80,443",tls,False,auto generated segmentation rule,0.316,True,cloud_admin,2025-06-17,low
RULE_00141,deny,CLOUD,DMZ,restricted,mfa,False,auto generated deny rule,0.376,True,netadmin,2022-11-09,medium
RULE_00142,monitor,USER_LAN,OT,"80,443",tls,False,auto generated monitor rule,0.005,False,cloud_admin,2022-11-07,low
RULE_00143,allow,DMZ,EXTERNAL,3306,none,True,auto generated allow rule,0.03,False,cloud_admin,2022-11-29,low
RULE_00144,deny,PARTNER_VPN,DMZ,restricted,none,True,auto generated deny rule,0.285,True,cloud_admin,2024-05-29,high
RULE_00145,monitor,DMZ,MGMT,any,none,False,auto generated monitor rule,0.11,False,cloud_admin,2023-09-04,low
RULE_00146,deny,USER_LAN,SERVER_LAN,53,mfa,True,auto generated deny rule,0.313,True,netadmin,2025-04-26,low
RULE_00147,segmentation,DMZ,OT,any,none,False,auto generated segmentation rule,0.384,True,netadmin,2023-01-17,high
RULE_00148,deny,EXTERNAL,DMZ,"80,443",vpn,False,auto generated deny rule,0.033,False,auto_gen,2023-06-02,medium
RULE_00149,allow,USER_LAN,CLOUD,any,mfa,True,auto generated allow rule,0.16,False,auto_gen,2024-08-14,medium
RULE_00150,cloud_boundary,EXTERNAL,DMZ,53,none,False,auto generated cloud_boundary rule,0.02,False,auto_gen,2025-06-18,high
RULE_00151,deny,MGMT,OT,any,none,False,auto generated deny rule,0.396,True,auto_gen,2025-10-21,low
RULE_00152,monitor,MGMT,USER_LAN,22,tls,True,auto generated monitor rule,0.039,False,cloud_admin,2023-02-08,medium
RULE_00153,segmentation,CLOUD,OT,3306,none,False,auto generated segmentation rule,0.248,False,auto_gen,2023-03-02,high
RULE_00154,monitor,DMZ,USER_LAN,"80,443",mfa,True,auto generated monitor rule,0.141,False,netadmin,2022-10-22,high
RULE_00155,monitor,CLOUD,OT,"8080,8443",vpn,True,auto generated monitor rule,0.026,False,auto_gen,2024-07-21,low
RULE_00156,segmentation,OT,USER_LAN,restricted,mfa,False,auto generated segmentation rule,0.293,True,audit_bot,2025-08-26,medium
RULE_00157,allow,EXTERNAL,MGMT,any,mfa,False,auto generated allow rule,0.255,False,auto_gen,2022-10-21,low
RULE_00158,segmentation,EXTERNAL,MGMT,restricted,vpn,True,auto generated segmentation rule,0.01,False,audit_bot,2025-09-13,medium
RULE_00159,cloud_boundary,CLOUD,SERVER_LAN,22,mfa,False,auto generated cloud_boundary rule,0.179,False,auto_gen,2023-09-22,low
RULE_00160,monitor,EXTERNAL,MGMT,53,vpn,False,auto generated monitor rule,0.258,False,netadmin,2022-12-07,medium
RULE_00161,monitor,SERVER_LAN,SERVER_LAN,"8080,8443",mfa,False,auto generated monitor rule,0.001,False,cloud_admin,2025-03-06,high
RULE_00162,cloud_boundary,PARTNER_VPN,PARTNER_VPN,"8080,8443",none,False,auto generated cloud_boundary rule,0.378,True,netadmin,2023-03-02,low
RULE_00163,monitor,CLOUD,CLOUD,22,tls,True,auto generated monitor rule,0.273,False,netadmin,2025-02-13,high
RULE_00164,monitor,OT,MGMT,restricted,mfa,True,auto generated monitor rule,0.372,True,auto_gen,2025-02-26,medium
RULE_00165,monitor,USER_LAN,OT,"8080,8443",vpn,False,auto generated monitor rule,0.171,False,audit_bot,2023-03-29,high
RULE_00166,segmentation,CLOUD,OT,22,tls,True,auto generated segmentation rule,0.001,False,auto_gen,2025-09-13,medium
RULE_00167,allow,USER_LAN,USER_LAN,any,none,False,auto generated allow rule,0.285,True,cloud_admin,2025-07-01,medium
RULE_00168,allow,PARTNER_VPN,SERVER_LAN,"8080,8443",none,False,auto generated allow rule,0.129,False,audit_bot,2025-03-10,low
RULE_00169,deny,SERVER_LAN,CLOUD,"80,443",mfa,False,auto generated deny rule,0.329,True,cloud_admin,2022-09-29,high
RULE_00170,segmentation,EXTERNAL,PARTNER_VPN,22,mfa,False,auto generated segmentation rule,0.207,False,audit_bot,2024-05-24,medium
RULE_00171,deny,SERVER_LAN,CLOUD,any,mfa,True,auto generated deny rule,0.39,True,audit_bot,2025-11-15,high
RULE_00172,segmentation,DMZ,SERVER_LAN,"8080,8443",vpn,True,auto generated segmentation rule,0.34,True,audit_bot,2023-10-07,medium
RULE_00173,segmentation,EXTERNAL,MGMT,22,mfa,True,auto generated segmentation rule,0.015,False,audit_bot,2023-09-16,low
RULE_00174,deny,USER_LAN,EXTERNAL,53,tls,True,auto generated deny rule,0.004,False,auto_gen,2025-07-30,low
RULE_00175,monitor,EXTERNAL,OT,22,mfa,True,auto generated monitor rule,0.167,False,auto_gen,2025-08-21,high
RULE_00176,allow,USER_LAN,CLOUD,restricted,tls,False,auto generated allow rule,0.077,False,audit_bot,2024-08-17,low
RULE_00177,segmentation,DMZ,PARTNER_VPN,22,vpn,False,auto generated segmentation rule,0.128,False,netadmin,2023-01-27,low
RULE_00178,deny,MGMT,USER_LAN,any,vpn,False,auto generated deny rule,0.323,True,secops,2025-04-24,medium
RULE_00179,cloud_boundary,CLOUD,EXTERNAL,"8080,8443",tls,False,auto generated cloud_boundary rule,0.276,False,netadmin,2022-09-07,high
RULE_00180,allow,CLOUD,CLOUD,any,mfa,False,auto generated allow rule,0.216,False,audit_bot,2025-12-13,high
RULE_00181,deny,SERVER_LAN,OT,"8080,8443",mfa,False,auto generated deny rule,0.333,True,auto_gen,2023-06-01,high
RULE_00182,monitor,EXTERNAL,EXTERNAL,22,mfa,True,auto generated monitor rule,0.017,False,secops,2024-02-01,low
RULE_00183,cloud_boundary,DMZ,DMZ,53,tls,False,auto generated cloud_boundary rule,0.355,True,audit_bot,2024-12-06,high
RULE_00184,allow,OT,EXTERNAL,22,mfa,True,auto generated allow rule,0.354,True,audit_bot,2025-07-02,medium
RULE_00185,segmentation,USER_LAN,SERVER_LAN,any,vpn,True,auto generated segmentation rule,0.027,False,auto_gen,2025-01-07,high
RULE_00186,monitor,CLOUD,USER_LAN,3306,mfa,True,auto generated monitor rule,0.126,False,cloud_admin,2025-11-09,low
RULE_00187,cloud_boundary,PARTNER_VPN,EXTERNAL,any,tls,False,auto generated cloud_boundary rule,0.124,False,auto_gen,2025-09-03,medium
RULE_00188,allow,OT,OT,"8080,8443",none,False,auto generated allow rule,0.018,False,cloud_admin,2025-04-21,high
RULE_00189,allow,OT,PARTNER_VPN,"8080,8443",vpn,True,auto generated allow rule,0.131,False,audit_bot,2023-04-04,low
RULE_00190,allow,CLOUD,OT,22,vpn,False,auto generated allow rule,0.116,False,audit_bot,2023-06-22,low
RULE_00191,cloud_boundary,SERVER_LAN,OT,"80,443",none,False,auto generated cloud_boundary rule,0.209,False,netadmin,2024-10-20,medium
RULE_00192,deny,EXTERNAL,CLOUD,22,tls,True,auto generated deny rule,0.302,True,audit_bot,2023-10-05,high
RULE_00193,segmentation,EXTERNAL,CLOUD,"8080,8443",none,False,auto generated segmentation rule,0.258,False,netadmin,2023-11-17,low
RULE_00194,segmentation,OT,SERVER_LAN,any,vpn,True,auto generated segmentation rule,0.326,True,cloud_admin,2025-06-25,low
RULE_00195,cloud_boundary,SERVER_LAN,MGMT,"80,443",mfa,True,auto generated cloud_boundary rule,0.302,True,secops,2025-01-28,high
RULE_00196,cloud_boundary,SERVER_LAN,EXTERNAL,"8080,8443",tls,True,auto generated cloud_boundary rule,0.174,False,secops,2025-05-19,medium
RULE_00197,cloud_boundary,MGMT,EXTERNAL,22,none,True,auto generated cloud_boundary rule,0.172,False,cloud_admin,2024-07-10,high
RULE_00198,deny,CLOUD,SERVER_LAN,3306,mfa,False,auto generated deny rule,0.235,False,netadmin,2024-06-16,low
RULE_00199,allow,MGMT,USER_LAN,"80,443",mfa,True,auto generated allow rule,0.174,False,audit_bot,2025-08-10,low
RULE_00200,deny,PARTNER_VPN,CLOUD,restricted,none,True,auto generated deny rule,0.307,True,netadmin,2024-04-13,medium
RULE_00201,segmentation,MGMT,USER_LAN,"80,443",tls,True,auto generated segmentation rule,0.2,False,netadmin,2024-05-04,high
RULE_00202,allow,PARTNER_VPN,DMZ,22,none,True,auto generated allow rule,0.001,False,auto_gen,2024-04-26,low
RULE_00203,deny,PARTNER_VPN,DMZ,53,none,True,auto generated deny rule,0.11,False,secops,2023-10-08,high
RULE_00204,cloud_boundary,PARTNER_VPN,PARTNER_VPN,restricted,tls,False,auto generated cloud_boundary rule,0.006,False,auto_gen,2023-11-23,medium
RULE_00205,segmentation,USER_LAN,PARTNER_VPN,any,none,True,auto generated segmentation rule,0.273,False,auto_gen,2023-10-31,high
RULE_00206,deny,USER_LAN,DMZ,53,none,True,auto generated deny rule,0.222,False,cloud_admin,2024-04-05,high
RULE_00207,allow,SERVER_LAN,OT,restricted,tls,True,auto generated allow rule,0.267,False,secops,2023-05-06,medium
RULE_00208,monitor,USER_LAN,EXTERNAL,3306,vpn,True,auto generated monitor rule,0.292,True,audit_bot,2023-07-22,low
RULE_00209,deny,DMZ,OT,restricted,mfa,False,auto generated deny rule,0.168,False,netadmin,2023-07-20,low
RULE_00210,cloud_boundary,USER_LAN,SERVER_LAN,restricted,mfa,False,auto generated cloud_boundary rule,0.084,False,audit_bot,2025-10-28,low
RULE_00211,segmentation,USER_LAN,SERVER_LAN,53,tls,False,auto generated segmentation rule,0.294,True,cloud_admin,2024-04-13,medium
RULE_00212,allow,MGMT,PARTNER_VPN,"8080,8443",mfa,False,auto generated allow rule,0.294,True,secops,2023-11-05,low
