account_id,provider,tenant_id,account_type,owner_identity,criticality
CA00103,Oracle,oci-49494,read_only_account,ID_00129,1
CA00104,AWS,aws-16955,billing_account,ID_01511,4
CA00105,Azure,az-58753,automation_account,ID_01513,4
CA00106,GCP,gcp-82918,read_only_account,ID_00482,1
CA00107,Azure,az-20256,read_only_account,ID_01458,3
CA00108,GCP,gcp-21391,service_account,ID_00332,3
CA00109,AWS,aws-17783,read_only_account,ID_00671,3
CA00110,AWS,aws-88473,human_user,ID_00858,1
CA00111,GCP,gcp-39577,service_account,ID_00722,3
CA00112,AWS,aws-26650,automation_account,ID_00106,4
CA00113,Oracle,oci-73524,admin_account,ID_01879,4
CA00114,Azure,az-47134,human_user,ID_01536,1
CA00115,AWS,aws-52912,admin_account,ID_01864,4
CA00116,AWS,aws-30243,read_only_account,ID_00974,2
CA00117,DigitalOcean,do-51735,automation_account,ID_01522,4
CA00118,Azure,az-71577,service_account,ID_01781,3
CA00119,AWS,aws-38176,billing_account,ID_01513,4
CA00120,DigitalOcean,do-67725,billing_account,ID_00107,5
CA00121,Oracle,oci-64534,service_account,ID_01057,3
CA00122,Azure,az-96163,billing_account,ID_01306,4
CA00123,GCP,gcp-64418,service_account,ID_00079,4
CA00124,AWS,aws-70047,billing_account,ID_01142,5
CA00125,AWS,aws-77363,service_account,ID_00147,3
CA00126,Oracle,oci-27379,service_account,ID_00384,4
CA00127,GCP,gcp-19465,service_account,ID_01386,4
CA00128,Oracle,oci-60959,human_user,ID_00852,3
CA00129,GCP,gcp-80238,human_user,ID_00217,3
CA00130,GCP,gcp-88474,human_user,ID_01090,1
CA00131,DigitalOcean,do-54095,service_account,ID_00412,3
CA00132,Azure,az-86549,admin_account,ID_00600,5
CA00133,DigitalOcean,do-83301,human_user,ID_00013,1
CA00134,Azure,az-78728,automation_account,ID_01221,4
CA00135,Azure,az-30000,billing_account,ID_01803,5
CA00136,AWS,aws-86169,human_user,ID_00568,1
CA00137,Oracle,oci-44939,read_only_account,ID_00271,1
CA00138,DigitalOcean,do-53175,human_user,ID_00113,3
CA00139,Azure,az-13322,read_only_account,ID_01976,1
CA00140,DigitalOcean,do-65347,human_user,ID_01833,2
CA00141,GCP,gcp-29701,admin_account,ID_00112,5
CA00142,Oracle,oci-72008,automation_account,ID_00185,3
CA00143,Azure,az-42291,human_user,ID_01241,2
CA00144,DigitalOcean,do-20023,admin_account,ID_01922,4
CA00145,AWS,aws-19477,billing_account,ID_01276,4
CA00146,DigitalOcean,do-94189,read_only_account,ID_01599,3
CA00147,GCP,gcp-87843,automation_account,ID_01075,3
CA00148,AWS,aws-47005,human_user,ID_01068,2
CA00149,GCP,gcp-48409,human_user,ID_00350,1
CA00150,AWS,aws-95360,admin_account,ID_01023,5
CA00151,DigitalOcean,do-90330,human_user,ID_00572,3
CA00152,Oracle,oci-16711,service_account,ID_01943,3
CA00153,AWS,aws-48798,read_only_account,ID_00024,2
CA00154,Oracle,oci-57833,billing_account,ID_00009,4
CA00155,DigitalOcean,do-97735,human_user,ID_00905,3
CA00156,Oracle,oci-48257,admin_account,ID_01811,5
CA00157,DigitalOcean,do-90940,billing_account,ID_00874,4
CA00158,DigitalOcean,do-92848,service_account,ID_01957,3
CA00159,Oracle,oci-76373,admin_account,ID_00489,4
CA00160,GCP,gcp-12720,read_only_account,ID_01498,2
CA00161,Azure,az-55380,automation_account,ID_01680,3
CA00162,DigitalOcean,do-53712,human_user,ID_00840,2
CA00163,DigitalOcean,do-90203,human_user,ID_00096,3
CA00164,AWS,aws-67667,automation_account,ID_00998,4
CA00165,AWS,aws-46283,admin_account,ID_01810,4
CA00166,AWS,aws-99821,read_only_account,ID_01790,1
CA00167,Azure,az-31228,billing_account,ID_01369,5
CA00168,DigitalOcean,do-11388,human_user,ID_01504,2
CA00169,Azure,az-39273,service_account,ID_00587,3
CA00170,DigitalOcean,do-47236,admin_account,ID_01533,5
CA00171,Oracle,oci-18503,human_user,ID_00761,1
CA00172,Oracle,oci-29801,read_only_account,ID_01623,2
CA00173,GCP,gcp-16002,billing_account,ID_00649,4
CA00174,AWS,aws-20992,automation_account,ID_00496,3
CA00175,Azure,az-33158,read_only_account,ID_01880,2
CA00176,GCP,gcp-50296,human_user,ID_01998,1
CA00177,DigitalOcean,do-91907,automation_account,ID_01893,3
CA00178,Oracle,oci-12267,billing_account,ID_00157,4
CA00179,Azure,az-80403,billing_account,ID_01715,5
CA00180,GCP,gcp-81853,billing_account,ID_00376,4
CA00181,Oracle,oci-36642,admin_account,ID_00565,5
CA00182,Oracle,oci-63699,service_account,ID_00505,4
CA00183,Oracle,oci-11410,human_user,ID_01836,1
CA00184,Azure,az-55579,admin_account,ID_00268,5
CA00185,DigitalOcean,do-15749,human_user,ID_01553,1
CA00186,Oracle,oci-33851,read_only_account,ID_01458,2
CA00187,GCP,gcp-28897,admin_account,ID_00128,4
CA00188,GCP,gcp-98224,billing_account,ID_00362,4
CA00189,Azure,az-40366,billing_account,ID_00469,4
CA00190,DigitalOcean,do-42871,billing_account,ID_00349,4
CA00191,Oracle,oci-82547,service_account,ID_01129,3
CA00192,Oracle,oci-97426,admin_account,ID_01905,5
CA00193,Oracle,oci-85297,billing_account,ID_00727,5
CA00194,AWS,aws-60262,admin_account,ID_01123,4
CA00195,GCP,gcp-92916,automation_account,ID_01372,3
CA00196,AWS,aws-73834,automation_account,ID_00180,4
CA00197,Oracle,oci-24362,human_user,ID_00986,1
CA00198,GCP,gcp-94786,service_account,ID_00001,3
CA00199,GCP,gcp-68919,automation_account,ID_00170,3
CA00200,Oracle,oci-35507,admin_account,ID_01224,5
CA00201,Oracle,oci-82897,admin_account,ID_00126,4
CA00202,Azure,az-51491,human_user,ID_01106,1
CA00203,AWS,aws-15030,human_user,ID_00758,1
CA00204,DigitalOcean,do-84830,automation_account,ID_00372,4
CA00205,AWS,aws-54484,human_user,ID_01744,2
CA00206,Oracle,oci-57121,service_account,ID_00870,3
CA00207,GCP,gcp-68664,billing_account,ID_00006,4
CA00208,AWS,aws-67874,read_only_account,ID_01025,3
CA00209,Azure,az-15141,read_only_account,ID_00986,2
CA00210,Oracle,oci-77473,human_user,ID_00502,1
CA00211,Oracle,oci-27378,admin_account,ID_00283,5
CA00212,Oracle,oci-89959,billing_account,ID_01396,5
CA00213,AWS,aws-61393,service_account,ID_00305,3
CA00214,DigitalOcean,do-98555,read_only_account,ID_01366,3
CA00215,DigitalOcean,do-47774,billing_account,ID_01309,5
CA00216,Oracle,oci-88427,read_only_account,ID_01687,3
CA00217,AWS,aws-11764,billing_account,ID_01015,4
CA00218,Oracle,oci-15354,automation_account,ID_01546,4
CA00219,Azure,az-51603,billing_account,ID_01295,5
CA00220,GCP,gcp-31757,human_user,ID_00427,2
CA00221,GCP,gcp-39442,service_account,ID_00725,3
CA00222,GCP,gcp-18457,admin_account,ID_00017,5
CA00223,AWS,aws-26825,billing_account,ID_01121,4
CA00224,DigitalOcean,do-97751,human_user,ID_01599,2
CA00225,GCP,gcp-17413,human_user,ID_00797,1
CA00226,DigitalOcean,do-69317,human_user,ID_01726,1
CA00227,GCP,gcp-56280,service_account,ID_01265,3
CA00228,DigitalOcean,do-26757,billing_account,ID_00081,5
CA00229,Azure,az-44322,admin_account,ID_01302,4
CA00230,Azure,az-65720,service_account,ID_00429,3
CA00231,Oracle,oci-69056,admin_account,ID_01697,4
CA00232,Oracle,oci-24130,read_only_account,ID_00930,3
CA00233,AWS,aws-33724,admin_account,ID_00643,5
CA00234,AWS,aws-94660,billing_account,ID_00213,4
CA00235,Azure,az-74390,billing_account,ID_00429,5
CA00236,Oracle,oci-77949,read_only_account,ID_00639,1
CA00237,Oracle,oci-52522,automation_account,ID_00168,4
CA00238,AWS,aws-72900,admin_account,ID_01996,4
CA00239,Oracle,oci-28073,automation_account,ID_00464,3
CA00240,GCP,gcp-37166,human_user,ID_00661,2
CA00241,Azure,az-41631,read_only_account,ID_00161,1
CA00242,AWS,aws-34161,read_only_account,ID_01437,2
CA00243,AWS,aws-51789,billing_account,ID_01879,5
CA00244,AWS,aws-19044,read_only_account,ID_00639,1
CA00245,AWS,aws-52018,automation_account,ID_00821,4
CA00246,AWS,aws-91937,human_user,ID_01879,3
CA00247,DigitalOcean,do-36782,read_only_account,ID_01540,1
CA00248,AWS,aws-33809,admin_account,ID_00988,4
CA00249,DigitalOcean,do-29715,read_only_account,ID_01815,2
CA00250,DigitalOcean,do-61600,service_account,ID_00649,4
CA00251,AWS,aws-54560,service_account,ID_01308,4
CA00252,Azure,az-23013,admin_account,ID_00343,4
CA00253,GCP,gcp-61633,billing_account,ID_00582,4
CA00254,Azure,az-90879,service_account,ID_00476,3
CA00255,GCP,gcp-20456,automation_account,ID_00585,4
CA00256,Oracle,oci-79727,admin_account,ID_01597,5
CA00257,DigitalOcean,do-76070,billing_account,ID_01664,5
CA00258,GCP,gcp-54595,automation_account,ID_01856,4
CA00259,Oracle,oci-75058,read_only_account,ID_01299,2
CA00260,DigitalOcean,do-65573,admin_account,ID_01481,5
CA00261,GCP,gcp-57765,automation_account,ID_00582,3
CA00262,AWS,aws-84559,service_account,ID_00068,4
CA00263,AWS,aws-23024,billing_account,ID_00699,5
CA00264,Azure,az-91352,read_only_account,ID_00246,2
CA00265,DigitalOcean,do-66218,human_user,ID_01473,1
CA00266,AWS,aws-19709,admin_account,ID_01451,4
CA00267,AWS,aws-59348,human_user,ID_01108,1
CA00268,GCP,gcp-68779,automation_account,ID_01635,4
CA00269,GCP,gcp-33883,service_account,ID_01467,4
CA00270,GCP,gcp-39940,service_account,ID_00787,3
CA00271,AWS,aws-72268,read_only_account,ID_01234,2
CA00272,DigitalOcean,do-30643,human_user,ID_01709,2
CA00273,AWS,aws-76621,human_user,ID_00031,3
CA00274,GCP,gcp-77826,read_only_account,ID_00999,2
CA00275,AWS,aws-33126,service_account,ID_00229,3
CA00276,AWS,aws-77580,automation_account,ID_01704,3
CA00277,AWS,aws-11339,read_only_account,ID_01589,1
CA00278,DigitalOcean,do-64203,read_only_account,ID_00786,3
CA00279,Oracle,oci-17895,service_account,ID_00231,3
CA00280,AWS,aws-22540,read_only_account,ID_00454,2
CA00281,Oracle,oci-99435,human_user,ID_01469,3
CA00282,Azure,az-61718,service_account,ID_01275,3
CA00283,AWS,aws-61606,read_only_account,ID_00482,2
CA00284,GCP,gcp-51710,admin_account,ID_00948,5
CA00285,Azure,az-26235,human_user,ID_00021,3
CA00286,Oracle,oci-76556,admin_account,ID_00790,5
CA00287,AWS,aws-62438,automation_account,ID_01751,4
CA00288,DigitalOcean,do-45624,human_user,ID_00410,1
CA00289,Azure,az-24156,service_account,ID_01071,3
CA00290,DigitalOcean,do-41045,billing_account,ID_01835,5
CA00291,GCP,gcp-43395,service_account,ID_00157,4
CA00292,GCP,gcp-91140,read_only_account,ID_01937,3
CA00293,GCP,gcp-82704,billing_account,ID_00710,4
CA00294,AWS,aws-21804,billing_account,ID_01305,4
CA00295,GCP,gcp-48219,human_user,ID_01149,1
CA00296,AWS,aws-55754,automation_account,ID_01345,4
CA00297,AWS,aws-67660,read_only_account,ID_01013,1
CA00298,Oracle,oci-31212,admin_account,ID_01403,4
CA00299,DigitalOcean,do-64751,human_user,ID_01535,3
CA00300,GCP,gcp-28405,admin_account,ID_01393,5
CA00301,Azure,az-84735,service_account,ID_00724,4
CA00302,AWS,aws-77551,read_only_account,ID_00272,1
CA00303,GCP,gcp-88684,automation_account,ID_00117,4
CA00304,AWS,aws-63944,human_user,ID_01213,2
CA00305,DigitalOcean,do-45408,automation_account,ID_00447,4
CA00306,Oracle,oci-54973,automation_account,ID_01269,4
CA00307,Azure,az-26461,automation_account,ID_00702,4
CA00308,Oracle,oci-11640,service_account,ID_01428,4
CA00309,DigitalOcean,do-34466,service_account,ID_01472,4
CA00310,DigitalOcean,do-32892,automation_account,ID_01346,3
CA00311,DigitalOcean,do-43539,billing_account,ID_01396,4
CA00312,Oracle,oci-15211,human_user,ID_00115,3
CA00313,Azure,az-99402,read_only_account,ID_01256,3
CA00314,DigitalOcean,do-22138,admin_account,ID_00293,4
CA00315,Oracle,oci-67961,human_user,ID_01855,2
CA00316,AWS,aws-78915,billing_account,ID_00963,5
CA00317,GCP,gcp-98761,service_account,ID_00878,3
CA00318,Azure,az-15841,service_account,ID_00160,3
CA00319,GCP,gcp-86761,read_only_account,ID_01170,2
CA00320,Azure,az-46369,service_account,ID_00542,3
CA00321,GCP,gcp-33140,service_account,ID_00702,4
CA00322,Azure,az-61883,read_only_account,ID_00475,3
CA00323,Azure,az-14972,read_only_account,ID_00588,1
CA00324,GCP,gcp-45900,billing_account,ID_01630,5
CA00325,GCP,gcp-16050,automation_account,ID_01640,3
CA00326,DigitalOcean,do-28362,admin_account,ID_00242,5
CA00327,Oracle,oci-55940,human_user,ID_00670,1
CA00328,AWS,aws-80603,admin_account,ID_01450,4
CA00329,AWS,aws-85920,service_account,ID_00675,3
CA00330,DigitalOcean,do-38125,human_user,ID_01473,1
CA00331,Azure,az-93306,read_only_account,ID_00141,2
CA00332,Azure,az-14226,automation_account,ID_00366,3
CA00333,GCP,gcp-49228,human_user,ID_01399,3
CA00334,GCP,gcp-31445,admin_account,ID_01818,4
CA00335,GCP,gcp-88557,automation_account,ID_01468,3
CA00336,AWS,aws-11046,service_account,ID_01193,3
CA00337,Oracle,oci-70102,billing_account,ID_01394,4
CA00338,AWS,aws-16909,billing_account,ID_00206,5
CA00339,GCP,gcp-99882,human_user,ID_00425,2
CA00340,Oracle,oci-18707,admin_account,ID_00955,4
CA00341,GCP,gcp-24977,admin_account,ID_00367,4
CA00342,Azure,az-15336,human_user,ID_00172,2
CA00343,AWS,aws-51836,billing_account,ID_01226,5
CA00344,GCP,gcp-23375,human_user,ID_01663,3
CA00345,GCP,gcp-31833,read_only_account,ID_01108,1
CA00346,GCP,gcp-90116,admin_account,ID_01683,5
CA00347,AWS,aws-41496,billing_account,ID_01389,5
CA00348,GCP,gcp-21505,admin_account,ID_00635,4
CA00349,GCP,gcp-76914,read_only_account,ID_00848,1
CA00350,DigitalOcean,do-71248,billing_account,ID_00302,4
CA00351,AWS,aws-91153,admin_account,ID_01192,5
CA00352,Oracle,oci-25978,read_only_account,ID_00683,2
CA00353,Oracle,oci-65278,automation_account,ID_01176,3
CA00354,Azure,az-53735,read_only_account,ID_00199,3
CA00355,AWS,aws-49625,billing_account,ID_01360,5
CA00356,GCP,gcp-19908,human_user,ID_00260,1
CA00357,Azure,az-44712,human_user,ID_00079,2
CA00358,Oracle,oci-81928,human_user,ID_01740,1
CA00359,Azure,az-63516,billing_account,ID_00103,5
CA00360,Azure,az-31469,billing_account,ID_00471,5
CA00361,Oracle,oci-40832,human_user,ID_01195,2
CA00362,AWS,aws-94951,billing_account,ID_00406,5
CA00363,Oracle,oci-86522,read_only_account,ID_00697,3
CA00364,Azure,az-20216,automation_account,ID_01383,3
CA00365,GCP,gcp-17469,read_only_account,ID_01828,3
CA00366,AWS,aws-98477,billing_account,ID_01868,5
CA00367,Azure,az-45574,service_account,ID_01248,4
CA00368,DigitalOcean,do-15056,human_user,ID_00659,2
CA00369,DigitalOcean,do-71181,automation_account,ID_01697,3
CA00370,Azure,az-90734,automation_account,ID_00957,3
CA00371,GCP,gcp-22528,billing_account,ID_01377,5
CA00372,Oracle,oci-49385,automation_account,ID_01018,4
CA00373,GCP,gcp-36380,automation_account,ID_00668,4
CA00374,Oracle,oci-47868,automation_account,ID_00248,3
CA00375,Oracle,oci-47802,automation_account,ID_00548,3
CA00376,Azure,az-82197,automation_account,ID_00981,3
CA00377,GCP,gcp-80203,service_account,ID_01007,3
CA00378,DigitalOcean,do-54118,billing_account,ID_01527,5
CA00379,GCP,gcp-13136,read_only_account,ID_01153,1
CA00380,GCP,gcp-32163,billing_account,ID_00856,5
CA00381,GCP,gcp-19992,billing_account,ID_01768,5
CA00382,Oracle,oci-21424,automation_account,ID_00247,3
CA00383,GCP,gcp-99258,human_user,ID_00997,1
CA00384,Oracle,oci-94749,automation_account,ID_01610,4
CA00385,DigitalOcean,do-72346,read_only_account,ID_00519,2
CA00386,Azure,az-57300,service_account,ID_00583,3
CA00387,Azure,az-23484,read_only_account,ID_01164,3
CA00388,AWS,aws-87669,read_only_account,ID_01046,2
CA00389,Oracle,oci-32399,automation_account,ID_00571,4
CA00390,DigitalOcean,do-72432,read_only_account,ID_01035,2
CA00391,GCP,gcp-40311,read_only_account,ID_00206,3
CA00392,Oracle,oci-20001,billing_account,ID_00425,5
CA00393,Oracle,oci-11884,service_account,ID_00900,3
CA00394,DigitalOcean,do-97667,automation_account,ID_00187,3
CA00395,DigitalOcean,do-53676,admin_account,ID_00190,5
CA00396,AWS,aws-23190,automation_account,ID_01025,4
CA00397,Oracle,oci-72975,billing_account,ID_00315,5
CA00398,DigitalOcean,do-99968,automation_account,ID_00364,4
CA00399,GCP,gcp-62760,billing_account,ID_01330,5
CA00400,DigitalOcean,do-37243,read_only_account,ID_01557,3
CA00401,Oracle,oci-16833,read_only_account,ID_00703,2
CA00402,GCP,gcp-17540,read_only_account,ID_01269,1
CA00403,DigitalOcean,do-44742,automation_account,ID_00596,4
CA00404,Azure,az-68116,service_account,ID_01443,4
CA00405,DigitalOcean,do-85801,admin_account,ID_01985,4
CA00406,Oracle,oci-85052,billing_account,ID_01428,4
CA00407,Azure,az-42132,billing_account,ID_01960,5
CA00408,Azure,az-60344,human_user,ID_01541,1
CA00409,Oracle,oci-19286,automation_account,ID_00341,3
CA00410,Azure,az-96825,read_only_account,ID_01375,2
CA00411,Oracle,oci-28354,service_account,ID_00607,4
CA00412,DigitalOcean,do-85979,admin_account,ID_00875,4
CA00413,Azure,az-74065,read_only_account,ID_01755,3
CA00414,AWS,aws-76321,automation_account,ID_01712,3
CA00415,AWS,aws-31864,billing_account,ID_00396,5
CA00416,Azure,az-48864,service_account,ID_00454,4
CA00417,AWS,aws-17445,read_only_account,ID_00242,1
CA00418,Oracle,oci-47998,automation_account,ID_00396,4
CA00419,GCP,gcp-90434,admin_account,ID_00334,5
CA00420,DigitalOcean,do-24571,automation_account,ID_00344,3
CA00421,AWS,aws-29667,billing_account,ID_01110,5
CA00422,Oracle,oci-53452,billing_account,ID_01442,5
CA00423,DigitalOcean,do-62802,admin_account,ID_01537,5
CA00424,AWS,aws-52489,human_user,ID_01065,3
CA00425,GCP,gcp-99275,automation_account,ID_00055,3
CA00426,AWS,aws-75723,read_only_account,ID_00113,2
CA00427,Oracle,oci-12348,service_account,ID_01243,4
CA00428,AWS,aws-17053,admin_account,ID_00620,5
CA00429,Oracle,oci-16678,billing_account,ID_01312,4
CA00430,DigitalOcean,do-64070,automation_account,ID_01157,4
CA00431,Azure,az-63249,billing_account,ID_00568,5
CA00432,Oracle,oci-97167,read_only_account,ID_01727,1
CA00433,AWS,aws-85680,admin_account,ID_01627,5
CA00434,Oracle,oci-43687,read_only_account,ID_00880,3
CA00435,DigitalOcean,do-18534,billing_account,ID_00241,4
CA00436,Oracle,oci-83226,billing_account,ID_00796,5
CA00437,Oracle,oci-93525,human_user,ID_00952,3
CA00438,DigitalOcean,do-25166,read_only_account,ID_00100,1
CA00439,Azure,az-27207,human_user,ID_00756,2
CA00440,Azure,az-48656,read_only_account,ID_00510,3
CA00441,DigitalOcean,do-36175,read_only_account,ID_00593,2
CA00442,Azure,az-89141,admin_account,ID_00882,4
CA00443,DigitalOcean,do-25619,human_user,ID_00507,1
CA00444,Azure,az-82169,automation_account,ID_00260,3
CA00445,Oracle,oci-53148,human_user,ID_00559,3
CA00446,AWS,aws-96586,admin_account,ID_01525,5
CA00447,DigitalOcean,do-86297,automation_account,ID_00415,3
CA00448,Oracle,oci-98929,billing_account,ID_01356,5
CA00449,GCP,gcp-58369,billing_account,ID_01569,4
CA00450,AWS,aws-56838,service_account,ID_01277,3
CA00451,AWS,aws-60012,billing_account,ID_01362,5
CA00452,Azure,az-62740,human_user,ID_01138,1
CA00453,AWS,aws-82430,automation_account,ID_00170,3
CA00454,DigitalOcean,do-18431,human_user,ID_00110,3
CA00455,Azure,az-35545,read_only_account,ID_01030,1
CA00456,AWS,aws-17023,automation_account,ID_01618,3
CA00457,Azure,az-99169,human_user,ID_01381,3
CA00458,GCP,gcp-88524,admin_account,ID_01723,4
CA00459,Azure,az-65124,automation_account,ID_01789,4
CA00460,GCP,gcp-65829,service_account,ID_01024,3
CA00461,GCP,gcp-97232,read_only_account,ID_01659,3
CA00462,AWS,aws-25093,service_account,ID_00728,4
CA00463,GCP,gcp-15736,admin_account,ID_00821,5
CA00464,DigitalOcean,do-42433,human_user,ID_01763,1
CA00465,Oracle,oci-93496,automation_account,ID_00327,3
CA00466,AWS,aws-32217,service_account,ID_00055,3
CA00467,Oracle,oci-13321,billing_account,ID_00351,5
CA00468,DigitalOcean,do-14753,automation_account,ID_01013,3
CA00469,AWS,aws-87916,billing_account,ID_01445,5
CA00470,GCP,gcp-35445,admin_account,ID_01906,5
CA00471,GCP,gcp-88237,automation_account,ID_00871,4
CA00472,Azure,az-64959,service_account,ID_00887,3
CA00473,Azure,az-39598,human_user,ID_00580,2
CA00474,Oracle,oci-21558,human_user,ID_01891,3
CA00475,DigitalOcean,do-40409,service_account,ID_01192,4
CA00476,Oracle,oci-82919,admin_account,ID_01705,5
CA00477,Azure,az-24942,human_user,ID_00766,1
CA00478,GCP,gcp-16904,human_user,ID_01366,3
CA00479,AWS,aws-17625,read_only_account,ID_01749,2
CA00480,Azure,az-35030,automation_account,ID_01338,3
CA00481,Oracle,oci-90425,human_user,ID_00679,3
CA00482,DigitalOcean,do-13256,read_only_account,ID_00917,3
CA00483,AWS,aws-53900,read_only_account,ID_01772,1
CA00484,DigitalOcean,do-58147,billing_account,ID_00713,5
CA00485,Azure,az-42777,automation_account,ID_01328,3
