node_id,type,zone,vlan,criticality,has_edr,is_exposed_to_internet,os_family,role,monitoring_level,policy_violation,is_hard_target,is_misconfigured_asset,is_bridge_asset
N00141,cloud_resource,EXTERNAL,100,2,True,False,Embedded,database,none,False,False,False,False
N00142,proxy,EXTERNAL,101,1,True,False,Unknown,hmi,low,False,False,False,False
N00143,host,EXTERNAL,102,1,True,False,ESXi,backup,low,False,False,False,False
N00144,host,EXTERNAL,103,1,True,False,CiscoIOS,backup,low,False,False,False,False
N00145,cloud_resource,EXTERNAL,104,1,False,False,Linux,web,low,False,False,False,False
N00146,svc_account,EXTERNAL,105,2,False,False,Linux,web,none,False,False,False,False
N00147,host,EXTERNAL,106,2,False,True,ESXi,email,none,False,False,False,False
N00148,db,EXTERNAL,107,2,True,False,ESXi,backup,low,False,False,False,False
N00149,cloud_resource,EXTERNAL,108,1,True,False,CiscoIOS,database,low,False,False,False,False
N00150,plc,EXTERNAL,109,3,False,True,ESXi,idp,none,True,False,False,False
N00151,proxy,EXTERNAL,100,2,True,False,Embedded,jump_host,medium,False,False,False,False
N00152,host,EXTERNAL,101,3,True,False,Unknown,backup,low,False,False,False,False
N00153,iot,EXTERNAL,102,1,True,False,ESXi,app,none,True,False,False,False
N00154,db,EXTERNAL,103,4,False,False,Windows,email,high,False,False,False,False
N00155,db,EXTERNAL,104,2,True,False,Unknown,database,medium,False,False,False,False
N00156,iot,EXTERNAL,105,4,True,False,Unknown,jump_host,none,False,False,False,False
N00157,app,EXTERNAL,106,4,True,False,Unknown,app,medium,False,False,False,False
N00158,svc_account,EXTERNAL,107,4,True,False,Windows,idp,low,False,False,False,False
N00159,svc_account,EXTERNAL,108,2,True,False,Linux,web,low,False,False,True,False
N00160,fw,EXTERNAL,109,3,True,False,Windows,jump_host,none,False,False,False,False
N00161,router,EXTERNAL,100,1,True,False,Unknown,web,none,False,False,False,False
N00162,proxy,EXTERNAL,101,4,True,False,Embedded,domain_controller,none,False,False,False,False
N00163,fw,EXTERNAL,102,2,True,True,Linux,email,low,False,False,True,False
N00164,cloud_resource,EXTERNAL,103,1,True,False,ESXi,monitoring,low,False,False,False,False
N00165,cloud_resource,EXTERNAL,104,4,True,False,Embedded,web,high,False,False,False,False
N00166,app,EXTERNAL,105,1,True,False,Unknown,backup,none,False,False,False,False
N00167,iot,EXTERNAL,106,2,True,False,Embedded,app,none,False,False,False,False
N00168,proxy,EXTERNAL,107,1,False,False,Embedded,database,low,False,False,False,False
N00169,app,EXTERNAL,108,4,True,False,Unknown,database,low,False,False,True,False
N00170,db,EXTERNAL,109,4,True,False,Windows,jump_host,medium,False,False,False,False
N00171,cloud_resource,EXTERNAL,100,3,True,False,Windows,web,low,True,False,False,False
N00172,iot,EXTERNAL,101,3,True,False,CiscoIOS,app,medium,False,False,False,False
N00173,router,EXTERNAL,102,3,True,False,Embedded,email,none,True,False,False,False
N00174,router,EXTERNAL,103,5,True,False,Linux,monitoring,high,False,True,False,False
N00175,db,EXTERNAL,104,2,True,False,Linux,database,high,False,False,False,True
N00176,db,EXTERNAL,105,4,True,False,Linux,web,low,False,False,False,False
N00177,svc_account,EXTERNAL,106,1,False,False,ESXi,hmi,low,False,False,False,False
N00178,svc_account,EXTERNAL,107,4,False,False,Linux,web,low,True,False,False,False
N00179,proxy,EXTERNAL,108,4,True,True,ESXi,domain_controller,low,False,False,False,False
N00180,fw,EXTERNAL,109,1,True,False,CiscoIOS,backup,low,True,False,False,False
N00181,router,EXTERNAL,100,5,True,False,ESXi,backup,low,False,True,False,False
N00182,app,EXTERNAL,101,1,True,True,Linux,jump_host,none,False,False,False,False
N00183,router,EXTERNAL,102,4,True,False,Linux,email,none,False,False,False,False
N00184,host,EXTERNAL,103,3,True,False,CiscoIOS,app,none,False,False,False,False
N00185,svc_account,EXTERNAL,104,3,True,False,CiscoIOS,app,low,False,False,False,False
N00186,plc,EXTERNAL,105,4,True,False,Windows,jump_host,low,False,False,False,False
N00187,svc_account,EXTERNAL,106,2,True,False,Unknown,app,low,False,False,False,False
N00188,proxy,EXTERNAL,107,4,True,True,Unknown,app,low,False,False,False,False
N00189,iot,EXTERNAL,108,2,False,False,CiscoIOS,backup,high,False,False,False,False
N00190,iot,EXTERNAL,109,2,True,False,Linux,domain_controller,low,False,False,False,False
N00191,iot,EXTERNAL,100,1,True,False,Unknown,idp,low,False,False,False,False
N00192,router,EXTERNAL,101,1,True,False,CiscoIOS,hmi,low,False,False,False,False
N00193,cloud_resource,EXTERNAL,102,3,False,False,CiscoIOS,web,low,False,False,True,False
N00194,db,EXTERNAL,103,3,True,False,Unknown,domain_controller,low,False,False,True,False
N00195,iot,EXTERNAL,104,3,False,False,Windows,jump_host,low,False,False,False,False
N00196,plc,EXTERNAL,105,1,True,False,CiscoIOS,idp,low,False,False,False,False
N00197,iot,EXTERNAL,106,1,True,False,Unknown,hmi,none,False,False,False,True
N00198,iot,EXTERNAL,107,4,True,False,Windows,backup,high,False,False,False,False
N00199,router,EXTERNAL,108,1,True,True,Windows,email,low,True,False,False,False
N00200,iot,EXTERNAL,109,1,True,False,ESXi,jump_host,none,True,False,False,False
N00201,iot,EXTERNAL,100,4,False,False,ESXi,monitoring,low,False,False,False,False
N00202,iot,EXTERNAL,101,3,False,False,Embedded,app,low,False,False,False,False
N00203,router,EXTERNAL,102,2,True,True,Embedded,monitoring,low,False,False,False,False
N00204,db,EXTERNAL,103,3,True,False,CiscoIOS,hmi,low,False,False,False,False
N00205,router,EXTERNAL,104,3,True,False,Unknown,email,low,False,False,False,False
N00206,proxy,EXTERNAL,105,2,True,False,CiscoIOS,monitoring,none,True,False,False,False
N00207,host,EXTERNAL,106,1,False,False,Unknown,domain_controller,none,False,False,True,False
N00208,proxy,EXTERNAL,107,4,True,False,CiscoIOS,backup,medium,True,False,False,False
N00209,db,EXTERNAL,108,1,True,False,Linux,hmi,low,True,False,False,False
N00210,plc,EXTERNAL,109,2,True,False,Linux,web,high,False,False,True,False
N00211,svc_account,EXTERNAL,100,5,True,False,Linux,domain_controller,high,False,True,False,False
N00212,svc_account,EXTERNAL,101,3,True,True,Embedded,email,low,False,False,False,False
N00213,app,EXTERNAL,102,1,False,False,Linux,email,low,False,False,False,False
N00214,plc,EXTERNAL,103,3,True,False,Unknown,app,low,False,False,False,False
N00215,fw,EXTERNAL,104,1,True,False,ESXi,web,low,False,False,False,False
N00216,db,EXTERNAL,105,4,True,False,ESXi,backup,low,False,False,False,False
N00217,router,EXTERNAL,106,2,True,False,Linux,backup,high,False,False,False,False
N00218,plc,EXTERNAL,107,2,True,False,Linux,backup,low,False,False,False,False
N00219,app,EXTERNAL,108,4,True,False,Embedded,jump_host,none,False,False,False,False
N00220,fw,EXTERNAL,109,3,True,False,Embedded,domain_controller,low,False,False,False,False
N00221,iot,EXTERNAL,100,1,True,False,Embedded,idp,high,True,False,False,False
N00222,host,EXTERNAL,101,4,False,False,Unknown,hmi,medium,False,False,False,False
N00223,iot,EXTERNAL,102,2,True,False,Windows,web,low,False,False,False,False
N00224,proxy,EXTERNAL,103,2,True,False,Linux,app,low,False,False,False,False
N00225,router,EXTERNAL,104,3,False,False,Linux,email,low,True,False,False,False
N00226,router,EXTERNAL,105,1,False,False,Windows,jump_host,medium,False,False,False,False
N00227,svc_account,EXTERNAL,106,1,False,False,Unknown,jump_host,low,False,False,False,False
N00228,app,EXTERNAL,107,5,True,False,CiscoIOS,app,medium,False,True,False,False
N00229,iot,EXTERNAL,108,1,True,False,ESXi,hmi,low,False,False,False,False
N00230,app,EXTERNAL,109,1,True,False,CiscoIOS,jump_host,none,False,False,False,False
N00231,host,EXTERNAL,100,1,True,False,ESXi,domain_controller,medium,False,False,False,False
N00232,app,EXTERNAL,101,1,True,False,ESXi,database,low,False,False,False,False
N00233,plc,EXTERNAL,102,1,False,False,CiscoIOS,hmi,medium,True,False,False,False
N00234,iot,EXTERNAL,103,3,True,False,CiscoIOS,web,medium,False,False,False,False
N00235,cloud_resource,EXTERNAL,104,4,True,False,CiscoIOS,hmi,medium,False,False,True,False
N00236,fw,EXTERNAL,105,4,True,True,CiscoIOS,backup,none,True,False,True,False
N00237,proxy,EXTERNAL,106,3,True,True,Linux,backup,medium,False,False,False,False
N00238,router,EXTERNAL,107,3,True,False,CiscoIOS,domain_controller,low,True,False,False,False
N00239,fw,EXTERNAL,108,3,True,False,CiscoIOS,web,medium,False,False,False,False
N00240,db,EXTERNAL,109,2,True,False,ESXi,web,none,False,False,False,False
N00241,cloud_resource,EXTERNAL,100,5,False,False,Unknown,app,high,False,True,False,False
N00242,proxy,EXTERNAL,101,1,True,False,CiscoIOS,idp,low,True,False,False,False
N00243,svc_account,EXTERNAL,102,1,True,False,ESXi,jump_host,low,False,False,False,False
N00244,svc_account,EXTERNAL,103,3,True,False,Linux,app,low,False,False,False,False
N00245,app,EXTERNAL,104,1,True,False,Embedded,app,none,False,False,False,False
N00246,svc_account,EXTERNAL,105,3,False,False,ESXi,idp,none,False,False,False,False
N00247,host,EXTERNAL,106,2,False,False,ESXi,database,high,False,False,False,False
N00248,fw,EXTERNAL,107,2,False,False,Linux,database,medium,False,False,False,False
N00249,proxy,EXTERNAL,108,3,True,False,Linux,monitoring,low,False,False,True,False
N00250,app,EXTERNAL,109,4,True,False,Linux,backup,none,True,False,False,False
N00251,db,DMZ,110,4,True,False,ESXi,jump_host,low,False,False,False,False
N00252,cloud_resource,DMZ,111,2,True,False,Linux,app,low,False,False,False,False
N00253,router,DMZ,112,4,False,False,Unknown,app,none,False,False,False,False
N00254,router,DMZ,113,2,True,False,ESXi,database,low,False,False,False,False
N00255,iot,DMZ,114,3,True,False,Unknown,database,high,False,False,False,False
N00256,fw,DMZ,115,4,False,True,Linux,web,medium,False,False,False,False
N00257,plc,DMZ,116,3,False,True,ESXi,email,low,True,False,False,False
N00258,svc_account,DMZ,117,1,True,False,ESXi,backup,high,False,False,False,False
N00259,plc,DMZ,118,3,True,False,CiscoIOS,hmi,low,False,False,False,False
N00260,svc_account,DMZ,119,2,True,False,Unknown,app,none,False,False,False,False
N00261,app,DMZ,110,2,True,False,CiscoIOS,backup,low,False,False,False,False
N00262,svc_account,DMZ,111,3,True,False,Linux,database,medium,False,False,False,False
N00263,plc,DMZ,112,3,False,False,Windows,email,low,False,False,False,False
N00264,host,DMZ,113,2,False,False,Embedded,domain_controller,low,True,False,False,False
N00265,plc,DMZ,114,2,True,False,Linux,app,low,False,False,False,False
N00266,iot,DMZ,115,3,True,False,Unknown,domain_controller,medium,False,False,False,False
N00267,proxy,DMZ,116,3,False,False,Linux,monitoring,low,False,False,False,False
N00268,plc,DMZ,117,4,False,False,Embedded,backup,none,False,False,False,False
N00269,proxy,DMZ,118,4,True,False,Windows,database,low,False,False,False,False
N00270,svc_account,DMZ,119,3,True,False,CiscoIOS,jump_host,low,False,False,False,False
N00271,proxy,DMZ,110,3,True,False,Linux,email,low,False,False,False,False
N00272,app,DMZ,111,2,True,False,Windows,hmi,low,False,False,False,False
N00273,fw,DMZ,112,4,True,False,Embedded,database,low,False,False,False,False
N00274,app,DMZ,113,4,True,False,CiscoIOS,database,high,False,False,False,False
N00275,cloud_resource,DMZ,114,3,True,False,Embedded,domain_controller,medium,False,False,False,False
N00276,cloud_resource,DMZ,115,2,True,False,Linux,hmi,medium,False,False,False,False
N00277,db,DMZ,116,3,False,False,Embedded,database,none,False,False,False,False
N00278,proxy,DMZ,117,4,True,False,CiscoIOS,app,medium,False,False,True,False
N00279,cloud_resource,DMZ,118,2,True,False,ESXi,idp,low,False,False,True,False
N00280,fw,DMZ,119,4,False,False,Linux,web,low,False,False,False,False
N00281,plc,DMZ,110,2,False,False,CiscoIOS,backup,low,False,False,False,True
N00282,db,DMZ,111,2,True,False,Linux,email,medium,True,False,False,False
N00283,host,DMZ,112,1,True,False,ESXi,monitoring,low,False,False,False,False
N00284,iot,DMZ,113,5,True,False,Linux,domain_controller,high,False,True,False,False
N00285,cloud_resource,DMZ,114,4,False,False,Linux,idp,none,False,False,False,False
N00286,fw,DMZ,115,4,False,False,Linux,jump_host,low,False,False,False,False
N00287,fw,DMZ,116,1,False,False,CiscoIOS,backup,medium,False,False,False,False
N00288,svc_account,DMZ,117,2,False,False,Unknown,backup,low,False,False,False,False
N00289,cloud_resource,DMZ,118,2,False,False,ESXi,backup,low,False,False,False,False
N00290,host,DMZ,119,1,True,False,Unknown,app,low,False,False,False,False
N00291,svc_account,DMZ,110,2,False,False,CiscoIOS,backup,none,False,False,False,False
N00292,app,DMZ,111,1,True,False,Linux,jump_host,medium,False,False,False,False
N00293,cloud_resource,DMZ,112,4,False,False,ESXi,domain_controller,low,True,False,False,False
N00294,proxy,DMZ,113,4,False,False,Linux,app,high,False,False,False,False
N00295,plc,DMZ,114,5,True,False,Linux,jump_host,medium,False,True,False,False
N00296,fw,DMZ,115,4,True,False,ESXi,database,low,False,False,False,False
N00297,host,DMZ,116,1,False,False,Linux,app,low,False,False,False,False
N00298,plc,DMZ,117,3,False,False,ESXi,monitoring,none,False,False,False,False
N00299,host,DMZ,118,4,True,False,ESXi,backup,low,False,False,False,False
N00300,db,DMZ,119,2,False,False,Windows,idp,low,False,False,False,False
N00301,fw,DMZ,110,2,False,True,ESXi,email,none,True,False,False,False
N00302,host,DMZ,111,1,False,True,Windows,email,medium,False,False,False,False
N00303,fw,DMZ,112,2,True,False,Unknown,database,none,False,False,False,False
N00304,app,DMZ,113,2,True,False,Linux,email,low,False,False,False,False
N00305,proxy,DMZ,114,1,True,False,ESXi,monitoring,none,False,False,False,False
N00306,cloud_resource,DMZ,115,4,True,False,Windows,hmi,none,False,False,False,False
N00307,iot,DMZ,116,4,True,False,Embedded,database,low,False,False,False,False
N00308,fw,DMZ,117,2,True,False,Linux,backup,low,False,False,False,False
N00309,iot,DMZ,118,3,True,False,ESXi,idp,low,False,False,False,True
N00310,db,DMZ,119,3,True,False,Unknown,monitoring,low,True,False,False,False
N00311,db,DMZ,110,4,True,False,Windows,hmi,high,False,False,False,False
N00312,iot,DMZ,111,2,True,False,CiscoIOS,jump_host,low,False,False,False,False
N00313,db,DMZ,112,3,True,False,ESXi,app,low,False,False,False,False
N00314,proxy,DMZ,113,3,True,False,CiscoIOS,domain_controller,low,False,False,False,False
N00315,plc,DMZ,114,4,False,False,ESXi,hmi,none,False,False,False,False
N00316,iot,DMZ,115,1,True,False,Unknown,hmi,low,False,False,True,False
N00317,host,DMZ,116,4,True,False,Embedded,domain_controller,low,False,False,False,False
N00318,db,DMZ,117,2,True,False,ESXi,email,low,False,False,False,False
N00319,host,DMZ,118,4,True,False,Windows,backup,none,False,False,False,False
N00320,proxy,DMZ,119,4,True,False,CiscoIOS,domain_controller,low,False,False,False,False
N00321,plc,DMZ,110,2,True,False,Unknown,email,none,False,False,False,False
N00322,plc,DMZ,111,1,False,False,ESXi,web,none,False,False,False,False
N00323,db,DMZ,112,3,True,False,Embedded,backup,low,False,False,False,False
N00324,iot,DMZ,113,4,False,False,Unknown,app,none,False,False,False,False
N00325,router,DMZ,114,1,True,False,Embedded,monitoring,low,False,False,False,True
N00326,app,DMZ,115,3,True,True,Unknown,backup,low,False,False,False,False
N00327,fw,DMZ,116,3,True,False,CiscoIOS,backup,low,False,False,False,False
N00328,db,DMZ,117,5,True,False,Embedded,database,high,False,True,False,False
N00329,proxy,DMZ,118,3,True,False,Unknown,monitoring,low,False,False,False,False
N00330,proxy,DMZ,119,3,True,False,Unknown,domain_controller,low,False,False,False,True
N00331,db,DMZ,110,2,True,False,Embedded,domain_controller,none,False,False,False,False
N00332,plc,DMZ,111,1,True,False,Windows,idp,low,False,False,False,False
N00333,iot,DMZ,112,3,False,False,Embedded,app,low,True,False,False,False
N00334,db,DMZ,113,2,False,False,ESXi,domain_controller,low,False,False,False,False
N00335,svc_account,DMZ,114,3,False,False,Embedded,database,high,False,False,False,False
