edge_id,src,dst,edge_class,cost,detection_prob,exploitability,power_gain,is_ground_truth_path_step
E_QUBO_00052,N00167,N00032,network,0.731,0.431,0.285,0,False
E_QUBO_00053,N00198,N00201,auth,2.093,0.286,0.68,4,False
E_QUBO_00054,N00198,N00032,config,0.524,0.118,0.801,1,False
E_QUBO_00055,N00161,N00201,privilege,1.956,0.183,0.158,6,False
E_QUBO_00056,N00161,N00032,network,2.747,0.239,0.262,0,False
E_QUBO_00057,N00201,N00104,config,2.71,0.416,0.578,1,False
E_QUBO_00058,N00201,N00151,auth,2.662,0.929,0.739,3,False
E_QUBO_00059,N00201,N00077,privilege,2.456,0.421,0.619,5,False
E_QUBO_00060,N00032,N00104,network,1.456,0.085,0.45,1,False
E_QUBO_00061,N00032,N00151,cloud,1.374,0.788,0.791,1,False
E_QUBO_00062,N00032,N00077,auth,1.496,0.301,0.109,2,False
E_QUBO_00063,N00104,N00176,config,1.499,0.933,0.506,0,False
E_QUBO_00064,N00104,N00070,privilege,0.946,0.916,0.276,3,False
E_QUBO_00065,N00104,N00135,privilege,2.321,0.332,0.565,10,False
E_QUBO_00066,N00104,N00081,config,0.975,0.09,0.421,4,False
E_QUBO_00067,N00104,N00184,config,2.217,0.896,0.676,1,False
E_QUBO_00068,N00151,N00176,network,2.872,0.879,0.58,0,False
E_QUBO_00069,N00151,N00070,privilege,1.768,0.65,0.327,6,False
E_QUBO_00070,N00151,N00135,auth,1.551,0.896,0.626,1,False
E_QUBO_00071,N00151,N00081,privilege,1.515,0.8,0.308,5,False
E_QUBO_00072,N00151,N00184,config,2.017,0.34,0.426,1,False
E_QUBO_00073,N00077,N00176,auth,2.147,0.305,0.614,4,False
E_QUBO_00074,N00077,N00070,auth,2.182,0.252,0.219,0,False
E_QUBO_00075,N00077,N00135,cloud,2.028,0.742,0.437,4,False
E_QUBO_00076,N00077,N00081,cloud,1.736,0.27,0.608,0,False
E_QUBO_00077,N00077,N00184,network,2.446,0.247,0.733,4,False
E_QUBO_00078,N00176,N00100,config,1.123,0.814,0.438,3,False
E_QUBO_00079,N00070,N00100,config,1.989,0.905,0.808,4,False
E_QUBO_00080,N00135,N00100,config,1.567,0.866,0.429,1,False
E_QUBO_00081,N00081,N00100,cloud,1.625,0.727,0.764,2,False
E_QUBO_00082,N00184,N00100,config,1.711,0.265,0.424,2,False
E_QUBO_00083,N00043,N00122,privilege,1.299,0.536,0.168,5,False
E_QUBO_00084,N00043,N00194,auth,2.266,0.108,0.396,4,False
E_QUBO_00085,N00043,N00167,network,1.017,0.428,0.819,4,False
E_QUBO_00086,N00043,N00198,network,2.642,0.739,0.373,0,False
E_QUBO_00087,N00043,N00161,privilege,2.384,0.818,0.86,8,False
E_QUBO_00088,N00122,N00201,config,2.5,0.858,0.465,2,False
E_QUBO_00089,N00122,N00032,network,1.472,0.652,0.728,1,False
E_QUBO_00090,N00194,N00201,auth,2.952,0.531,0.821,4,False
E_QUBO_00091,N00194,N00032,network,0.71,0.436,0.787,1,False
E_QUBO_00092,N00167,N00201,cloud,1.318,0.459,0.337,3,False
E_QUBO_00093,N00167,N00032,cloud,1.131,0.124,0.066,4,False
E_QUBO_00094,N00198,N00201,privilege,1.061,0.112,0.864,2,False
E_QUBO_00095,N00198,N00032,auth,0.998,0.068,0.18,1,False
E_QUBO_00096,N00161,N00201,network,1.91,0.246,0.645,2,False
E_QUBO_00097,N00161,N00032,config,2.909,0.697,0.711,1,False
E_QUBO_00098,N00201,N00104,network,1.947,0.886,0.539,3,False
E_QUBO_00099,N00201,N00151,auth,0.69,0.672,0.583,0,False
E_QUBO_00100,N00201,N00077,privilege,2.626,0.59,0.153,2,False
E_QUBO_00101,N00032,N00104,cloud,2.154,0.112,0.6,0,False
E_QUBO_00102,N00032,N00151,cloud,0.764,0.915,0.59,3,False
E_QUBO_00103,N00032,N00077,cloud,0.94,0.52,0.603,4,False
E_QUBO_00104,N00104,N00176,config,2.437,0.468,0.752,4,False
E_QUBO_00105,N00104,N00070,auth,2.577,0.128,0.799,1,False
E_QUBO_00106,N00104,N00135,config,2.026,0.391,0.074,2,False
E_QUBO_00107,N00104,N00081,auth,1.387,0.283,0.288,4,False
E_QUBO_00108,N00104,N00184,privilege,1.889,0.515,0.212,5,False
E_QUBO_00109,N00151,N00176,cloud,1.888,0.266,0.455,3,False
E_QUBO_00110,N00151,N00070,network,0.733,0.249,0.638,2,False
E_QUBO_00111,N00151,N00135,privilege,1.683,0.528,0.412,10,False
E_QUBO_00112,N00151,N00081,cloud,1.177,0.276,0.153,1,False
E_QUBO_00113,N00151,N00184,config,2.877,0.671,0.213,3,False
E_QUBO_00114,N00077,N00176,config,2.942,0.522,0.291,0,False
E_QUBO_00115,N00077,N00070,privilege,1.069,0.211,0.062,10,False
E_QUBO_00116,N00077,N00135,network,2.936,0.548,0.643,1,False
E_QUBO_00117,N00077,N00081,cloud,0.756,0.061,0.292,3,False
E_QUBO_00118,N00077,N00184,auth,2.914,0.277,0.782,0,False
E_QUBO_00119,N00176,N00110,cloud,1.729,0.569,0.633,1,False
E_QUBO_00120,N00070,N00110,config,2.873,0.127,0.261,4,False
E_QUBO_00121,N00135,N00110,config,1.99,0.607,0.709,3,False
E_QUBO_00122,N00081,N00110,cloud,1.243,0.58,0.415,4,False
E_QUBO_00123,N00184,N00110,config,2.9,0.139,0.698,1,False
E_QUBO_00124,N00043,N00122,network,0.893,0.206,0.114,0,False
E_QUBO_00125,N00043,N00194,config,1.675,0.079,0.295,2,False
E_QUBO_00126,N00043,N00167,cloud,0.678,0.26,0.275,4,False
E_QUBO_00127,N00043,N00198,auth,1.563,0.54,0.6,2,False
E_QUBO_00128,N00043,N00161,network,0.649,0.763,0.556,4,False
E_QUBO_00129,N00122,N00201,cloud,0.811,0.67,0.645,2,False
E_QUBO_00130,N00122,N00032,cloud,1.594,0.588,0.806,2,False
E_QUBO_00131,N00194,N00201,network,0.728,0.916,0.761,4,False
E_QUBO_00132,N00194,N00032,network,2.999,0.655,0.279,0,False
E_QUBO_00133,N00167,N00201,auth,1.676,0.636,0.829,1,False
E_QUBO_00134,N00167,N00032,cloud,2.087,0.493,0.128,2,False
E_QUBO_00135,N00198,N00201,privilege,2.175,0.822,0.33,9,False
E_QUBO_00136,N00198,N00032,cloud,2.534,0.545,0.437,2,False
E_QUBO_00137,N00161,N00201,network,2.925,0.414,0.487,0,False
E_QUBO_00138,N00161,N00032,config,1.655,0.099,0.491,4,False
E_QUBO_00139,N00201,N00104,cloud,2.4,0.233,0.517,2,False
E_QUBO_00140,N00201,N00151,cloud,0.804,0.926,0.568,1,False
E_QUBO_00141,N00201,N00077,privilege,1.877,0.547,0.129,3,False
E_QUBO_00142,N00032,N00104,network,2.119,0.189,0.843,2,False
E_QUBO_00143,N00032,N00151,privilege,1.539,0.484,0.451,9,False
E_QUBO_00144,N00032,N00077,cloud,0.977,0.589,0.684,1,False
E_QUBO_00145,N00104,N00176,privilege,2.432,0.819,0.339,10,False
E_QUBO_00146,N00104,N00070,network,1.207,0.319,0.549,3,False
E_QUBO_00147,N00104,N00135,cloud,1.846,0.361,0.519,4,False
E_QUBO_00148,N00104,N00081,privilege,2.674,0.933,0.253,8,False
E_QUBO_00149,N00104,N00184,cloud,0.609,0.72,0.649,3,False
E_QUBO_00150,N00151,N00176,auth,1.738,0.083,0.477,4,False
E_QUBO_00151,N00151,N00070,network,2.685,0.446,0.497,3,False
E_QUBO_00152,N00151,N00135,auth,1.525,0.639,0.181,3,False
E_QUBO_00153,N00151,N00081,privilege,1.346,0.673,0.602,7,False
E_QUBO_00154,N00151,N00184,config,1.45,0.335,0.661,3,False
E_QUBO_00155,N00077,N00176,network,2.044,0.261,0.632,2,False
E_QUBO_00156,N00077,N00070,network,1.585,0.139,0.589,0,False
E_QUBO_00157,N00077,N00135,privilege,2.759,0.091,0.727,6,False
E_QUBO_00158,N00077,N00081,cloud,0.864,0.528,0.531,1,False
E_QUBO_00159,N00077,N00184,network,2.024,0.394,0.631,3,False
E_QUBO_00160,N00176,N00116,auth,1.08,0.624,0.441,0,False
E_QUBO_00161,N00070,N00116,cloud,2.753,0.66,0.184,3,False
E_QUBO_00162,N00135,N00116,config,1.248,0.916,0.637,3,False
E_QUBO_00163,N00081,N00116,auth,2.998,0.818,0.141,3,False
E_QUBO_00164,N00184,N00116,config,1.24,0.679,0.069,3,False
E_QUBO_00165,N00043,N00122,config,2.663,0.75,0.878,4,False
E_QUBO_00166,N00043,N00194,privilege,2.439,0.257,0.732,5,False
E_QUBO_00167,N00043,N00167,config,1.127,0.73,0.702,1,False
E_QUBO_00168,N00043,N00198,network,1.272,0.447,0.543,1,False
E_QUBO_00169,N00043,N00161,privilege,1.317,0.424,0.221,10,False
E_QUBO_00170,N00122,N00201,privilege,1.827,0.872,0.756,6,False
E_QUBO_00171,N00122,N00032,cloud,2.918,0.316,0.79,0,False
E_QUBO_00172,N00194,N00201,network,0.852,0.92,0.781,3,False
E_QUBO_00173,N00194,N00032,config,1.414,0.762,0.062,4,False
E_QUBO_00174,N00167,N00201,privilege,2.182,0.655,0.547,7,False
E_QUBO_00175,N00167,N00032,auth,1.679,0.608,0.852,2,False
E_QUBO_00176,N00198,N00201,auth,2.119,0.622,0.445,2,False
E_QUBO_00177,N00198,N00032,network,0.849,0.902,0.309,3,False
E_QUBO_00178,N00161,N00201,auth,2.718,0.172,0.436,4,False
E_QUBO_00179,N00161,N00032,auth,2.714,0.639,0.759,4,False
E_QUBO_00180,N00201,N00104,privilege,0.582,0.383,0.427,5,False
E_QUBO_00181,N00201,N00151,network,2.952,0.381,0.816,2,False
E_QUBO_00182,N00201,N00077,privilege,0.975,0.16,0.771,9,False
E_QUBO_00183,N00032,N00104,auth,2.104,0.587,0.068,2,False
E_QUBO_00184,N00032,N00151,auth,2.467,0.235,0.755,4,False
E_QUBO_00185,N00032,N00077,auth,2.533,0.26,0.708,4,True
E_QUBO_00186,N00104,N00176,auth,2.969,0.536,0.729,0,False
E_QUBO_00187,N00104,N00070,network,0.83,0.372,0.72,4,False
E_QUBO_00188,N00104,N00135,auth,1.163,0.164,0.408,0,False
E_QUBO_00189,N00104,N00081,cloud,1.621,0.376,0.555,3,False
E_QUBO_00190,N00104,N00184,config,0.608,0.755,0.787,4,False
E_QUBO_00191,N00151,N00176,network,0.652,0.481,0.391,0,False
E_QUBO_00192,N00151,N00070,cloud,0.684,0.123,0.567,0,False
E_QUBO_00193,N00151,N00135,config,2.083,0.544,0.326,4,False
E_QUBO_00194,N00151,N00081,cloud,1.764,0.437,0.724,0,False
E_QUBO_00195,N00151,N00184,config,2.302,0.244,0.434,1,False
E_QUBO_00196,N00077,N00176,cloud,1.497,0.707,0.316,2,False
E_QUBO_00197,N00077,N00070,privilege,2.884,0.668,0.453,3,False
E_QUBO_00198,N00077,N00135,network,1.58,0.72,0.367,1,False
E_QUBO_00199,N00077,N00081,config,2.892,0.556,0.62,3,False
E_QUBO_00200,N00077,N00184,cloud,2.67,0.699,0.873,4,False
E_QUBO_00201,N00176,N00174,network,1.945,0.241,0.608,1,False
E_QUBO_00202,N00070,N00174,privilege,2.613,0.381,0.698,5,False
E_QUBO_00203,N00135,N00174,config,2.936,0.787,0.572,4,False
E_QUBO_00204,N00081,N00174,privilege,0.572,0.296,0.698,7,False
E_QUBO_00205,N00184,N00174,auth,2.675,0.56,0.391,1,False
E_QUBO_00206,N00043,N00122,network,0.729,0.527,0.37,3,False
E_QUBO_00207,N00043,N00194,privilege,1.279,0.342,0.85,3,False
E_QUBO_00208,N00043,N00167,auth,0.894,0.606,0.623,2,False
E_QUBO_00209,N00043,N00198,cloud,1.714,0.448,0.282,4,False
E_QUBO_00210,N00043,N00161,cloud,0.777,0.66,0.554,4,False
E_QUBO_00211,N00122,N00201,network,1.051,0.936,0.097,1,False
E_QUBO_00212,N00122,N00032,auth,2.418,0.738,0.296,0,True
E_QUBO_00213,N00194,N00201,cloud,0.939,0.392,0.648,4,False
E_QUBO_00214,N00194,N00032,privilege,0.68,0.826,0.086,2,False
E_QUBO_00215,N00167,N00201,network,2.655,0.568,0.537,3,False
E_QUBO_00216,N00167,N00032,cloud,0.552,0.342,0.731,4,False
E_QUBO_00217,N00198,N00201,privilege,0.72,0.81,0.257,8,False
E_QUBO_00218,N00198,N00032,cloud,2.676,0.721,0.238,1,False
E_QUBO_00219,N00161,N00201,network,1.827,0.225,0.71,2,False
E_QUBO_00220,N00161,N00032,auth,1.091,0.182,0.218,4,False
E_QUBO_00221,N00201,N00104,network,0.943,0.746,0.47,4,False
E_QUBO_00222,N00201,N00151,cloud,2.203,0.844,0.597,4,False
E_QUBO_00223,N00201,N00077,privilege,0.877,0.111,0.426,6,False
E_QUBO_00224,N00032,N00104,config,0.64,0.507,0.314,3,False
E_QUBO_00225,N00032,N00151,privilege,2.579,0.119,0.785,3,False
E_QUBO_00226,N00032,N00077,config,1.461,0.572,0.861,0,False
E_QUBO_00227,N00104,N00176,config,2.13,0.339,0.454,1,False
E_QUBO_00228,N00104,N00070,cloud,0.759,0.859,0.342,0,False
E_QUBO_00229,N00104,N00135,auth,0.598,0.687,0.892,4,False
E_QUBO_00230,N00104,N00081,auth,1.41,0.876,0.379,2,False
E_QUBO_00231,N00104,N00184,network,2.473,0.633,0.106,0,False
E_QUBO_00232,N00151,N00176,cloud,1.21,0.701,0.608,4,False
E_QUBO_00233,N00151,N00070,privilege,0.704,0.647,0.829,6,False
E_QUBO_00234,N00151,N00135,cloud,0.822,0.688,0.122,4,False
E_QUBO_00235,N00151,N00081,privilege,2.533,0.653,0.755,10,False
E_QUBO_00236,N00151,N00184,cloud,1.771,0.066,0.313,1,False
E_QUBO_00237,N00077,N00176,cloud,0.98,0.95,0.182,2,False
E_QUBO_00238,N00077,N00070,network,1.769,0.536,0.678,4,False
E_QUBO_00239,N00077,N00135,privilege,2.691,0.606,0.558,4,False
E_QUBO_00240,N00077,N00081,config,2.523,0.199,0.422,3,False
E_QUBO_00241,N00077,N00184,auth,2.924,0.6,0.69,3,False
E_QUBO_00242,N00176,N00181,auth,1.274,0.778,0.449,1,False
E_QUBO_00243,N00070,N00181,config,2.961,0.466,0.29,3,False
E_QUBO_00244,N00135,N00181,cloud,2.916,0.785,0.731,1,False
E_QUBO_00245,N00081,N00181,network,2.103,0.837,0.521,0,False
E_QUBO_00246,N00184,N00181,config,2.628,0.307,0.699,2,False
E_QUBO_00247,N00043,N00122,config,0.868,0.444,0.854,1,False
E_QUBO_00248,N00043,N00194,privilege,2.826,0.423,0.387,7,False
E_QUBO_00249,N00043,N00167,network,1.437,0.075,0.841,2,False
E_QUBO_00250,N00043,N00198,auth,0.596,0.876,0.452,1,False
E_QUBO_00251,N00043,N00161,cloud,1.622,0.055,0.117,2,False
E_QUBO_00252,N00122,N00201,auth,1.872,0.705,0.499,0,False
E_QUBO_00253,N00122,N00032,auth,1.253,0.093,0.407,4,False
E_QUBO_00254,N00194,N00201,network,2.592,0.5,0.506,4,False
E_QUBO_00255,N00194,N00032,auth,1.228,0.051,0.35,4,False
E_QUBO_00256,N00167,N00201,network,1.809,0.375,0.86,4,False
E_QUBO_00257,N00167,N00032,config,1.885,0.401,0.45,3,False
E_QUBO_00258,N00198,N00201,privilege,2.368,0.371,0.107,5,False
E_QUBO_00259,N00198,N00032,network,2.429,0.712,0.333,0,False
E_QUBO_00260,N00161,N00201,privilege,2.534,0.208,0.712,9,False
E_QUBO_00261,N00161,N00032,cloud,2.079,0.78,0.104,3,False
E_QUBO_00262,N00201,N00104,auth,0.61,0.23,0.086,2,False
E_QUBO_00263,N00201,N00151,config,1.683,0.083,0.6,2,False
E_QUBO_00264,N00201,N00077,network,2.664,0.349,0.156,2,False
E_QUBO_00265,N00032,N00104,cloud,2.358,0.855,0.379,1,False
E_QUBO_00266,N00032,N00151,cloud,1.418,0.768,0.277,0,False
E_QUBO_00267,N00032,N00077,network,1.577,0.946,0.203,2,False
E_QUBO_00268,N00104,N00176,network,1.32,0.316,0.429,3,False
E_QUBO_00269,N00104,N00070,cloud,1.379,0.088,0.79,2,False
E_QUBO_00270,N00104,N00135,cloud,1.186,0.932,0.856,0,False
E_QUBO_00271,N00104,N00081,cloud,1.408,0.771,0.627,0,False
E_QUBO_00272,N00104,N00184,config,2.195,0.444,0.157,1,False
E_QUBO_00273,N00151,N00176,privilege,1.405,0.905,0.078,4,False
E_QUBO_00274,N00151,N00070,privilege,1.43,0.737,0.538,10,False
E_QUBO_00275,N00151,N00135,privilege,2.124,0.275,0.146,4,False
E_QUBO_00276,N00151,N00081,cloud,2.784,0.156,0.709,3,False
E_QUBO_00277,N00151,N00184,config,1.214,0.875,0.468,0,False
E_QUBO_00278,N00077,N00176,network,1.63,0.859,0.428,0,False
E_QUBO_00279,N00077,N00070,privilege,2.17,0.689,0.517,6,False
E_QUBO_00280,N00077,N00135,auth,2.28,0.885,0.592,2,False
E_QUBO_00281,N00077,N00081,network,2.963,0.763,0.251,3,False
E_QUBO_00282,N00077,N00184,config,1.931,0.471,0.886,1,False
E_QUBO_00283,N00176,N00211,network,0.664,0.408,0.659,3,False
E_QUBO_00284,N00070,N00211,cloud,2.558,0.116,0.877,0,False
E_QUBO_00285,N00135,N00211,config,1.361,0.84,0.713,4,False
E_QUBO_00286,N00081,N00211,auth,1.582,0.87,0.097,0,False
E_QUBO_00287,N00184,N00211,privilege,0.912,0.34,0.653,7,False
E_QUBO_00288,N00043,N00122,config,2.737,0.811,0.263,4,False
E_QUBO_00289,N00043,N00194,privilege,2.036,0.134,0.595,4,False
E_QUBO_00290,N00043,N00167,config,2.302,0.595,0.766,4,False
E_QUBO_00291,N00043,N00198,network,0.703,0.904,0.705,2,False
E_QUBO_00292,N00043,N00161,config,1.541,0.625,0.473,4,False
E_QUBO_00293,N00122,N00201,privilege,1.707,0.774,0.632,6,False
E_QUBO_00294,N00122,N00032,network,0.895,0.424,0.445,2,False
E_QUBO_00295,N00194,N00201,privilege,2.654,0.337,0.89,7,False
E_QUBO_00296,N00194,N00032,auth,2.402,0.513,0.14,1,False
E_QUBO_00297,N00167,N00201,privilege,1.624,0.177,0.093,8,False
E_QUBO_00298,N00167,N00032,cloud,1.121,0.829,0.186,2,False
E_QUBO_00299,N00198,N00201,privilege,0.975,0.193,0.897,9,False
E_QUBO_00300,N00198,N00032,privilege,1.743,0.131,0.384,9,False
E_QUBO_00301,N00161,N00201,auth,1.958,0.094,0.289,4,False
E_QUBO_00302,N00161,N00032,cloud,1.214,0.057,0.141,1,False
E_QUBO_00303,N00201,N00104,privilege,2.41,0.379,0.39,10,False
E_QUBO_00304,N00201,N00151,config,1.222,0.398,0.433,4,False
E_QUBO_00305,N00201,N00077,config,2.201,0.157,0.879,3,False
E_QUBO_00306,N00032,N00104,privilege,1.895,0.379,0.173,10,False
E_QUBO_00307,N00032,N00151,network,0.613,0.173,0.333,3,False
E_QUBO_00308,N00032,N00077,auth,2.016,0.514,0.329,4,False
E_QUBO_00309,N00104,N00176,cloud,2.977,0.715,0.304,2,False
E_QUBO_00310,N00104,N00070,config,1.831,0.688,0.305,0,False
E_QUBO_00311,N00104,N00135,network,2.95,0.575,0.727,0,False
E_QUBO_00312,N00104,N00081,privilege,2.918,0.755,0.71,5,False
E_QUBO_00313,N00104,N00184,config,1.701,0.522,0.663,3,False
E_QUBO_00314,N00151,N00176,auth,0.579,0.903,0.143,0,False
E_QUBO_00315,N00151,N00070,cloud,0.879,0.671,0.399,4,False
E_QUBO_00316,N00151,N00135,network,2.264,0.517,0.527,3,False
E_QUBO_00317,N00151,N00081,privilege,2.892,0.464,0.503,10,False
E_QUBO_00318,N00151,N00184,privilege,2.025,0.223,0.26,10,False
E_QUBO_00319,N00077,N00176,privilege,2.428,0.684,0.637,9,False
E_QUBO_00320,N00077,N00070,privilege,1.901,0.891,0.663,6,False
E_QUBO_00321,N00077,N00135,config,1.449,0.932,0.746,1,False
E_QUBO_00322,N00077,N00081,privilege,2.888,0.121,0.835,6,False
E_QUBO_00323,N00077,N00184,auth,1.005,0.535,0.843,2,False
E_QUBO_00324,N00176,N00228,config,2.352,0.265,0.093,4,False
E_QUBO_00325,N00070,N00228,auth,0.631,0.422,0.66,0,False
E_QUBO_00326,N00135,N00228,auth,0.513,0.545,0.84,3,False
E_QUBO_00327,N00081,N00228,cloud,1.694,0.23,0.869,2,False
E_QUBO_00328,N00184,N00228,network,2.77,0.131,0.538,4,False
E_QUBO_00329,N00043,N00122,network,2.783,0.208,0.8,1,False
E_QUBO_00330,N00043,N00194,network,2.993,0.407,0.471,2,False
E_QUBO_00331,N00043,N00167,network,1.246,0.593,0.839,2,False
E_QUBO_00332,N00043,N00198,config,1.811,0.85,0.164,4,False
E_QUBO_00333,N00043,N00161,auth,2.522,0.348,0.671,2,False
E_QUBO_00334,N00122,N00201,network,2.342,0.762,0.533,1,False
E_QUBO_00335,N00122,N00032,cloud,2.567,0.514,0.124,0,False
E_QUBO_00336,N00194,N00201,auth,1.694,0.892,0.056,3,False
E_QUBO_00337,N00194,N00032,privilege,2.885,0.322,0.664,2,False
E_QUBO_00338,N00167,N00201,privilege,2.232,0.106,0.15,6,False
E_QUBO_00339,N00167,N00032,config,2.808,0.849,0.704,0,False
E_QUBO_00340,N00198,N00201,privilege,1.419,0.249,0.864,9,False
E_QUBO_00341,N00198,N00032,config,1.434,0.682,0.826,4,False
E_QUBO_00342,N00161,N00201,auth,2.405,0.662,0.556,0,False
E_QUBO_00343,N00161,N00032,config,2.259,0.12,0.53,0,False
E_QUBO_00344,N00201,N00104,config,1.005,0.533,0.19,4,False
E_QUBO_00345,N00201,N00151,auth,2.292,0.49,0.814,3,False
E_QUBO_00346,N00201,N00077,cloud,0.83,0.424,0.529,4,False
E_QUBO_00347,N00032,N00104,privilege,2.308,0.406,0.744,5,False
E_QUBO_00348,N00032,N00151,network,1.559,0.68,0.51,0,False
E_QUBO_00349,N00032,N00077,network,2.965,0.475,0.294,1,False
E_QUBO_00350,N00104,N00176,cloud,1.436,0.852,0.431,3,False
E_QUBO_00351,N00104,N00070,config,0.832,0.824,0.151,4,False
E_QUBO_00352,N00104,N00135,auth,2.32,0.25,0.053,0,False
E_QUBO_00353,N00104,N00081,cloud,2.184,0.54,0.502,1,False
E_QUBO_00354,N00104,N00184,privilege,0.888,0.22,0.794,3,False
E_QUBO_00355,N00151,N00176,cloud,2.037,0.893,0.806,1,False
E_QUBO_00356,N00151,N00070,network,1.985,0.452,0.621,0,False
E_QUBO_00357,N00151,N00135,network,1.506,0.261,0.235,0,False
E_QUBO_00358,N00151,N00081,privilege,1.085,0.875,0.54,7,False
E_QUBO_00359,N00151,N00184,auth,2.964,0.519,0.402,2,False
E_QUBO_00360,N00077,N00176,config,2.699,0.87,0.582,3,False
E_QUBO_00361,N00077,N00070,network,2.931,0.897,0.621,4,False
E_QUBO_00362,N00077,N00135,cloud,1.521,0.32,0.206,4,False
E_QUBO_00363,N00077,N00081,auth,1.252,0.687,0.735,0,False
E_QUBO_00364,N00077,N00184,cloud,1.893,0.171,0.256,1,False
E_QUBO_00365,N00176,N00241,network,2.806,0.812,0.129,1,False
E_QUBO_00366,N00070,N00241,cloud,2.184,0.593,0.793,1,False
E_QUBO_00367,N00135,N00241,config,2.311,0.553,0.457,2,False
E_QUBO_00368,N00081,N00241,network,1.03,0.221,0.68,3,False
E_QUBO_00369,N00184,N00241,config,2.259,0.407,0.253,2,False
E_QUBO_00370,N00079,N00122,cloud,1.666,0.634,0.312,2,False
E_QUBO_00371,N00079,N00194,cloud,1.665,0.773,0.664,2,False
E_QUBO_00372,N00079,N00167,privilege,1.282,0.091,0.784,4,False
E_QUBO_00373,N00079,N00198,config,2.837,0.571,0.405,1,False
E_QUBO_00374,N00079,N00161,auth,1.45,0.8,0.474,2,False
E_QUBO_00375,N00122,N00201,cloud,2.916,0.628,0.467,1,False
E_QUBO_00376,N00122,N00032,privilege,0.923,0.698,0.465,10,False
