identity_id,node_id,auth_type,auth_strength,login_from_zones,typical,use_mfa
ID_01086,N00957,saml,high,"USER_LAN,SERVER_LAN,MGMT",yes,True
ID_01231,N01775,password,low,"DMZ,USER_LAN,MGMT",no,True
ID_00209,N00195,api_key,low,"DMZ,SERVER_LAN,PARTNER_VPN",yes,True
ID_00598,N01019,password,medium,"CLOUD,USER_LAN,PARTNER_VPN",yes,False
ID_00860,N01257,kerberos,medium,"CLOUD,PARTNER_VPN,SERVER_LAN",yes,False
ID_00706,N00314,kerberos,high,"MGMT,DMZ",no,False
ID_01031,N00990,api_key,low,"USER_LAN,DMZ,EXTERNAL",no,False
ID_00163,N00404,password,low,"USER_LAN,DMZ,CLOUD",yes,False
ID_01912,N01135,password,low,"MGMT,PARTNER_VPN",no,False
ID_01801,N00065,saml,high,DMZ,no,False
ID_00659,N00822,saml,medium,"SERVER_LAN,MGMT",yes,False
ID_01638,N00837,saml,high,"DMZ,EXTERNAL,OT",yes,False
ID_01083,N00690,saml,medium,"DMZ,USER_LAN",yes,False
ID_00493,N01078,kerberos,high,"EXTERNAL,DMZ,MGMT",yes,False
ID_01137,N00170,password,low,"CLOUD,PARTNER_VPN",yes,False
ID_01228,N01363,kerberos,high,"CLOUD,PARTNER_VPN",yes,True
ID_00504,N01380,saml,high,"OT,MGMT,CLOUD",yes,False
ID_01258,N00856,kerberos,medium,PARTNER_VPN,yes,False
ID_01025,N00658,kerberos,high,SERVER_LAN,yes,False
ID_00104,N00521,password,low,MGMT,yes,False
ID_01089,N01320,password,low,USER_LAN,yes,True
ID_00216,N00802,password,low,MGMT,yes,False
ID_01178,N00187,password,low,"DMZ,SERVER_LAN",yes,True
ID_00466,N01465,password,low,"CLOUD,DMZ",yes,False
ID_00642,N01592,password,medium,"EXTERNAL,SERVER_LAN",yes,False
ID_01793,N01914,password,low,"PARTNER_VPN,USER_LAN",yes,False
ID_00330,N00877,kerberos,medium,"EXTERNAL,USER_LAN,DMZ",yes,False
ID_00385,N00316,oauth,high,"MGMT,USER_LAN",yes,True
ID_00789,N00690,kerberos,high,"MGMT,USER_LAN",no,False
ID_00851,N01134,password,low,"CLOUD,USER_LAN",yes,False
ID_00580,N00726,saml,medium,"PARTNER_VPN,EXTERNAL,OT",no,False
ID_01195,N01653,password,medium,"PARTNER_VPN,USER_LAN",yes,False
ID_00832,N00504,password,low,"OT,USER_LAN",yes,False
ID_00558,N01202,api_key,low,"USER_LAN,OT",yes,False
ID_01156,N00129,password,low,SERVER_LAN,yes,False
ID_00355,N00355,kerberos,medium,"OT,USER_LAN,EXTERNAL",yes,True
ID_01369,N00622,kerberos,high,"OT,USER_LAN,DMZ",yes,True
ID_00444,N01956,kerberos,medium,CLOUD,yes,False
ID_00776,N00302,password,low,"USER_LAN,OT",no,False
ID_00940,N00047,password,low,USER_LAN,yes,False
ID_00155,N01243,saml,medium,"EXTERNAL,SERVER_LAN,DMZ",yes,False
ID_01884,N00676,password,low,EXTERNAL,yes,False
ID_01765,N01718,kerberos,high,"DMZ,PARTNER_VPN",yes,False
ID_00364,N00786,password,low,SERVER_LAN,yes,False
ID_00553,N01622,api_key,low,"DMZ,MGMT,OT",yes,True
ID_01158,N00368,oauth,high,"EXTERNAL,SERVER_LAN,OT",yes,False
ID_00324,N01941,oauth,high,"PARTNER_VPN,CLOUD,MGMT",yes,False
ID_00710,N00306,password,low,DMZ,yes,True
ID_00367,N01277,api_key,low,"PARTNER_VPN,CLOUD,MGMT",yes,True
ID_01025,N00665,kerberos,medium,SERVER_LAN,yes,True
ID_00438,N01372,password,low,"MGMT,PARTNER_VPN,DMZ",yes,False
ID_00969,N00649,password,low,"PARTNER_VPN,CLOUD,MGMT",yes,False
ID_00825,N00606,kerberos,high,"DMZ,OT",yes,False
ID_01785,N00440,kerberos,medium,"DMZ,EXTERNAL,USER_LAN",yes,True
ID_00437,N00818,kerberos,high,"EXTERNAL,SERVER_LAN",yes,False
ID_01896,N01696,oauth,medium,DMZ,no,False
ID_00510,N01625,password,low,SERVER_LAN,yes,False
ID_01872,N01206,password,low,OT,yes,False
ID_00552,N01355,password,low,CLOUD,yes,True
ID_01449,N00605,saml,high,SERVER_LAN,yes,False
ID_01622,N01580,password,low,"MGMT,PARTNER_VPN,EXTERNAL",yes,False
ID_00876,N00082,password,low,"MGMT,CLOUD,DMZ",yes,True
ID_01440,N00728,password,medium,"EXTERNAL,DMZ",yes,False
ID_01407,N00136,kerberos,high,CLOUD,yes,True
ID_01415,N00260,password,low,"DMZ,SERVER_LAN,PARTNER_VPN",yes,False
ID_00966,N00626,kerberos,high,"CLOUD,DMZ",yes,True
ID_00109,N01334,password,low,OT,yes,False
ID_00089,N00852,saml,medium,"EXTERNAL,SERVER_LAN",yes,False
ID_01778,N00745,kerberos,high,"OT,EXTERNAL",yes,False
ID_01493,N01637,kerberos,high,"SERVER_LAN,USER_LAN,CLOUD",yes,True
ID_00423,N01284,password,low,CLOUD,no,False
ID_00174,N01704,saml,medium,"SERVER_LAN,DMZ",yes,False
ID_01577,N01463,oauth,high,DMZ,yes,False
ID_00944,N01531,password,low,"USER_LAN,OT,DMZ",no,False
ID_00603,N00072,password,low,"MGMT,DMZ,SERVER_LAN",yes,False
ID_01125,N01375,oauth,high,"MGMT,PARTNER_VPN,SERVER_LAN",yes,True
ID_00983,N01028,kerberos,high,DMZ,yes,False
ID_00874,N00949,password,low,"MGMT,PARTNER_VPN",no,False
ID_01342,N01697,saml,medium,PARTNER_VPN,yes,False
ID_01138,N01024,password,low,"OT,MGMT",yes,False
ID_01414,N01836,oauth,high,OT,no,True
ID_01873,N00665,password,medium,"EXTERNAL,USER_LAN,MGMT",yes,False
ID_00188,N02000,kerberos,high,DMZ,yes,True
ID_01816,N01868,password,medium,"SERVER_LAN,OT",yes,False
ID_00388,N00885,oauth,high,"DMZ,MGMT",yes,False
ID_00640,N01808,kerberos,medium,OT,yes,False
ID_00909,N01595,password,low,MGMT,yes,True
ID_01712,N00082,kerberos,medium,"CLOUD,OT",yes,False
ID_00151,N01081,saml,high,"CLOUD,DMZ",yes,True
ID_00220,N01769,kerberos,medium,DMZ,yes,True
ID_01361,N00742,kerberos,high,CLOUD,no,False
ID_01139,N01059,kerberos,high,"DMZ,EXTERNAL",yes,False
ID_00681,N00789,password,low,"USER_LAN,OT",yes,False
ID_01501,N00540,kerberos,high,"EXTERNAL,MGMT,SERVER_LAN",yes,True
ID_01421,N01358,kerberos,high,"DMZ,PARTNER_VPN,OT",yes,False
ID_00449,N00102,saml,high,"SERVER_LAN,DMZ",yes,False
ID_01533,N00145,kerberos,high,SERVER_LAN,yes,True
ID_01710,N01573,password,low,EXTERNAL,yes,False
ID_01465,N00381,saml,high,"PARTNER_VPN,SERVER_LAN",yes,True
ID_01595,N01732,password,low,SERVER_LAN,no,False
ID_01243,N01309,password,medium,"CLOUD,OT,SERVER_LAN",no,False
ID_00430,N00861,password,medium,USER_LAN,yes,True
ID_01509,N01193,password,low,USER_LAN,yes,False
ID_01405,N00370,kerberos,medium,EXTERNAL,yes,False
ID_00898,N01491,password,medium,"SERVER_LAN,CLOUD",yes,False
ID_01648,N01217,password,low,"PARTNER_VPN,DMZ,EXTERNAL",yes,False
ID_01531,N01685,kerberos,medium,"PARTNER_VPN,USER_LAN",yes,False
ID_00628,N00780,kerberos,high,"EXTERNAL,MGMT,PARTNER_VPN",no,False
ID_00889,N00103,kerberos,high,"DMZ,OT,SERVER_LAN",no,False
ID_00817,N01248,password,medium,"DMZ,SERVER_LAN,PARTNER_VPN",yes,False
ID_01965,N01960,kerberos,high,PARTNER_VPN,yes,False
ID_01654,N00200,saml,high,"SERVER_LAN,DMZ",yes,False
ID_00766,N01094,kerberos,medium,OT,no,False
ID_01022,N00276,password,medium,"MGMT,EXTERNAL,PARTNER_VPN",yes,False
ID_01088,N00242,oauth,high,"DMZ,OT,PARTNER_VPN",no,False
ID_01472,N00891,api_key,low,PARTNER_VPN,yes,False
ID_01915,N01573,oauth,high,"OT,DMZ",yes,False
ID_00208,N01791,oauth,high,DMZ,yes,True
ID_00121,N01668,kerberos,medium,SERVER_LAN,no,True
ID_01150,N01971,oauth,high,"DMZ,CLOUD",yes,False
ID_00213,N00244,oauth,high,"USER_LAN,PARTNER_VPN,DMZ",yes,True
ID_00588,N00804,kerberos,medium,OT,yes,True
ID_00509,N00290,password,medium,"OT,USER_LAN",no,False
ID_01227,N01864,kerberos,high,"PARTNER_VPN,DMZ,EXTERNAL",no,False
ID_00249,N01341,kerberos,medium,"PARTNER_VPN,USER_LAN,SERVER_LAN",no,True
ID_01782,N01097,oauth,medium,"OT,DMZ,USER_LAN",yes,False
ID_01240,N01125,oauth,high,"EXTERNAL,OT,DMZ",yes,False
ID_01752,N00003,password,medium,"USER_LAN,PARTNER_VPN,OT",no,False
ID_00720,N01571,api_key,low,OT,yes,False
ID_00831,N01823,kerberos,high,OT,yes,True
ID_00245,N01519,saml,high,"CLOUD,DMZ,EXTERNAL",no,False
ID_00682,N00257,kerberos,medium,OT,yes,False
ID_00018,N00463,password,medium,PARTNER_VPN,no,True
ID_00057,N00545,oauth,high,"USER_LAN,PARTNER_VPN",yes,False
ID_00368,N00234,saml,medium,"CLOUD,SERVER_LAN,PARTNER_VPN",yes,True
ID_01765,N00966,oauth,high,"EXTERNAL,CLOUD,SERVER_LAN",yes,True
ID_01519,N01686,password,low,"PARTNER_VPN,MGMT",yes,False
ID_00538,N00003,password,low,"PARTNER_VPN,CLOUD,MGMT",yes,True
ID_01642,N01751,password,low,"SERVER_LAN,EXTERNAL",yes,False
ID_00171,N01163,oauth,high,EXTERNAL,yes,True
ID_00756,N01376,password,medium,"DMZ,MGMT,PARTNER_VPN",yes,False
ID_00301,N01836,kerberos,high,"DMZ,CLOUD",yes,False
ID_01394,N01778,kerberos,high,"USER_LAN,CLOUD,SERVER_LAN",yes,True
ID_01031,N01203,kerberos,high,"DMZ,OT,SERVER_LAN",no,False
ID_01163,N01018,oauth,medium,"MGMT,EXTERNAL,PARTNER_VPN",yes,False
ID_01243,N01162,password,low,"SERVER_LAN,CLOUD",yes,False
ID_00166,N01570,kerberos,high,"SERVER_LAN,EXTERNAL",yes,False
ID_00742,N01120,password,low,"MGMT,DMZ,PARTNER_VPN",no,True
ID_01805,N01771,api_key,low,"USER_LAN,SERVER_LAN",yes,False
ID_01152,N00412,saml,high,OT,no,False
ID_01462,N00468,password,low,DMZ,yes,False
ID_01651,N01247,password,low,DMZ,no,False
ID_01962,N00689,password,low,"DMZ,SERVER_LAN",yes,False
ID_01244,N01586,password,medium,"DMZ,OT,MGMT",no,True
ID_01033,N01535,password,low,"SERVER_LAN,OT,CLOUD",no,True
ID_00977,N01403,password,medium,"DMZ,PARTNER_VPN",yes,False
ID_01614,N01366,kerberos,high,MGMT,yes,False
ID_00725,N00840,api_key,low,"DMZ,MGMT,USER_LAN",yes,False
ID_00976,N00042,kerberos,high,"EXTERNAL,SERVER_LAN,OT",yes,False
ID_00302,N01212,kerberos,medium,SERVER_LAN,yes,False
ID_01867,N00696,saml,high,"EXTERNAL,SERVER_LAN,OT",yes,False
ID_00286,N00066,saml,medium,DMZ,yes,False
ID_01665,N00486,password,low,PARTNER_VPN,yes,False
ID_00798,N01976,password,low,"MGMT,USER_LAN,CLOUD",yes,False
ID_00549,N01119,password,medium,"CLOUD,OT",yes,False
ID_00944,N00135,password,medium,"USER_LAN,SERVER_LAN,PARTNER_VPN",yes,False
ID_01165,N01299,password,medium,PARTNER_VPN,no,False
ID_01719,N00668,password,medium,CLOUD,yes,False
ID_00616,N01312,saml,high,"PARTNER_VPN,CLOUD,SERVER_LAN",no,False
ID_01757,N00692,kerberos,high,"MGMT,DMZ",yes,False
ID_01678,N01471,password,medium,"USER_LAN,EXTERNAL,SERVER_LAN",no,False
ID_01413,N00061,kerberos,high,"SERVER_LAN,CLOUD,DMZ",yes,True
ID_01199,N00525,api_key,low,"DMZ,USER_LAN",yes,False
ID_00016,N01110,saml,high,"EXTERNAL,SERVER_LAN,OT",yes,False
ID_00854,N01495,password,low,"PARTNER_VPN,EXTERNAL,SERVER_LAN",yes,True
ID_00430,N00599,password,low,"DMZ,SERVER_LAN,CLOUD",yes,False
ID_00945,N00374,password,low,"EXTERNAL,MGMT,SERVER_LAN",yes,True
ID_01544,N00408,oauth,medium,SERVER_LAN,yes,True
ID_01812,N01732,oauth,medium,"PARTNER_VPN,USER_LAN,DMZ",yes,False
ID_00572,N01075,password,medium,"SERVER_LAN,OT,MGMT",no,False
ID_00142,N00330,password,medium,PARTNER_VPN,yes,True
ID_01349,N00131,kerberos,high,"EXTERNAL,USER_LAN,CLOUD",yes,True
ID_01601,N01391,password,low,PARTNER_VPN,yes,False
ID_01456,N01099,password,medium,CLOUD,no,False
ID_01609,N01532,password,medium,PARTNER_VPN,yes,False
ID_00424,N00520,password,low,OT,no,False
ID_00121,N01427,kerberos,high,MGMT,no,True
ID_00316,N01317,password,low,"PARTNER_VPN,EXTERNAL",no,False
ID_01841,N00122,saml,medium,"CLOUD,MGMT",no,False
ID_00798,N01901,oauth,high,"SERVER_LAN,PARTNER_VPN,OT",yes,False
ID_01214,N01655,password,low,OT,yes,True
ID_00301,N00928,kerberos,high,SERVER_LAN,no,False
ID_01796,N01751,password,medium,PARTNER_VPN,yes,False
ID_00812,N00488,api_key,medium,"SERVER_LAN,PARTNER_VPN",yes,True
ID_00504,N01985,kerberos,medium,"EXTERNAL,PARTNER_VPN,MGMT",yes,True
ID_00201,N01113,password,medium,"PARTNER_VPN,SERVER_LAN",yes,True
ID_00530,N00894,oauth,medium,"MGMT,DMZ,SERVER_LAN",yes,False
ID_00835,N01198,kerberos,high,"SERVER_LAN,EXTERNAL",yes,False
ID_00289,N01525,password,low,MGMT,yes,True
ID_01858,N00675,password,low,USER_LAN,no,True
ID_01742,N01396,kerberos,high,"MGMT,PARTNER_VPN,OT",no,False
ID_00090,N00146,password,medium,"CLOUD,PARTNER_VPN,DMZ",yes,False
ID_00637,N00742,password,low,"USER_LAN,SERVER_LAN,CLOUD",yes,False
ID_01674,N00727,password,low,"USER_LAN,PARTNER_VPN",yes,False
ID_00809,N00870,kerberos,medium,"OT,PARTNER_VPN",no,False
ID_01929,N01676,password,medium,"EXTERNAL,DMZ",yes,False
ID_01495,N01744,password,low,DMZ,yes,False
ID_00506,N00444,password,low,PARTNER_VPN,yes,True
ID_01306,N00963,password,low,CLOUD,no,False
ID_01140,N00533,kerberos,high,"OT,CLOUD,DMZ",yes,True
ID_01737,N00663,oauth,high,"EXTERNAL,CLOUD,MGMT",yes,True
ID_00358,N01589,password,low,"MGMT,OT",no,False
ID_00888,N01089,password,low,"MGMT,CLOUD,OT",yes,False
ID_01467,N00433,kerberos,medium,"MGMT,OT",yes,False
ID_01793,N00593,oauth,high,"MGMT,OT,SERVER_LAN",yes,False
ID_00624,N01551,password,medium,"PARTNER_VPN,EXTERNAL,OT",no,False
ID_00185,N00888,password,low,"MGMT,CLOUD",yes,False
ID_01847,N00654,password,medium,USER_LAN,yes,True
ID_00049,N00165,password,low,USER_LAN,yes,True
ID_00997,N00294,password,medium,SERVER_LAN,yes,False
ID_01221,N00586,kerberos,high,"SERVER_LAN,MGMT",no,False
ID_01326,N01801,password,low,"SERVER_LAN,CLOUD,EXTERNAL",yes,True
ID_00051,N01387,password,low,"CLOUD,USER_LAN",yes,True
ID_01626,N01651,password,low,"USER_LAN,OT",no,False
ID_00402,N01804,password,low,"PARTNER_VPN,SERVER_LAN",yes,False
ID_01323,N01223,oauth,high,USER_LAN,yes,True
ID_01267,N01421,password,medium,"EXTERNAL,SERVER_LAN,OT",yes,False
ID_01155,N01249,oauth,medium,"DMZ,CLOUD,USER_LAN",yes,True
ID_00307,N01286,oauth,medium,"MGMT,OT,SERVER_LAN",no,False
ID_00779,N02000,oauth,high,"PARTNER_VPN,USER_LAN,CLOUD",yes,False
ID_01368,N01918,oauth,high,EXTERNAL,yes,False
ID_00668,N00149,password,low,"DMZ,OT",yes,False
ID_01955,N01244,kerberos,high,"DMZ,MGMT,SERVER_LAN",yes,True
ID_00026,N01327,kerberos,medium,"EXTERNAL,SERVER_LAN,DMZ",yes,False
ID_02000,N00940,kerberos,high,MGMT,yes,False
ID_01726,N00072,password,low,"EXTERNAL,SERVER_LAN,CLOUD",yes,False
ID_00112,N01957,saml,medium,"DMZ,SERVER_LAN,PARTNER_VPN",yes,False
ID_00317,N01565,password,low,MGMT,yes,True
ID_00324,N01377,kerberos,medium,EXTERNAL,yes,False
ID_01395,N00272,password,low,"DMZ,USER_LAN",yes,False
ID_00948,N00761,password,low,"DMZ,SERVER_LAN,PARTNER_VPN",yes,False
ID_00269,N01256,password,low,"DMZ,MGMT,OT",yes,False
ID_00003,N00463,oauth,high,"CLOUD,PARTNER_VPN,DMZ",no,True
ID_00891,N01097,password,medium,USER_LAN,yes,False
ID_00486,N00939,password,low,"OT,SERVER_LAN",yes,True
ID_01382,N01347,password,low,"EXTERNAL,PARTNER_VPN",yes,False
ID_01753,N00661,password,low,DMZ,yes,True
ID_01455,N00434,oauth,high,"MGMT,CLOUD,PARTNER_VPN",no,False
ID_01498,N00489,password,medium,"CLOUD,MGMT,USER_LAN",yes,False
ID_01143,N01298,oauth,high,"EXTERNAL,MGMT",yes,False
ID_00881,N00305,password,low,"MGMT,SERVER_LAN,EXTERNAL",yes,True
ID_01864,N01792,kerberos,medium,PARTNER_VPN,yes,True
ID_01069,N00500,kerberos,high,OT,yes,False
ID_00888,N01736,oauth,high,SERVER_LAN,yes,False
ID_01357,N01217,kerberos,high,DMZ,no,False
ID_01093,N01363,password,low,DMZ,yes,False
ID_00607,N00627,kerberos,high,"OT,CLOUD,MGMT",yes,True
ID_01274,N01593,api_key,medium,MGMT,yes,True
ID_01426,N01920,password,medium,"OT,EXTERNAL",no,False
ID_01844,N01942,password,low,"USER_LAN,OT,EXTERNAL",yes,True
ID_00892,N00885,kerberos,high,"DMZ,OT,CLOUD",yes,False
ID_00248,N00734,saml,medium,PARTNER_VPN,yes,True
ID_00146,N01893,kerberos,medium,"DMZ,PARTNER_VPN",yes,False
ID_01061,N01077,kerberos,medium,"DMZ,USER_LAN",no,False
ID_00826,N00596,password,medium,"MGMT,EXTERNAL,PARTNER_VPN",yes,False
ID_01832,N00010,oauth,high,"USER_LAN,DMZ",yes,False
ID_00629,N00194,oauth,high,"SERVER_LAN,OT",yes,True
ID_01325,N00265,password,low,"PARTNER_VPN,CLOUD,OT",no,False
ID_00156,N00929,kerberos,high,OT,no,False
ID_00127,N00030,password,low,"MGMT,OT,USER_LAN",yes,False
ID_00430,N00290,password,medium,"PARTNER_VPN,SERVER_LAN,OT",yes,True
ID_00632,N00778,password,low,"EXTERNAL,USER_LAN",yes,False
ID_00605,N00753,password,medium,"USER_LAN,PARTNER_VPN,SERVER_LAN",no,False
ID_00204,N01813,password,medium,"CLOUD,EXTERNAL",yes,True
ID_01496,N01441,password,low,DMZ,yes,False
ID_00474,N01657,kerberos,high,"USER_LAN,PARTNER_VPN,OT",yes,False
ID_00091,N01470,password,low,USER_LAN,no,False
ID_00517,N01463,kerberos,medium,"USER_LAN,PARTNER_VPN,DMZ",yes,False
ID_00383,N01758,password,medium,"OT,EXTERNAL,MGMT",no,True
ID_01943,N00995,oauth,medium,"OT,PARTNER_VPN",yes,False
ID_00881,N01568,kerberos,medium,MGMT,no,False
ID_01182,N01126,oauth,high,USER_LAN,no,False
ID_00061,N01663,password,medium,"CLOUD,MGMT,OT",yes,False
ID_01724,N01569,oauth,high,USER_LAN,yes,True
ID_01804,N00175,kerberos,high,"EXTERNAL,DMZ",yes,False
ID_00300,N01835,saml,medium,"OT,EXTERNAL",yes,False
ID_01754,N00282,password,low,OT,no,False
ID_01550,N01719,api_key,low,"DMZ,EXTERNAL,SERVER_LAN",yes,False
ID_01886,N01053,kerberos,high,"USER_LAN,EXTERNAL,OT",yes,False
ID_01787,N00934,kerberos,medium,"OT,PARTNER_VPN,EXTERNAL",yes,False
ID_01994,N00791,password,low,PARTNER_VPN,yes,False
ID_00351,N00190,password,low,USER_LAN,no,True
ID_01878,N00039,password,low,"USER_LAN,CLOUD",yes,False
ID_00272,N00064,kerberos,high,"PARTNER_VPN,USER_LAN",yes,False
ID_01582,N01962,saml,high,"MGMT,CLOUD",no,False
ID_01774,N01477,kerberos,high,CLOUD,yes,True
ID_01297,N00924,password,low,"DMZ,SERVER_LAN",yes,False
ID_00132,N01897,password,low,"PARTNER_VPN,DMZ,OT",yes,True
ID_00700,N01361,password,medium,"OT,MGMT",yes,True
ID_00922,N00965,password,low,"DMZ,PARTNER_VPN",yes,False
ID_01103,N00256,kerberos,medium,"SERVER_LAN,OT,EXTERNAL",yes,False
ID_01459,N00636,password,medium,"OT,EXTERNAL,MGMT",yes,False
ID_00606,N00307,password,medium,"OT,PARTNER_VPN,EXTERNAL",yes,False
ID_01982,N00850,password,medium,"CLOUD,USER_LAN,MGMT",yes,False
ID_00224,N01148,kerberos,high,"SERVER_LAN,OT",yes,True
ID_00556,N00980,kerberos,medium,EXTERNAL,no,False
ID_00690,N00017,kerberos,high,MGMT,yes,False
ID_01648,N01964,password,low,"PARTNER_VPN,EXTERNAL",yes,False
ID_00028,N01485,oauth,high,"MGMT,EXTERNAL",yes,False
ID_00018,N01124,password,medium,"OT,CLOUD,SERVER_LAN",yes,False
ID_00443,N00900,oauth,medium,"OT,SERVER_LAN,PARTNER_VPN",yes,False
ID_01460,N01027,oauth,high,"MGMT,CLOUD",no,False
ID_01361,N01736,oauth,high,PARTNER_VPN,yes,True
ID_00468,N01940,api_key,low,"CLOUD,MGMT,SERVER_LAN",yes,True
ID_00242,N00595,saml,high,"PARTNER_VPN,EXTERNAL",yes,False
ID_00617,N00185,saml,high,OT,yes,False
ID_00040,N00823,api_key,medium,PARTNER_VPN,no,False
ID_00950,N01415,password,low,"SERVER_LAN,EXTERNAL,PARTNER_VPN",yes,False
ID_01723,N01630,kerberos,high,MGMT,yes,False
ID_00838,N00900,password,low,"PARTNER_VPN,OT",yes,False
ID_00109,N01695,oauth,medium,"DMZ,USER_LAN",no,False
ID_00623,N00100,password,low,"SERVER_LAN,CLOUD",no,False
ID_00038,N01928,kerberos,high,"USER_LAN,CLOUD",yes,True
ID_00994,N01445,password,low,OT,yes,False
ID_01141,N01532,kerberos,high,OT,yes,False
ID_01756,N00075,kerberos,high,"DMZ,SERVER_LAN",yes,False
ID_01593,N00132,kerberos,high,"MGMT,USER_LAN",yes,False
ID_00893,N00450,saml,medium,"DMZ,SERVER_LAN,USER_LAN",yes,False
ID_01664,N01116,saml,high,"CLOUD,PARTNER_VPN",yes,False
ID_00131,N01565,password,medium,"SERVER_LAN,PARTNER_VPN,CLOUD",yes,False
ID_00865,N00508,kerberos,medium,"EXTERNAL,OT",yes,False
ID_01492,N00314,kerberos,medium,"OT,MGMT",yes,False
ID_01246,N00911,password,medium,"USER_LAN,CLOUD",yes,False
ID_01932,N00187,saml,high,"DMZ,OT",no,False
ID_00022,N00391,api_key,low,"USER_LAN,DMZ,CLOUD",no,True
ID_00643,N01135,password,medium,"OT,USER_LAN,CLOUD",no,False
ID_00395,N00807,password,low,"MGMT,USER_LAN,DMZ",yes,False
ID_01213,N00079,saml,medium,OT,yes,False
ID_01830,N00741,password,medium,"DMZ,USER_LAN,PARTNER_VPN",no,False
ID_00808,N00096,password,medium,"DMZ,EXTERNAL",yes,False
ID_01236,N00080,kerberos,medium,"OT,SERVER_LAN",yes,False
ID_00569,N01739,kerberos,high,OT,yes,False
ID_01359,N00949,password,low,"PARTNER_VPN,CLOUD,MGMT",yes,False
ID_01404,N00409,kerberos,high,"USER_LAN,DMZ",no,True
ID_00414,N01063,password,medium,"PARTNER_VPN,OT",yes,False
ID_01207,N00666,oauth,medium,MGMT,yes,False
ID_01911,N01849,saml,medium,"DMZ,PARTNER_VPN",yes,False
ID_00109,N00349,saml,medium,"SERVER_LAN,CLOUD,MGMT",yes,False
ID_01336,N01414,kerberos,high,OT,no,True
ID_01409,N00615,password,medium,DMZ,yes,False
ID_00740,N00556,api_key,medium,"USER_LAN,DMZ,EXTERNAL",yes,False
ID_01937,N01766,oauth,high,EXTERNAL,yes,False
ID_01957,N01623,password,low,"EXTERNAL,OT,SERVER_LAN",yes,True
ID_00195,N01562,password,low,OT,no,False
ID_01454,N00531,oauth,high,"PARTNER_VPN,DMZ",yes,False
ID_01286,N01655,password,low,"USER_LAN,MGMT",yes,False
ID_01598,N01563,password,low,MGMT,yes,True
ID_00863,N01140,password,low,"MGMT,OT",no,False
ID_01844,N01066,oauth,medium,"DMZ,EXTERNAL,OT",no,False
ID_00831,N00838,kerberos,high,"OT,USER_LAN,SERVER_LAN",yes,False
ID_01625,N01656,password,low,CLOUD,yes,True
ID_01224,N01954,password,low,"OT,SERVER_LAN",yes,False
ID_01839,N00410,oauth,high,"OT,SERVER_LAN,DMZ",yes,True
ID_00573,N00347,password,low,"DMZ,EXTERNAL",yes,False
ID_01674,N01401,oauth,high,"SERVER_LAN,PARTNER_VPN",yes,True
ID_01918,N00688,kerberos,high,"MGMT,SERVER_LAN",yes,False
ID_01921,N00508,saml,high,"PARTNER_VPN,SERVER_LAN,CLOUD",yes,True
ID_00810,N01865,password,medium,"PARTNER_VPN,EXTERNAL",no,True
