role_id,provider,privilege_level,description,privilege_score
CR00042,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00043,Oracle,security_engineer,Access to security monitoring and policy configuration.,5
CR00044,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00045,Oracle,tech_user,Basic operational access for assigned services.,2
CR00046,Azure,system_admin,High-privilege system-level access.,8
CR00047,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00048,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR00049,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR00050,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00051,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00052,GCP,system_admin,High-privilege system-level access.,7
CR00053,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00054,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00055,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00056,AWS,system_admin,High-privilege system-level access.,9
CR00057,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00058,AWS,tech_user,Basic operational access for assigned services.,2
CR00059,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00060,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00061,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR00062,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR00063,AWS,cloud_super_admin,Global privileged control across provider resources.,11
CR00064,GCP,read_only,Limited read-only access to cloud resources.,1
CR00065,AWS,tenant_admin,Full administrative access within a specific tenant.,9
CR00066,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00067,AWS,tech_user,Basic operational access for assigned services.,3
CR00068,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00069,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR00070,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR00071,Oracle,system_admin,High-privilege system-level access.,8
CR00072,GCP,read_only,Limited read-only access to cloud resources.,2
CR00073,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR00074,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR00075,AWS,system_admin,High-privilege system-level access.,7
CR00076,GCP,read_only,Limited read-only access to cloud resources.,1
CR00077,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00078,AWS,read_only,Limited read-only access to cloud resources.,2
CR00079,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR00080,AWS,tenant_admin,Full administrative access within a specific tenant.,9
CR00081,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00082,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR00083,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR00084,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR00085,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00086,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR00087,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR00088,Azure,security_engineer,Access to security monitoring and policy configuration.,7
CR00089,GCP,tech_user,Basic operational access for assigned services.,2
CR00090,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00091,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00092,GCP,developer,Developer-level access to compute and storage APIs.,4
CR00093,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR00094,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00095,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00096,Azure,read_only,Limited read-only access to cloud resources.,2
CR00097,GCP,tech_user,Basic operational access for assigned services.,2
CR00098,GCP,read_only,Limited read-only access to cloud resources.,1
CR00099,AWS,read_only,Limited read-only access to cloud resources.,2
CR00100,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00101,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00102,GCP,system_admin,High-privilege system-level access.,8
CR00103,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR00104,GCP,tech_user,Basic operational access for assigned services.,3
CR00105,AWS,security_engineer,Access to security monitoring and policy configuration.,7
CR00106,AWS,read_only,Limited read-only access to cloud resources.,2
CR00107,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00108,AWS,tech_user,Basic operational access for assigned services.,2
CR00109,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00110,GCP,read_only,Limited read-only access to cloud resources.,2
CR00111,GCP,system_admin,High-privilege system-level access.,7
CR00112,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00113,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR00114,Oracle,tech_user,Basic operational access for assigned services.,3
CR00115,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR00116,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00117,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR00118,GCP,tech_user,Basic operational access for assigned services.,3
CR00119,Oracle,security_engineer,Access to security monitoring and policy configuration.,5
CR00120,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR00121,Oracle,system_admin,High-privilege system-level access.,8
CR00122,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00123,Azure,read_only,Limited read-only access to cloud resources.,2
CR00124,AWS,tech_user,Basic operational access for assigned services.,2
CR00125,DigitalOcean,developer,Developer-level access to compute and storage APIs.,3
CR00126,GCP,tech_user,Basic operational access for assigned services.,2
CR00127,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR00128,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR00129,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00130,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00131,AWS,developer,Developer-level access to compute and storage APIs.,3
CR00132,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR00133,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR00134,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00135,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR00136,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR00137,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR00138,Oracle,tech_user,Basic operational access for assigned services.,3
CR00139,Oracle,system_admin,High-privilege system-level access.,9
CR00140,Azure,system_admin,High-privilege system-level access.,8
CR00141,Oracle,developer,Developer-level access to compute and storage APIs.,5
CR00142,Azure,system_admin,High-privilege system-level access.,9
CR00143,Azure,security_engineer,Access to security monitoring and policy configuration.,7
CR00144,Oracle,system_admin,High-privilege system-level access.,7
CR00145,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00146,Azure,system_admin,High-privilege system-level access.,7
CR00147,Azure,system_admin,High-privilege system-level access.,7
CR00148,Azure,system_admin,High-privilege system-level access.,7
CR00149,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR00150,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR00151,Oracle,developer,Developer-level access to compute and storage APIs.,5
CR00152,DigitalOcean,system_admin,High-privilege system-level access.,8
CR00153,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00154,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR00155,AWS,system_admin,High-privilege system-level access.,9
CR00156,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00157,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR00158,Azure,tech_user,Basic operational access for assigned services.,3
CR00159,Oracle,cloud_super_admin,Global privileged control across provider resources.,10
CR00160,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR00161,GCP,read_only,Limited read-only access to cloud resources.,2
CR00162,GCP,system_admin,High-privilege system-level access.,8
CR00163,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00164,Oracle,system_admin,High-privilege system-level access.,8
CR00165,AWS,read_only,Limited read-only access to cloud resources.,1
CR00166,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00167,Azure,developer,Developer-level access to compute and storage APIs.,4
CR00168,Azure,tenant_admin,Full administrative access within a specific tenant.,8
CR00169,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR00170,GCP,tech_user,Basic operational access for assigned services.,2
CR00171,DigitalOcean,system_admin,High-privilege system-level access.,9
CR00172,GCP,tech_user,Basic operational access for assigned services.,2
CR00173,Azure,tenant_admin,Full administrative access within a specific tenant.,8
CR00174,AWS,system_admin,High-privilege system-level access.,9
CR00175,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00176,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00177,Oracle,security_engineer,Access to security monitoring and policy configuration.,5
CR00178,Azure,read_only,Limited read-only access to cloud resources.,1
CR00179,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00180,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00181,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR00182,Azure,read_only,Limited read-only access to cloud resources.,2
CR00183,Oracle,tech_user,Basic operational access for assigned services.,3
CR00184,Azure,security_engineer,Access to security monitoring and policy configuration.,7
CR00185,GCP,tech_user,Basic operational access for assigned services.,3
CR00186,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00187,GCP,system_admin,High-privilege system-level access.,9
CR00188,DigitalOcean,developer,Developer-level access to compute and storage APIs.,4
CR00189,GCP,read_only,Limited read-only access to cloud resources.,2
CR00190,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00191,Azure,tech_user,Basic operational access for assigned services.,2
CR00192,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR00193,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR00194,Azure,system_admin,High-privilege system-level access.,7
CR00195,AWS,developer,Developer-level access to compute and storage APIs.,3
CR00196,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR00197,Azure,tenant_admin,Full administrative access within a specific tenant.,8
CR00198,DigitalOcean,system_admin,High-privilege system-level access.,8
CR00199,AWS,tech_user,Basic operational access for assigned services.,3
CR00200,AWS,read_only,Limited read-only access to cloud resources.,1
CR00201,AWS,read_only,Limited read-only access to cloud resources.,2
CR00202,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR00203,AWS,tech_user,Basic operational access for assigned services.,3
CR00204,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00205,GCP,system_admin,High-privilege system-level access.,9
CR00206,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR00207,Azure,system_admin,High-privilege system-level access.,8
CR00208,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR00209,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00210,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00211,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00212,Oracle,security_engineer,Access to security monitoring and policy configuration.,6
CR00213,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00214,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR00215,Azure,cloud_super_admin,Global privileged control across provider resources.,11
CR00216,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR00217,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00218,Azure,read_only,Limited read-only access to cloud resources.,1
CR00219,GCP,tech_user,Basic operational access for assigned services.,3
CR00220,AWS,read_only,Limited read-only access to cloud resources.,2
CR00221,DigitalOcean,system_admin,High-privilege system-level access.,9
CR00222,GCP,developer,Developer-level access to compute and storage APIs.,4
CR00223,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR00224,AWS,system_admin,High-privilege system-level access.,8
CR00225,Oracle,system_admin,High-privilege system-level access.,7
CR00226,Oracle,security_engineer,Access to security monitoring and policy configuration.,7
CR00227,DigitalOcean,system_admin,High-privilege system-level access.,7
CR00228,DigitalOcean,system_admin,High-privilege system-level access.,9
CR00229,Azure,cloud_super_admin,Global privileged control across provider resources.,10
CR00230,GCP,developer,Developer-level access to compute and storage APIs.,3
CR00231,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR00232,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00233,Oracle,tech_user,Basic operational access for assigned services.,2
CR00234,Azure,read_only,Limited read-only access to cloud resources.,2
CR00235,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00236,Azure,tenant_admin,Full administrative access within a specific tenant.,9
CR00237,Azure,tech_user,Basic operational access for assigned services.,3
CR00238,GCP,system_admin,High-privilege system-level access.,8
CR00239,Oracle,cloud_super_admin,Global privileged control across provider resources.,10
CR00240,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00241,DigitalOcean,developer,Developer-level access to compute and storage APIs.,4
CR00242,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00243,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00244,AWS,developer,Developer-level access to compute and storage APIs.,3
CR00245,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00246,AWS,system_admin,High-privilege system-level access.,9
CR00247,Azure,tech_user,Basic operational access for assigned services.,2
CR00248,Azure,system_admin,High-privilege system-level access.,8
CR00249,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00250,Azure,security_engineer,Access to security monitoring and policy configuration.,5
CR00251,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR00252,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR00253,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00254,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00255,AWS,system_admin,High-privilege system-level access.,7
CR00256,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00257,DigitalOcean,developer,Developer-level access to compute and storage APIs.,4
CR00258,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00259,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00260,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00261,Azure,read_only,Limited read-only access to cloud resources.,1
CR00262,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00263,Oracle,security_engineer,Access to security monitoring and policy configuration.,5
CR00264,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00265,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00266,AWS,system_admin,High-privilege system-level access.,7
CR00267,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00268,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,10
CR00269,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00270,Azure,read_only,Limited read-only access to cloud resources.,2
CR00271,GCP,security_engineer,Access to security monitoring and policy configuration.,5
CR00272,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,7
CR00273,GCP,read_only,Limited read-only access to cloud resources.,1
CR00274,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00275,AWS,system_admin,High-privilege system-level access.,9
CR00276,AWS,read_only,Limited read-only access to cloud resources.,1
CR00277,GCP,system_admin,High-privilege system-level access.,7
CR00278,GCP,tech_user,Basic operational access for assigned services.,3
CR00279,GCP,tech_user,Basic operational access for assigned services.,3
CR00280,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR00281,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR00282,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00283,GCP,system_admin,High-privilege system-level access.,9
CR00284,Azure,tech_user,Basic operational access for assigned services.,2
CR00285,GCP,tech_user,Basic operational access for assigned services.,3
CR00286,Azure,system_admin,High-privilege system-level access.,9
CR00287,GCP,tech_user,Basic operational access for assigned services.,3
CR00288,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00289,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR00290,Azure,system_admin,High-privilege system-level access.,7
CR00291,AWS,system_admin,High-privilege system-level access.,9
CR00292,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00293,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00294,Azure,system_admin,High-privilege system-level access.,8
CR00295,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00296,Oracle,system_admin,High-privilege system-level access.,9
CR00297,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR00298,GCP,read_only,Limited read-only access to cloud resources.,2
CR00299,Azure,system_admin,High-privilege system-level access.,9
CR00300,Oracle,system_admin,High-privilege system-level access.,8
CR00301,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,7
CR00302,Oracle,system_admin,High-privilege system-level access.,8
CR00303,AWS,cloud_super_admin,Global privileged control across provider resources.,10
CR00304,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR00305,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00306,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00307,AWS,tenant_admin,Full administrative access within a specific tenant.,10
CR00308,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR00309,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00310,Oracle,system_admin,High-privilege system-level access.,8
CR00311,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR00312,Azure,system_admin,High-privilege system-level access.,9
CR00313,GCP,read_only,Limited read-only access to cloud resources.,2
CR00314,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00315,AWS,cloud_super_admin,Global privileged control across provider resources.,12
CR00316,GCP,read_only,Limited read-only access to cloud resources.,2
CR00317,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00318,Oracle,security_engineer,Access to security monitoring and policy configuration.,7
CR00319,Oracle,tenant_admin,Full administrative access within a specific tenant.,8
CR00320,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,10
CR00321,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR00322,AWS,tenant_admin,Full administrative access within a specific tenant.,8
CR00323,GCP,system_admin,High-privilege system-level access.,9
CR00324,GCP,read_only,Limited read-only access to cloud resources.,1
CR00325,Oracle,system_admin,High-privilege system-level access.,9
CR00326,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,5
CR00327,AWS,security_engineer,Access to security monitoring and policy configuration.,5
CR00328,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00329,GCP,system_admin,High-privilege system-level access.,7
CR00330,Azure,tech_user,Basic operational access for assigned services.,3
CR00331,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR00332,Oracle,system_admin,High-privilege system-level access.,7
CR00333,GCP,tech_user,Basic operational access for assigned services.,3
CR00334,AWS,system_admin,High-privilege system-level access.,7
CR00335,GCP,tenant_admin,Full administrative access within a specific tenant.,10
CR00336,Azure,tech_user,Basic operational access for assigned services.,2
CR00337,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00338,Azure,read_only,Limited read-only access to cloud resources.,2
CR00339,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR00340,Oracle,cloud_super_admin,Global privileged control across provider resources.,11
CR00341,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,9
CR00342,GCP,cloud_super_admin,Global privileged control across provider resources.,12
CR00343,DigitalOcean,tenant_admin,Full administrative access within a specific tenant.,8
CR00344,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR00345,AWS,system_admin,High-privilege system-level access.,8
CR00346,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00347,GCP,read_only,Limited read-only access to cloud resources.,2
CR00348,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,11
CR00349,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00350,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00351,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00352,DigitalOcean,developer,Developer-level access to compute and storage APIs.,5
CR00353,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR00354,DigitalOcean,cloud_super_admin,Global privileged control across provider resources.,12
CR00355,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00356,GCP,tech_user,Basic operational access for assigned services.,3
CR00357,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00358,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR00359,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00360,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00361,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00362,Azure,developer,Developer-level access to compute and storage APIs.,3
CR00363,AWS,read_only,Limited read-only access to cloud resources.,2
CR00364,Oracle,cloud_super_admin,Global privileged control across provider resources.,10
CR00365,GCP,security_engineer,Access to security monitoring and policy configuration.,6
CR00366,DigitalOcean,read_only,Limited read-only access to cloud resources.,2
CR00367,DigitalOcean,tech_user,Basic operational access for assigned services.,2
CR00368,AWS,developer,Developer-level access to compute and storage APIs.,5
CR00369,GCP,cloud_super_admin,Global privileged control across provider resources.,10
CR00370,Oracle,tech_user,Basic operational access for assigned services.,2
CR00371,GCP,tech_user,Basic operational access for assigned services.,3
CR00372,Azure,developer,Developer-level access to compute and storage APIs.,5
CR00373,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00374,AWS,tech_user,Basic operational access for assigned services.,3
CR00375,GCP,read_only,Limited read-only access to cloud resources.,1
CR00376,Oracle,tech_user,Basic operational access for assigned services.,3
CR00377,AWS,tech_user,Basic operational access for assigned services.,2
CR00378,AWS,system_admin,High-privilege system-level access.,8
CR00379,AWS,system_admin,High-privilege system-level access.,8
CR00380,Azure,security_engineer,Access to security monitoring and policy configuration.,6
CR00381,GCP,tech_user,Basic operational access for assigned services.,2
CR00382,AWS,system_admin,High-privilege system-level access.,7
CR00383,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00384,AWS,developer,Developer-level access to compute and storage APIs.,5
CR00385,DigitalOcean,system_admin,High-privilege system-level access.,9
CR00386,Azure,tenant_admin,Full administrative access within a specific tenant.,10
CR00387,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00388,GCP,read_only,Limited read-only access to cloud resources.,2
CR00389,GCP,tenant_admin,Full administrative access within a specific tenant.,9
CR00390,GCP,cloud_super_admin,Global privileged control across provider resources.,11
CR00391,Azure,tenant_admin,Full administrative access within a specific tenant.,8
CR00392,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00393,DigitalOcean,tech_user,Basic operational access for assigned services.,3
CR00394,Azure,system_admin,High-privilege system-level access.,7
CR00395,Oracle,tech_user,Basic operational access for assigned services.,2
CR00396,Oracle,read_only,Limited read-only access to cloud resources.,2
CR00397,DigitalOcean,read_only,Limited read-only access to cloud resources.,1
CR00398,GCP,tech_user,Basic operational access for assigned services.,2
CR00399,Oracle,developer,Developer-level access to compute and storage APIs.,3
CR00400,GCP,system_admin,High-privilege system-level access.,7
CR00401,AWS,system_admin,High-privilege system-level access.,9
CR00402,GCP,security_engineer,Access to security monitoring and policy configuration.,7
CR00403,GCP,tech_user,Basic operational access for assigned services.,3
CR00404,Oracle,tech_user,Basic operational access for assigned services.,3
CR00405,Azure,system_admin,High-privilege system-level access.,7
CR00406,AWS,system_admin,High-privilege system-level access.,7
CR00407,GCP,system_admin,High-privilege system-level access.,8
CR00408,GCP,read_only,Limited read-only access to cloud resources.,1
CR00409,AWS,developer,Developer-level access to compute and storage APIs.,3
CR00410,Oracle,developer,Developer-level access to compute and storage APIs.,5
CR00411,DigitalOcean,developer,Developer-level access to compute and storage APIs.,4
CR00412,Azure,system_admin,High-privilege system-level access.,7
CR00413,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR00414,DigitalOcean,system_admin,High-privilege system-level access.,7
CR00415,Azure,read_only,Limited read-only access to cloud resources.,1
CR00416,Azure,system_admin,High-privilege system-level access.,7
CR00417,Oracle,cloud_super_admin,Global privileged control across provider resources.,12
CR00418,GCP,developer,Developer-level access to compute and storage APIs.,3
CR00419,Oracle,developer,Developer-level access to compute and storage APIs.,4
CR00420,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00421,Azure,system_admin,High-privilege system-level access.,7
CR00422,DigitalOcean,system_admin,High-privilege system-level access.,8
CR00423,AWS,read_only,Limited read-only access to cloud resources.,2
CR00424,Azure,tenant_admin,Full administrative access within a specific tenant.,8
CR00425,Azure,cloud_super_admin,Global privileged control across provider resources.,12
CR00426,AWS,developer,Developer-level access to compute and storage APIs.,4
CR00427,Oracle,read_only,Limited read-only access to cloud resources.,1
CR00428,DigitalOcean,developer,Developer-level access to compute and storage APIs.,4
CR00429,Oracle,tech_user,Basic operational access for assigned services.,2
CR00430,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,6
CR00431,GCP,tenant_admin,Full administrative access within a specific tenant.,8
CR00432,AWS,security_engineer,Access to security monitoring and policy configuration.,6
CR00433,Azure,tech_user,Basic operational access for assigned services.,3
CR00434,Oracle,tenant_admin,Full administrative access within a specific tenant.,10
CR00435,GCP,system_admin,High-privilege system-level access.,7
CR00436,AWS,tech_user,Basic operational access for assigned services.,3
CR00437,Oracle,tenant_admin,Full administrative access within a specific tenant.,9
CR00438,GCP,system_admin,High-privilege system-level access.,9
CR00439,AWS,developer,Developer-level access to compute and storage APIs.,5
CR00440,DigitalOcean,security_engineer,Access to security monitoring and policy configuration.,7
