eid,src,dst,egde_class,relation,direction,port_proto,zone_crossing,guarded_by,detection_prob,exploitability,lat_move,policy_violation,misconfig_source_rule,misconfig_effect
E000027,N00151,N00176,L3->L4,network,outbound,53/udp,0,none,0.044,0.691,0.905,0,,
E000028,N00151,N00070,L3->L4,api,outbound,445/tcp,0,fw_strict,0.191,0.957,0.86,0,,
E000029,N00151,N00135,L3->L4,api,inbound,80/tcp,0,fw_strict,0.379,0.435,0.063,0,,
E000030,N00151,N00081,L3->L4,mgmt,bidirectional,443/tcp,0,fw_strict,0.43,0.778,0.818,0,,
E000031,N00151,N00184,L3->L4,db_conn,inbound,445/tcp,0,none,0.634,0.302,0.135,0,,
E000032,N00077,N00176,L3->L4,rpc,outbound,22/tcp,0,fw_strict,0.42,0.751,0.133,0,,
E000033,N00077,N00070,L3->L4,api,outbound,443/tcp,0,microseg,0.186,0.719,0.408,0,,
E000034,N00077,N00135,L3->L4,network,bidirectional,53/udp,0,microseg,0.433,0.611,0.305,0,,
E000035,N00077,N00081,L3->L4,mgmt,outbound,80/tcp,0,microseg,0.418,0.877,0.366,0,,
E000036,N00077,N00184,L3->L4,mgmt,bidirectional,22/tcp,0,microseg,0.428,0.851,0.47,0,,
E000037,N00176,N00028,L4->T,mgmt,inbound,22/tcp,0,microseg,0.412,0.973,0.895,0,,
E000038,N00070,N00028,L4->T,network,bidirectional,53/udp,0,none,0.26,0.95,0.324,0,,
E000039,N00135,N00028,L4->T,api,inbound,53/udp,0,microseg,0.136,0.455,0.256,0,,
E000040,N00081,N00028,L4->T,rpc,bidirectional,53/udp,0,fw_strict,0.564,0.518,0.883,0,,
E000041,N00184,N00028,L4->T,db_conn,bidirectional,80/tcp,0,microseg,0.675,0.309,0.849,0,,
E000042,N00043,N00122,L0->L1,db_conn,inbound,53/udp,0,microseg,0.113,0.725,0.319,0,,
E000043,N00043,N00194,L0->L1,mgmt,inbound,443/tcp,0,microseg,0.327,0.562,0.165,0,,
E000044,N00043,N00167,L0->L1,rpc,bidirectional,22/tcp,0,fw_strict,0.063,0.905,0.992,0,,
E000045,N00043,N00198,L0->L1,network,bidirectional,443/tcp,0,microseg,0.36,0.546,0.539,0,,
E000046,N00043,N00161,L0->L1,db_conn,bidirectional,3389/tcp,0,fw_basic,0.145,0.528,0.168,0,,
E000047,N00122,N00201,L1->L2,network,inbound,443/tcp,0,fw_basic,0.149,0.843,0.051,0,,
E000048,N00122,N00032,L1->L2,network,bidirectional,3389/tcp,0,fw_strict,0.44,0.628,0.44,0,,
E000049,N00194,N00201,L1->L2,rpc,bidirectional,80/tcp,0,none,0.31,0.576,0.328,0,,
E000050,N00194,N00032,L1->L2,db_conn,outbound,53/udp,0,none,0.67,0.991,0.359,0,,
E000051,N00167,N00201,L1->L2,mgmt,outbound,443/tcp,0,fw_basic,0.163,0.36,0.566,0,,
E000052,N00167,N00032,L1->L2,db_conn,outbound,443/tcp,0,microseg,0.019,0.689,0.33,0,,
E000053,N00198,N00201,L1->L2,mgmt,outbound,443/tcp,0,fw_strict,0.639,0.945,0.548,0,,
E000054,N00198,N00032,L1->L2,rpc,bidirectional,80/tcp,0,fw_basic,0.252,0.731,0.743,0,,
E000055,N00161,N00201,L1->L2,api,outbound,80/tcp,0,fw_strict,0.321,0.77,0.384,0,,
E000056,N00161,N00032,L1->L2,api,bidirectional,22/tcp,0,none,0.496,0.339,0.89,0,,
E000057,N00201,N00104,L2->L3,db_conn,outbound,22/tcp,0,microseg,0.69,0.904,0.894,0,,
E000058,N00201,N00151,L2->L3,api,inbound,3389/tcp,0,none,0.381,0.706,0.423,0,,
E000059,N00201,N00077,L2->L3,network,bidirectional,3389/tcp,0,fw_basic,0.46,0.521,0.433,0,,
E000060,N00032,N00104,L2->L3,api,outbound,3389/tcp,0,microseg,0.656,0.346,0.087,0,,
E000061,N00032,N00151,L2->L3,db_conn,inbound,53/udp,0,none,0.278,0.379,0.767,0,,
E000062,N00032,N00077,L2->L3,db_conn,inbound,445/tcp,0,none,0.144,0.969,0.066,0,,
E000063,N00104,N00176,L3->L4,mgmt,bidirectional,3389/tcp,0,microseg,0.42,0.338,0.296,0,,
E000064,N00104,N00070,L3->L4,mgmt,inbound,443/tcp,0,none,0.441,0.873,0.001,0,,
E000065,N00104,N00135,L3->L4,rpc,outbound,445/tcp,0,microseg,0.164,0.638,0.321,0,,
E000066,N00104,N00081,L3->L4,api,inbound,80/tcp,0,microseg,0.344,0.54,0.803,0,,
E000067,N00104,N00184,L3->L4,mgmt,bidirectional,445/tcp,0,fw_basic,0.272,0.358,0.77,0,,
E000068,N00151,N00176,L3->L4,network,inbound,445/tcp,0,none,0.554,0.692,0.411,0,,
E000069,N00151,N00070,L3->L4,rpc,bidirectional,80/tcp,0,none,0.21,0.99,0.259,0,,
E000070,N00151,N00135,L3->L4,network,inbound,443/tcp,0,fw_strict,0.532,0.582,0.541,0,,
E000071,N00151,N00081,L3->L4,rpc,inbound,22/tcp,0,microseg,0.569,0.451,0.521,0,,
E000072,N00151,N00184,L3->L4,api,outbound,445/tcp,0,microseg,0.093,0.737,0.435,0,,
E000073,N00077,N00176,L3->L4,api,bidirectional,3389/tcp,0,fw_strict,0.652,0.577,0.401,0,,
E000074,N00077,N00070,L3->L4,network,inbound,3389/tcp,0,none,0.29,0.727,0.803,0,,
E000075,N00077,N00135,L3->L4,network,bidirectional,445/tcp,0,microseg,0.358,0.969,0.803,0,,
E000076,N00077,N00081,L3->L4,rpc,bidirectional,22/tcp,0,fw_strict,0.689,0.315,0.002,0,,
E000077,N00077,N00184,L3->L4,rpc,outbound,445/tcp,0,fw_strict,0.469,0.567,0.074,0,,
E000078,N00176,N00100,L4->T,api,bidirectional,445/tcp,0,fw_basic,0.404,0.929,0.583,0,,
E000079,N00070,N00100,L4->T,rpc,bidirectional,22/tcp,0,microseg,0.045,0.831,0.316,1,,
E000080,N00135,N00100,L4->T,mgmt,bidirectional,22/tcp,0,fw_strict,0.668,0.625,0.785,0,,
E000081,N00081,N00100,L4->T,rpc,outbound,3389/tcp,0,fw_basic,0.58,0.881,0.128,0,,
E000082,N00184,N00100,L4->T,mgmt,outbound,443/tcp,0,fw_strict,0.633,0.334,0.618,0,,
E000083,N00043,N00122,L0->L1,rpc,inbound,443/tcp,0,none,0.453,0.651,0.628,0,,
E000084,N00043,N00194,L0->L1,mgmt,bidirectional,3389/tcp,0,fw_strict,0.132,0.428,0.289,0,,
E000085,N00043,N00167,L0->L1,network,outbound,443/tcp,0,fw_basic,0.365,0.333,0.685,0,,
E000086,N00043,N00198,L0->L1,db_conn,outbound,443/tcp,0,none,0.619,0.576,0.201,0,,
E000087,N00043,N00161,L0->L1,rpc,outbound,443/tcp,0,microseg,0.232,0.812,0.919,0,,
E000088,N00122,N00201,L1->L2,network,inbound,3389/tcp,0,none,0.411,0.833,0.989,0,,
E000089,N00122,N00032,L1->L2,mgmt,outbound,445/tcp,0,fw_strict,0.583,0.748,0.902,0,,
E000090,N00194,N00201,L1->L2,mgmt,outbound,53/udp,0,none,0.269,0.812,0.014,0,,
E000091,N00194,N00032,L1->L2,db_conn,inbound,445/tcp,0,fw_strict,0.015,0.766,0.894,0,,
E000092,N00167,N00201,L1->L2,db_conn,outbound,22/tcp,0,none,0.183,0.79,0.785,0,,
E000093,N00167,N00032,L1->L2,mgmt,outbound,3389/tcp,0,fw_basic,0.107,0.748,0.875,0,,
E000094,N00198,N00201,L1->L2,api,inbound,3389/tcp,0,fw_strict,0.083,0.895,0.047,0,,
E000095,N00198,N00032,L1->L2,api,inbound,3389/tcp,0,microseg,0.572,0.829,0.492,0,,
E000096,N00161,N00201,L1->L2,mgmt,bidirectional,3389/tcp,0,fw_strict,0.462,0.606,0.324,1,,
E000097,N00161,N00032,L1->L2,rpc,bidirectional,445/tcp,0,fw_strict,0.127,0.694,0.719,0,,
E000098,N00201,N00104,L2->L3,db_conn,outbound,53/udp,0,microseg,0.395,0.487,0.575,0,,
E000099,N00201,N00151,L2->L3,rpc,inbound,80/tcp,0,microseg,0.522,0.78,0.64,0,,
E000100,N00201,N00077,L2->L3,rpc,outbound,22/tcp,0,none,0.108,0.636,0.608,0,,
E000101,N00032,N00104,L2->L3,db_conn,inbound,53/udp,0,none,0.244,0.623,0.894,0,,
E000102,N00032,N00151,L2->L3,api,bidirectional,53/udp,0,none,0.254,0.769,0.478,0,,
E000103,N00032,N00077,L2->L3,api,bidirectional,80/tcp,0,none,0.52,0.317,0.856,0,,
E000104,N00104,N00176,L3->L4,db_conn,inbound,445/tcp,0,fw_strict,0.097,0.557,0.818,0,,
E000105,N00104,N00070,L3->L4,mgmt,outbound,445/tcp,0,none,0.33,0.427,0.922,0,,
E000106,N00104,N00135,L3->L4,api,inbound,443/tcp,0,none,0.386,0.301,0.33,0,,
E000107,N00104,N00081,L3->L4,mgmt,outbound,3389/tcp,0,fw_basic,0.578,0.489,0.864,0,,
E000108,N00104,N00184,L3->L4,rpc,outbound,22/tcp,0,none,0.11,0.669,0.578,0,,
E000109,N00151,N00176,L3->L4,db_conn,bidirectional,22/tcp,0,fw_basic,0.198,0.922,0.219,0,,
E000110,N00151,N00070,L3->L4,network,outbound,443/tcp,0,none,0.572,0.833,0.114,0,,
E000111,N00151,N00135,L3->L4,db_conn,inbound,443/tcp,0,none,0.061,0.749,0.472,0,,
E000112,N00151,N00081,L3->L4,rpc,bidirectional,443/tcp,0,fw_strict,0.557,0.402,0.439,0,,
E000113,N00151,N00184,L3->L4,rpc,bidirectional,3389/tcp,0,microseg,0.313,0.47,0.933,0,,
E000114,N00077,N00176,L3->L4,api,inbound,22/tcp,0,fw_strict,0.503,0.748,0.481,0,,
E000115,N00077,N00070,L3->L4,network,inbound,3389/tcp,0,none,0.292,0.793,0.797,0,,
E000116,N00077,N00135,L3->L4,rpc,outbound,80/tcp,0,microseg,0.597,0.458,0.875,0,,
E000117,N00077,N00081,L3->L4,mgmt,bidirectional,445/tcp,0,fw_strict,0.323,0.588,0.335,0,,
E000118,N00077,N00184,L3->L4,rpc,bidirectional,3389/tcp,0,fw_basic,0.291,0.751,0.176,0,,
E000119,N00176,N00110,L4->T,mgmt,inbound,80/tcp,0,none,0.628,0.527,0.696,0,,
E000120,N00070,N00110,L4->T,mgmt,inbound,22/tcp,0,microseg,0.188,0.567,0.291,0,,
E000121,N00135,N00110,L4->T,rpc,bidirectional,53/udp,0,none,0.343,0.375,0.133,0,,
E000122,N00081,N00110,L4->T,rpc,bidirectional,3389/tcp,0,fw_strict,0.365,0.744,0.81,0,,
E000123,N00184,N00110,L4->T,db_conn,outbound,80/tcp,0,none,0.128,0.724,0.541,0,,
E000124,N00043,N00122,L0->L1,rpc,outbound,22/tcp,0,none,0.377,0.369,0.861,0,,
E000125,N00043,N00194,L0->L1,api,bidirectional,80/tcp,0,fw_basic,0.045,0.947,0.987,0,,
E000126,N00043,N00167,L0->L1,api,inbound,22/tcp,0,microseg,0.233,0.689,0.235,0,,
E000127,N00043,N00198,L0->L1,network,bidirectional,22/tcp,0,microseg,0.061,0.305,0.109,0,,
E000128,N00043,N00161,L0->L1,api,bidirectional,80/tcp,0,fw_strict,0.293,0.486,0.059,0,,
E000129,N00122,N00201,L1->L2,rpc,inbound,80/tcp,0,microseg,0.543,0.639,0.917,0,,
E000130,N00122,N00032,L1->L2,api,outbound,22/tcp,0,fw_basic,0.083,0.627,0.223,0,,
E000131,N00194,N00201,L1->L2,mgmt,inbound,53/udp,0,microseg,0.655,0.82,0.365,0,,
E000132,N00194,N00032,L1->L2,network,outbound,22/tcp,0,fw_basic,0.15,0.817,0.545,0,,
E000133,N00167,N00201,L1->L2,db_conn,inbound,53/udp,0,fw_basic,0.32,0.972,0.793,0,,
E000134,N00167,N00032,L1->L2,db_conn,bidirectional,22/tcp,0,fw_strict,0.5,0.874,0.788,0,,
E000135,N00198,N00201,L1->L2,db_conn,bidirectional,80/tcp,0,microseg,0.291,0.327,0.954,0,,
E000136,N00198,N00032,L1->L2,db_conn,bidirectional,53/udp,0,microseg,0.643,0.335,0.789,0,,
E000137,N00161,N00201,L1->L2,network,outbound,443/tcp,0,none,0.093,0.431,0.576,0,,
E000138,N00161,N00032,L1->L2,network,bidirectional,22/tcp,0,none,0.592,0.572,0.243,0,,
E000139,N00201,N00104,L2->L3,api,bidirectional,443/tcp,0,fw_basic,0.488,0.501,0.599,0,,
E000140,N00201,N00151,L2->L3,db_conn,inbound,80/tcp,0,fw_strict,0.101,0.782,0.416,0,,
E000141,N00201,N00077,L2->L3,db_conn,outbound,80/tcp,0,fw_strict,0.556,0.867,0.81,0,,
E000142,N00032,N00104,L2->L3,mgmt,outbound,443/tcp,0,none,0.0,0.438,0.16,0,,
E000143,N00032,N00151,L2->L3,rpc,outbound,53/udp,0,microseg,0.15,0.765,0.846,0,,
E000144,N00032,N00077,L2->L3,network,bidirectional,3389/tcp,0,fw_strict,0.626,0.956,0.15,0,,
E000145,N00104,N00176,L3->L4,mgmt,inbound,3389/tcp,0,microseg,0.063,0.419,0.765,0,,
E000146,N00104,N00070,L3->L4,api,bidirectional,80/tcp,0,none,0.657,0.832,0.684,1,,
E000147,N00104,N00135,L3->L4,network,bidirectional,53/udp,0,fw_strict,0.589,0.785,0.573,0,,
E000148,N00104,N00081,L3->L4,api,bidirectional,445/tcp,0,fw_strict,0.465,0.79,0.282,0,,
E000149,N00104,N00184,L3->L4,api,inbound,443/tcp,0,fw_strict,0.012,0.9,0.667,0,,
E000150,N00151,N00176,L3->L4,mgmt,bidirectional,22/tcp,0,none,0.411,0.418,0.962,0,,
E000151,N00151,N00070,L3->L4,network,outbound,22/tcp,0,fw_basic,0.024,0.507,0.011,0,,
E000152,N00151,N00135,L3->L4,mgmt,inbound,53/udp,0,fw_basic,0.129,0.706,0.729,0,,
E000153,N00151,N00081,L3->L4,mgmt,inbound,3389/tcp,0,microseg,0.683,0.732,0.426,0,,
E000154,N00151,N00184,L3->L4,network,outbound,22/tcp,0,none,0.354,0.467,0.255,0,,
E000155,N00077,N00176,L3->L4,mgmt,outbound,445/tcp,0,microseg,0.574,0.837,0.333,0,,
E000156,N00077,N00070,L3->L4,db_conn,bidirectional,443/tcp,0,fw_basic,0.478,0.608,0.487,0,,
E000157,N00077,N00135,L3->L4,api,inbound,80/tcp,0,fw_basic,0.515,0.78,0.656,1,,
E000158,N00077,N00081,L3->L4,rpc,bidirectional,22/tcp,0,none,0.662,0.307,0.238,0,,
E000159,N00077,N00184,L3->L4,rpc,outbound,445/tcp,0,fw_basic,0.54,0.697,0.384,0,,
E000160,N00176,N00116,L4->T,network,outbound,445/tcp,0,fw_basic,0.286,0.952,0.151,0,,
E000161,N00070,N00116,L4->T,api,inbound,80/tcp,0,microseg,0.051,0.756,0.084,0,,
E000162,N00135,N00116,L4->T,network,outbound,443/tcp,0,microseg,0.216,0.456,0.237,0,,
E000163,N00081,N00116,L4->T,db_conn,bidirectional,443/tcp,0,none,0.012,0.353,0.184,0,,
E000164,N00184,N00116,L4->T,db_conn,bidirectional,22/tcp,0,microseg,0.212,0.684,0.61,0,,
E000165,N00043,N00122,L0->L1,rpc,inbound,445/tcp,0,none,0.271,0.587,0.246,0,,
E000166,N00043,N00194,L0->L1,network,outbound,80/tcp,0,fw_strict,0.523,0.543,0.13,0,,
E000167,N00043,N00167,L0->L1,db_conn,outbound,443/tcp,0,fw_basic,0.283,0.766,0.467,0,,
E000168,N00043,N00198,L0->L1,network,outbound,445/tcp,0,fw_strict,0.092,0.462,0.229,0,,
E000169,N00043,N00161,L0->L1,api,bidirectional,443/tcp,0,fw_strict,0.302,0.349,0.16,0,,
E000170,N00122,N00201,L1->L2,mgmt,bidirectional,22/tcp,0,none,0.318,0.701,0.409,0,,
E000171,N00122,N00032,L1->L2,db_conn,bidirectional,80/tcp,0,microseg,0.608,0.543,0.219,0,,
E000172,N00194,N00201,L1->L2,api,outbound,3389/tcp,0,none,0.077,0.472,0.142,0,,
E000173,N00194,N00032,L1->L2,network,outbound,443/tcp,0,microseg,0.315,0.358,0.867,0,,
E000174,N00167,N00201,L1->L2,rpc,inbound,53/udp,0,microseg,0.278,0.584,0.233,0,,
E000175,N00167,N00032,L1->L2,api,outbound,53/udp,0,fw_strict,0.663,0.327,0.211,0,,
E000176,N00198,N00201,L1->L2,db_conn,inbound,443/tcp,0,none,0.538,0.984,0.085,0,,
E000177,N00198,N00032,L1->L2,api,inbound,445/tcp,0,fw_basic,0.297,0.359,0.448,1,,
E000178,N00161,N00201,L1->L2,network,outbound,3389/tcp,0,fw_strict,0.027,0.749,0.293,0,,
E000179,N00161,N00032,L1->L2,db_conn,outbound,443/tcp,0,fw_basic,0.274,0.563,0.476,0,,
E000180,N00201,N00104,L2->L3,mgmt,bidirectional,53/udp,0,none,0.543,0.574,0.149,0,,
E000181,N00201,N00151,L2->L3,db_conn,inbound,53/udp,0,microseg,0.338,0.742,0.605,0,,
E000182,N00201,N00077,L2->L3,db_conn,inbound,80/tcp,0,none,0.029,0.828,0.346,0,,
E000183,N00032,N00104,L2->L3,api,bidirectional,22/tcp,0,none,0.503,0.548,0.166,0,,
E000184,N00032,N00151,L2->L3,api,outbound,80/tcp,0,microseg,0.063,0.551,0.376,0,,
E000185,N00032,N00077,L2->L3,network,bidirectional,443/tcp,0,fw_strict,0.389,0.432,0.312,0,,
E000186,N00104,N00176,L3->L4,rpc,inbound,443/tcp,0,none,0.175,0.925,0.33,0,,
E000187,N00104,N00070,L3->L4,network,bidirectional,443/tcp,0,fw_basic,0.336,0.483,0.636,0,,
E000188,N00104,N00135,L3->L4,rpc,inbound,80/tcp,0,fw_strict,0.157,0.615,0.829,0,,
E000189,N00104,N00081,L3->L4,mgmt,bidirectional,22/tcp,0,fw_basic,0.127,0.52,0.73,0,,
E000190,N00104,N00184,L3->L4,network,bidirectional,53/udp,0,fw_strict,0.101,0.644,0.209,0,,
E000191,N00151,N00176,L3->L4,db_conn,bidirectional,445/tcp,0,fw_basic,0.277,0.929,0.355,0,,
E000192,N00151,N00070,L3->L4,mgmt,inbound,443/tcp,0,none,0.634,0.397,0.226,0,,
E000193,N00151,N00135,L3->L4,rpc,outbound,445/tcp,0,none,0.532,0.908,0.84,0,,
E000194,N00151,N00081,L3->L4,rpc,outbound,443/tcp,0,microseg,0.028,0.988,0.917,0,,
E000195,N00151,N00184,L3->L4,api,outbound,80/tcp,0,microseg,0.242,0.636,0.953,0,,
E000196,N00077,N00176,L3->L4,db_conn,outbound,22/tcp,0,fw_strict,0.041,0.608,0.107,0,,
E000197,N00077,N00070,L3->L4,api,bidirectional,3389/tcp,0,fw_basic,0.222,0.691,0.008,0,,
E000198,N00077,N00135,L3->L4,network,bidirectional,3389/tcp,0,fw_strict,0.07,0.417,0.681,0,,
E000199,N00077,N00081,L3->L4,api,inbound,53/udp,0,microseg,0.111,0.732,0.232,0,,
E000200,N00077,N00184,L3->L4,network,inbound,445/tcp,0,microseg,0.484,0.817,0.532,0,,
E000201,N00176,N00174,L4->T,db_conn,bidirectional,53/udp,0,microseg,0.22,0.512,0.455,0,,
E000202,N00070,N00174,L4->T,mgmt,bidirectional,3389/tcp,0,none,0.506,0.556,0.25,0,,
E000203,N00135,N00174,L4->T,network,bidirectional,80/tcp,0,fw_basic,0.237,0.36,0.099,0,,
E000204,N00081,N00174,L4->T,rpc,bidirectional,22/tcp,0,fw_basic,0.541,0.694,0.795,0,,
E000205,N00184,N00174,L4->T,network,outbound,3389/tcp,0,fw_basic,0.074,0.405,0.94,0,,
E000206,N00043,N00122,L0->L1,mgmt,inbound,445/tcp,0,microseg,0.128,0.801,0.878,0,,
E000207,N00043,N00194,L0->L1,api,outbound,80/tcp,0,none,0.062,0.819,0.634,0,,
E000208,N00043,N00167,L0->L1,db_conn,outbound,443/tcp,0,none,0.012,0.419,0.685,0,,
E000209,N00043,N00198,L0->L1,api,bidirectional,22/tcp,0,none,0.255,0.424,0.031,0,,
E000210,N00043,N00161,L0->L1,rpc,outbound,53/udp,0,microseg,0.582,0.339,0.01,0,,
E000211,N00122,N00201,L1->L2,db_conn,inbound,22/tcp,0,none,0.49,0.854,0.06,0,,
E000212,N00122,N00032,L1->L2,network,outbound,80/tcp,0,fw_basic,0.63,0.367,0.222,0,,
E000213,N00194,N00201,L1->L2,rpc,bidirectional,22/tcp,0,fw_strict,0.276,0.899,0.622,0,,
E000214,N00194,N00032,L1->L2,mgmt,bidirectional,443/tcp,0,none,0.513,0.523,0.463,0,,
E000215,N00167,N00201,L1->L2,rpc,outbound,443/tcp,0,fw_basic,0.387,0.927,0.769,0,,
E000216,N00167,N00032,L1->L2,mgmt,bidirectional,22/tcp,0,fw_basic,0.28,0.5,0.355,0,,
E000217,N00198,N00201,L1->L2,api,outbound,443/tcp,0,fw_basic,0.457,0.876,0.12,0,,
E000218,N00198,N00032,L1->L2,network,bidirectional,443/tcp,0,none,0.183,0.328,0.396,0,,
E000219,N00161,N00201,L1->L2,db_conn,inbound,53/udp,0,microseg,0.168,0.363,0.9,0,,
E000220,N00161,N00032,L1->L2,rpc,inbound,445/tcp,0,fw_strict,0.393,0.359,0.789,0,,
E000221,N00201,N00104,L2->L3,api,outbound,3389/tcp,0,none,0.655,0.367,0.162,0,,
E000222,N00201,N00151,L2->L3,network,bidirectional,3389/tcp,0,fw_strict,0.525,0.765,0.14,0,,
E000223,N00201,N00077,L2->L3,db_conn,inbound,443/tcp,0,fw_basic,0.247,0.986,0.075,0,,
E000224,N00032,N00104,L2->L3,rpc,inbound,53/udp,0,microseg,0.04,0.95,0.436,0,,
E000225,N00032,N00151,L2->L3,db_conn,inbound,53/udp,0,microseg,0.201,0.764,0.621,0,,
E000226,N00032,N00077,L2->L3,api,inbound,53/udp,0,microseg,0.558,0.391,0.272,0,,
E000227,N00104,N00176,L3->L4,mgmt,outbound,80/tcp,0,microseg,0.414,0.367,0.404,0,,
E000228,N00104,N00070,L3->L4,rpc,bidirectional,445/tcp,0,fw_strict,0.31,0.434,0.606,0,,
E000229,N00104,N00135,L3->L4,db_conn,bidirectional,53/udp,0,fw_basic,0.329,0.725,0.428,0,,
E000230,N00104,N00081,L3->L4,api,outbound,53/udp,0,none,0.315,0.957,0.891,0,,
E000231,N00104,N00184,L3->L4,db_conn,outbound,443/tcp,0,fw_basic,0.084,0.698,0.336,0,,
E000232,N00151,N00176,L3->L4,db_conn,inbound,22/tcp,0,fw_strict,0.583,0.375,0.051,0,,
E000233,N00151,N00070,L3->L4,network,inbound,445/tcp,0,fw_strict,0.277,0.462,0.681,0,,
E000234,N00151,N00135,L3->L4,network,bidirectional,445/tcp,0,fw_strict,0.248,0.694,0.345,0,,
E000235,N00151,N00081,L3->L4,network,inbound,80/tcp,0,fw_strict,0.695,0.383,0.442,0,,
E000236,N00151,N00184,L3->L4,api,outbound,445/tcp,0,fw_basic,0.69,0.361,0.539,0,,
E000237,N00077,N00176,L3->L4,network,outbound,53/udp,0,fw_basic,0.23,0.881,0.215,0,,
E000238,N00077,N00070,L3->L4,rpc,bidirectional,22/tcp,0,fw_basic,0.209,0.323,0.178,0,,
E000239,N00077,N00135,L3->L4,rpc,bidirectional,53/udp,0,microseg,0.115,0.589,0.855,0,,
E000240,N00077,N00081,L3->L4,api,bidirectional,445/tcp,0,fw_basic,0.558,0.306,0.073,0,,
E000241,N00077,N00184,L3->L4,mgmt,bidirectional,22/tcp,0,fw_strict,0.625,0.337,0.1,0,,
E000242,N00176,N00181,L4->T,api,bidirectional,443/tcp,0,fw_strict,0.269,0.347,0.466,0,,
E000243,N00070,N00181,L4->T,network,inbound,443/tcp,0,fw_strict,0.103,0.436,0.338,1,,
E000244,N00135,N00181,L4->T,api,bidirectional,53/udp,0,none,0.228,0.827,0.812,0,,
E000245,N00081,N00181,L4->T,rpc,bidirectional,53/udp,0,fw_strict,0.59,0.477,0.611,0,,
E000246,N00184,N00181,L4->T,mgmt,bidirectional,80/tcp,0,fw_strict,0.609,0.714,0.385,0,,
E000247,N00043,N00122,L0->L1,api,outbound,22/tcp,0,microseg,0.357,0.996,0.07,0,,
E000248,N00043,N00194,L0->L1,rpc,outbound,80/tcp,0,none,0.407,0.776,0.417,0,,
E000249,N00043,N00167,L0->L1,network,bidirectional,445/tcp,0,microseg,0.589,0.595,0.574,0,,
E000250,N00043,N00198,L0->L1,api,bidirectional,80/tcp,0,fw_basic,0.212,0.69,0.884,0,,
E000251,N00043,N00161,L0->L1,rpc,outbound,443/tcp,0,fw_strict,0.185,0.327,0.966,0,,
E000252,N00122,N00201,L1->L2,rpc,outbound,443/tcp,0,none,0.358,0.713,0.165,0,,
E000253,N00122,N00032,L1->L2,rpc,bidirectional,445/tcp,0,none,0.165,0.708,0.868,0,,
