asset,control_type,config,status,misconfig_prob,is_misconfigured,config_source,config_drift_score
N00017,Logging,moderate,enabled,0.027,False,inherited,0.58
N00017,IAMPolicy,strict,disabled,0.08,False,inherited,0.33
N00018,NetworkIsolation,moderate,enabled,0.026,False,manual,0.36
N00018,WAF,strict,enabled,0.328,True,manual,0.06
N00018,Firewall,legacy,disabled,0.183,False,policy_engine,0.16
N00019,WAF,baseline,disabled,0.13,False,policy_engine,0.01
N00020,Firewall,strict,disabled,0.28,True,inherited,0.4
N00021,EDR,legacy,partial,0.299,True,manual,0.07
N00021,IAMPolicy,strict,partial,0.224,False,manual,0.42
N00022,IAMPolicy,moderate,disabled,0.007,False,policy_engine,0.1
N00023,Hardening,strict,partial,0.307,True,policy_engine,0.83
N00023,CloudPolicy,strict,disabled,0.205,False,policy_engine,0.91
N00024,Firewall,strict,partial,0.332,True,inherited,0.69
N00024,WAF,strict,disabled,0.0,False,auto,0.68
N00025,NetworkIsolation,strict,disabled,0.209,False,inherited,0.56
N00025,IAMPolicy,strict,disabled,0.344,True,policy_engine,0.75
N00025,EDR,moderate,enabled,0.038,False,inherited,0.16
N00026,Hardening,legacy,disabled,0.119,False,policy_engine,0.62
N00026,Logging,legacy,disabled,0.282,True,auto,0.67
N00027,NetworkIsolation,baseline,enabled,0.256,True,manual,0.88
N00027,Logging,moderate,enabled,0.015,False,auto,0.06
N00028,Firewall,baseline,enabled,0.23,False,inherited,0.62
N00028,WAF,legacy,enabled,0.07,False,manual,0.72
N00029,IAMPolicy,strict,partial,0.322,True,auto,0.3
N00029,CloudPolicy,baseline,disabled,0.306,True,auto,0.25
N00030,CloudPolicy,strict,partial,0.315,True,policy_engine,0.54
N00030,EDR,baseline,enabled,0.327,True,inherited,0.5
N00031,CloudPolicy,moderate,partial,0.131,False,auto,0.44
N00031,IAMPolicy,legacy,partial,0.109,False,inherited,0.68
N00031,WAF,legacy,partial,0.207,False,inherited,0.38
N00032,Logging,strict,disabled,0.116,False,policy_engine,0.64
N00032,Hardening,baseline,enabled,0.035,False,manual,0.13
N00032,WAF,moderate,partial,0.043,False,manual,0.5
N00033,WAF,strict,disabled,0.033,False,inherited,0.62
N00033,NetworkIsolation,strict,enabled,0.022,False,manual,0.77
N00034,Firewall,strict,partial,0.348,True,auto,0.91
N00034,EDR,strict,partial,0.243,False,policy_engine,0.77
N00035,IAMPolicy,baseline,partial,0.249,False,policy_engine,0.92
N00035,WAF,baseline,partial,0.063,False,inherited,0.91
N00036,WAF,legacy,enabled,0.157,False,auto,0.23
N00036,Logging,legacy,disabled,0.263,True,policy_engine,0.26
N00036,Logging,strict,enabled,0.187,False,policy_engine,0.31
N00037,Hardening,moderate,partial,0.167,False,auto,0.35
N00038,IAMPolicy,baseline,partial,0.159,False,inherited,0.18
N00039,CloudPolicy,legacy,disabled,0.209,False,auto,0.84
N00040,Logging,legacy,partial,0.333,True,policy_engine,0.58
N00040,NetworkIsolation,baseline,disabled,0.189,False,inherited,0.43
N00040,Logging,baseline,partial,0.038,False,inherited,0.34
N00041,IAMPolicy,baseline,disabled,0.059,False,inherited,0.91
N00041,CloudPolicy,strict,disabled,0.109,False,auto,0.56
N00042,IAMPolicy,moderate,enabled,0.177,False,inherited,0.58
N00043,Firewall,strict,enabled,0.049,False,manual,0.57
N00043,EDR,baseline,partial,0.312,True,inherited,0.52
N00043,EDR,moderate,enabled,0.342,True,policy_engine,0.83
N00044,CloudPolicy,baseline,disabled,0.189,False,inherited,0.26
N00044,Firewall,legacy,disabled,0.04,False,auto,0.03
N00045,Hardening,baseline,enabled,0.308,True,manual,0.23
N00045,Logging,strict,partial,0.049,False,policy_engine,0.75
N00046,Hardening,legacy,disabled,0.15,False,inherited,0.69
N00046,IAMPolicy,baseline,disabled,0.108,False,policy_engine,0.91
N00047,Firewall,baseline,enabled,0.111,False,policy_engine,0.92
N00047,NetworkIsolation,legacy,enabled,0.151,False,policy_engine,0.44
N00047,Logging,baseline,disabled,0.275,True,policy_engine,0.49
N00048,Hardening,moderate,disabled,0.293,True,manual,0.86
N00049,WAF,moderate,partial,0.117,False,policy_engine,0.86
N00049,EDR,baseline,disabled,0.305,True,policy_engine,0.93
N00050,WAF,moderate,enabled,0.26,True,policy_engine,0.26
N00050,IAMPolicy,moderate,partial,0.105,False,inherited,0.66
N00050,EDR,baseline,partial,0.104,False,policy_engine,0.03
N00051,Firewall,baseline,partial,0.018,False,manual,0.09
N00051,IAMPolicy,legacy,enabled,0.25,False,policy_engine,0.41
N00052,IAMPolicy,moderate,enabled,0.329,True,policy_engine,0.99
N00052,Logging,legacy,disabled,0.301,True,policy_engine,0.11
N00053,WAF,strict,disabled,0.096,False,inherited,0.32
N00053,Hardening,moderate,partial,0.045,False,policy_engine,0.62
N00054,NetworkIsolation,baseline,disabled,0.276,True,inherited,0.35
N00055,NetworkIsolation,baseline,enabled,0.167,False,policy_engine,0.05
N00056,WAF,strict,partial,0.23,False,auto,0.91
N00056,IAMPolicy,legacy,disabled,0.338,True,inherited,0.86
N00056,IAMPolicy,baseline,disabled,0.28,True,auto,0.32
N00057,EDR,strict,enabled,0.034,False,manual,0.59
N00057,Hardening,baseline,partial,0.092,False,inherited,0.82
N00058,Logging,baseline,enabled,0.081,False,inherited,0.53
N00058,Hardening,strict,partial,0.333,True,inherited,0.44
N00059,WAF,baseline,enabled,0.193,False,manual,0.07
N00059,Logging,moderate,disabled,0.189,False,auto,0.97
N00060,Logging,moderate,disabled,0.307,True,manual,0.24
N00061,WAF,strict,enabled,0.196,False,manual,0.62
N00061,CloudPolicy,baseline,enabled,0.277,True,inherited,0.32
N00062,EDR,strict,disabled,0.25,False,auto,0.64
N00063,Firewall,baseline,partial,0.058,False,inherited,0.56
N00064,Hardening,strict,partial,0.001,False,policy_engine,0.23
N00064,EDR,legacy,enabled,0.077,False,policy_engine,0.08
N00064,Logging,baseline,enabled,0.153,False,inherited,0.5
N00065,Firewall,moderate,enabled,0.005,False,inherited,0.04
N00066,Hardening,moderate,partial,0.326,True,policy_engine,0.81
N00066,IAMPolicy,strict,disabled,0.11,False,inherited,0.03
N00067,NetworkIsolation,baseline,partial,0.034,False,policy_engine,0.65
N00067,Firewall,baseline,partial,0.29,True,policy_engine,0.83
N00067,Hardening,strict,disabled,0.309,True,manual,0.2
N00068,Firewall,moderate,partial,0.188,False,policy_engine,0.26
N00069,CloudPolicy,moderate,partial,0.274,True,manual,0.44
N00069,NetworkIsolation,moderate,enabled,0.05,False,auto,0.43
N00070,WAF,strict,disabled,0.175,False,inherited,0.06
N00071,WAF,moderate,partial,0.15,False,policy_engine,0.8
N00072,CloudPolicy,moderate,disabled,0.014,False,manual,0.32
N00072,IAMPolicy,strict,enabled,0.191,False,auto,0.59
N00073,Logging,legacy,disabled,0.196,False,auto,0.59
N00073,NetworkIsolation,legacy,disabled,0.257,True,policy_engine,0.38
N00074,IAMPolicy,baseline,partial,0.318,True,policy_engine,0.27
N00074,IAMPolicy,baseline,enabled,0.119,False,policy_engine,0.65
N00075,WAF,strict,partial,0.337,True,manual,0.2
N00075,Hardening,moderate,disabled,0.098,False,policy_engine,0.22
N00075,Logging,legacy,enabled,0.145,False,auto,0.43
N00076,Logging,legacy,enabled,0.299,True,auto,0.61
N00076,NetworkIsolation,baseline,partial,0.153,False,manual,0.85
N00076,Hardening,moderate,enabled,0.287,True,policy_engine,0.13
N00077,Hardening,baseline,disabled,0.212,False,policy_engine,0.35
N00077,Hardening,strict,partial,0.227,False,policy_engine,0.51
N00078,Logging,moderate,disabled,0.051,False,auto,0.9
N00078,IAMPolicy,strict,enabled,0.11,False,policy_engine,0.42
N00078,CloudPolicy,moderate,partial,0.257,True,policy_engine,0.01
N00079,Hardening,legacy,enabled,0.123,False,manual,0.07
N00079,Logging,baseline,disabled,0.052,False,policy_engine,0.29
N00080,Firewall,baseline,enabled,0.337,True,inherited,0.94
N00081,WAF,strict,partial,0.237,False,manual,0.46
N00082,EDR,moderate,disabled,0.056,False,auto,0.67
N00082,NetworkIsolation,baseline,enabled,0.191,False,manual,0.63
N00083,CloudPolicy,strict,disabled,0.064,False,manual,0.86
N00083,Logging,baseline,disabled,0.126,False,policy_engine,0.97
N00084,Hardening,legacy,enabled,0.035,False,manual,0.08
N00085,Firewall,baseline,partial,0.176,False,manual,0.81
N00085,Firewall,legacy,partial,0.14,False,manual,0.41
N00086,EDR,legacy,enabled,0.314,True,manual,0.04
N00087,IAMPolicy,strict,enabled,0.347,True,policy_engine,0.34
N00087,IAMPolicy,moderate,enabled,0.049,False,auto,0.82
N00088,Firewall,legacy,enabled,0.333,True,manual,0.16
N00088,Firewall,legacy,disabled,0.069,False,manual,0.32
N00089,Logging,baseline,enabled,0.295,True,inherited,0.99
N00090,WAF,legacy,enabled,0.009,False,policy_engine,0.29
N00090,Firewall,moderate,partial,0.263,True,inherited,0.75
N00090,WAF,baseline,disabled,0.298,True,auto,0.03
N00091,IAMPolicy,strict,partial,0.342,True,auto,0.58
N00091,IAMPolicy,legacy,disabled,0.28,True,manual,0.69
N00091,Firewall,strict,enabled,0.045,False,auto,0.09
N00092,NetworkIsolation,strict,disabled,0.091,False,policy_engine,0.79
N00093,Logging,moderate,partial,0.132,False,auto,0.44
N00093,Hardening,baseline,enabled,0.219,False,auto,0.29
N00094,Hardening,moderate,disabled,0.333,True,manual,0.37
N00095,NetworkIsolation,strict,partial,0.085,False,manual,0.9
N00095,Firewall,baseline,disabled,0.269,True,auto,0.04
N00095,CloudPolicy,baseline,disabled,0.157,False,policy_engine,0.71
N00096,Hardening,baseline,enabled,0.208,False,manual,0.73
N00096,Firewall,strict,enabled,0.305,True,policy_engine,0.55
N00097,NetworkIsolation,baseline,partial,0.162,False,policy_engine,0.74
N00097,EDR,legacy,disabled,0.267,True,policy_engine,0.05
N00098,CloudPolicy,legacy,disabled,0.247,False,policy_engine,0.55
N00099,Logging,moderate,partial,0.196,False,inherited,0.53
N00100,IAMPolicy,legacy,partial,0.234,False,manual,0.49
N00100,WAF,legacy,enabled,0.014,False,policy_engine,0.2
N00101,Logging,baseline,disabled,0.196,False,auto,0.19
N00101,CloudPolicy,baseline,enabled,0.242,False,inherited,0.64
N00101,IAMPolicy,legacy,enabled,0.344,True,auto,0.68
N00102,WAF,baseline,disabled,0.005,False,manual,0.03
N00102,WAF,legacy,disabled,0.333,True,auto,0.67
N00102,Hardening,baseline,disabled,0.288,True,manual,0.19
N00103,Firewall,strict,partial,0.095,False,policy_engine,0.63
N00104,CloudPolicy,legacy,disabled,0.336,True,policy_engine,0.37
N00104,NetworkIsolation,moderate,partial,0.043,False,auto,0.15
N00105,Firewall,strict,partial,0.136,False,manual,1.0
N00105,Logging,baseline,partial,0.236,False,auto,0.96
N00105,WAF,strict,partial,0.25,False,inherited,0.28
N00106,Firewall,moderate,partial,0.329,True,inherited,0.82
N00106,Hardening,legacy,disabled,0.338,True,manual,0.97
N00107,WAF,baseline,partial,0.042,False,manual,0.27
N00107,Logging,legacy,partial,0.234,False,auto,0.26
N00107,NetworkIsolation,baseline,disabled,0.331,True,manual,0.15
N00108,Logging,legacy,enabled,0.055,False,inherited,0.37
N00109,EDR,strict,partial,0.346,True,auto,0.4
N00109,EDR,moderate,disabled,0.197,False,manual,0.08
N00109,WAF,baseline,enabled,0.081,False,auto,0.72
N00110,Hardening,legacy,disabled,0.347,True,auto,0.03
N00110,Hardening,moderate,disabled,0.328,True,manual,0.34
N00111,Firewall,legacy,disabled,0.229,False,inherited,0.76
N00111,EDR,baseline,disabled,0.26,True,inherited,0.34
N00112,CloudPolicy,strict,partial,0.167,False,auto,0.11
N00113,Hardening,baseline,partial,0.011,False,manual,0.13
N00113,Firewall,baseline,enabled,0.169,False,inherited,0.77
N00114,CloudPolicy,strict,disabled,0.229,False,auto,0.78
N00114,IAMPolicy,strict,disabled,0.223,False,auto,0.97
N00114,Firewall,legacy,enabled,0.233,False,manual,0.86
N00115,EDR,strict,partial,0.18,False,inherited,0.62
N00115,EDR,legacy,enabled,0.322,True,policy_engine,0.45
N00116,WAF,moderate,disabled,0.065,False,manual,0.31
N00117,CloudPolicy,baseline,partial,0.113,False,inherited,0.42
N00117,Firewall,baseline,enabled,0.15,False,inherited,0.14
N00118,CloudPolicy,legacy,partial,0.268,True,policy_engine,0.94
N00118,CloudPolicy,strict,disabled,0.002,False,manual,0.62
N00119,EDR,moderate,disabled,0.053,False,policy_engine,0.82
N00119,IAMPolicy,strict,enabled,0.325,True,auto,0.15
N00120,NetworkIsolation,baseline,partial,0.049,False,inherited,0.43
N00120,NetworkIsolation,legacy,enabled,0.088,False,policy_engine,0.1
N00121,EDR,strict,disabled,0.026,False,inherited,0.69
N00121,CloudPolicy,legacy,partial,0.029,False,auto,0.37
N00121,NetworkIsolation,legacy,disabled,0.223,False,manual,0.23
N00122,WAF,strict,enabled,0.274,True,inherited,0.82
N00122,NetworkIsolation,legacy,enabled,0.231,False,policy_engine,0.15
N00123,WAF,baseline,partial,0.316,True,inherited,0.15
N00124,Firewall,moderate,disabled,0.198,False,auto,0.84
N00125,Firewall,strict,partial,0.178,False,auto,0.85
N00125,WAF,legacy,disabled,0.061,False,manual,0.13
N00125,IAMPolicy,strict,disabled,0.218,False,inherited,0.06
N00126,Logging,baseline,disabled,0.028,False,policy_engine,0.09
N00126,Logging,baseline,enabled,0.215,False,manual,0.06
N00126,WAF,strict,enabled,0.241,False,inherited,0.7
N00127,CloudPolicy,legacy,enabled,0.31,True,manual,0.09
N00128,Firewall,baseline,enabled,0.208,False,inherited,0.32
N00128,Hardening,moderate,enabled,0.197,False,manual,0.47
N00128,Logging,legacy,enabled,0.055,False,auto,0.91
N00129,Logging,baseline,partial,0.155,False,policy_engine,0.59
N00130,EDR,strict,partial,0.336,True,inherited,0.54
N00131,Logging,legacy,disabled,0.209,False,inherited,0.83
N00132,NetworkIsolation,baseline,enabled,0.185,False,manual,0.11
N00133,EDR,moderate,disabled,0.076,False,auto,0.07
N00133,Hardening,baseline,enabled,0.203,False,auto,0.72
N00134,IAMPolicy,strict,enabled,0.31,True,auto,0.44
N00134,NetworkIsolation,legacy,partial,0.331,True,auto,0.07
N00135,Logging,baseline,enabled,0.173,False,auto,0.12
N00136,EDR,moderate,partial,0.129,False,manual,0.7
N00136,Hardening,baseline,disabled,0.229,False,auto,0.28
N00136,EDR,baseline,partial,0.103,False,inherited,0.71
N00137,EDR,strict,disabled,0.042,False,auto,0.56
N00137,CloudPolicy,moderate,enabled,0.115,False,inherited,0.13
N00138,Hardening,moderate,enabled,0.253,True,policy_engine,0.13
N00139,IAMPolicy,legacy,partial,0.106,False,inherited,0.28
N00139,WAF,baseline,enabled,0.091,False,manual,0.13
N00139,EDR,moderate,disabled,0.021,False,auto,0.56
N00140,Logging,strict,partial,0.212,False,inherited,0.51
N00140,WAF,baseline,partial,0.31,True,auto,0.93
N00140,Hardening,legacy,partial,0.284,True,manual,0.11
N00141,Firewall,moderate,partial,0.132,False,manual,0.06
N00141,EDR,strict,partial,0.267,True,manual,0.56
N00141,WAF,moderate,partial,0.093,False,inherited,0.29
N00142,CloudPolicy,moderate,partial,0.34,True,manual,0.41
N00143,NetworkIsolation,baseline,partial,0.062,False,inherited,0.98
N00143,Firewall,baseline,partial,0.163,False,policy_engine,0.27
N00143,EDR,moderate,partial,0.154,False,auto,0.67
N00144,WAF,strict,enabled,0.307,True,manual,0.36
N00144,NetworkIsolation,moderate,partial,0.097,False,inherited,0.43
N00145,NetworkIsolation,strict,partial,0.336,True,auto,0.5
N00145,Hardening,baseline,partial,0.014,False,policy_engine,0.1
N00146,Firewall,strict,disabled,0.287,True,auto,0.29
N00146,IAMPolicy,baseline,enabled,0.094,False,inherited,0.06
N00146,Hardening,moderate,disabled,0.199,False,policy_engine,0.5
N00147,WAF,strict,enabled,0.13,False,inherited,0.48
N00147,NetworkIsolation,moderate,partial,0.243,False,auto,0.38
N00148,NetworkIsolation,strict,disabled,0.138,False,auto,0.93
N00148,NetworkIsolation,baseline,partial,0.324,True,inherited,0.93
N00149,Hardening,moderate,partial,0.258,True,manual,0.95
N00149,WAF,baseline,partial,0.337,True,inherited,0.18
N00150,Firewall,moderate,partial,0.151,False,manual,0.64
N00150,Hardening,strict,disabled,0.147,False,policy_engine,0.64
N00151,NetworkIsolation,legacy,enabled,0.192,False,policy_engine,0.21
N00152,Firewall,legacy,disabled,0.134,False,policy_engine,0.34
N00153,NetworkIsolation,baseline,disabled,0.004,False,policy_engine,0.59
N00153,EDR,legacy,partial,0.151,False,manual,0.38
N00154,IAMPolicy,moderate,partial,0.269,True,auto,0.94
N00154,NetworkIsolation,moderate,partial,0.231,False,policy_engine,0.85
N00155,CloudPolicy,baseline,disabled,0.228,False,auto,0.28
N00156,EDR,baseline,disabled,0.227,False,policy_engine,0.96
N00156,CloudPolicy,baseline,partial,0.272,True,auto,0.15
N00157,Firewall,legacy,disabled,0.223,False,policy_engine,0.48
N00157,WAF,legacy,disabled,0.026,False,policy_engine,0.9
N00157,Firewall,moderate,partial,0.031,False,auto,0.03
N00158,Hardening,baseline,enabled,0.16,False,manual,0.06
N00159,Logging,moderate,partial,0.226,False,policy_engine,0.86
N00159,Hardening,baseline,enabled,0.033,False,policy_engine,0.41
N00159,NetworkIsolation,legacy,enabled,0.108,False,inherited,0.68
N00160,Hardening,baseline,partial,0.219,False,policy_engine,0.87
N00160,Firewall,baseline,partial,0.138,False,policy_engine,0.29
N00161,Hardening,moderate,partial,0.286,True,policy_engine,0.72
N00162,Hardening,moderate,partial,0.116,False,policy_engine,0.69
N00163,WAF,moderate,enabled,0.151,False,inherited,0.86
N00163,Firewall,baseline,partial,0.095,False,policy_engine,0.31
N00163,NetworkIsolation,legacy,enabled,0.107,False,manual,0.79
N00164,Logging,moderate,disabled,0.164,False,auto,0.64
N00165,Logging,legacy,partial,0.008,False,auto,0.71
N00166,Firewall,legacy,partial,0.15,False,manual,0.17
N00166,IAMPolicy,moderate,disabled,0.009,False,inherited,0.27
N00167,NetworkIsolation,strict,enabled,0.106,False,policy_engine,0.52
N00168,Logging,legacy,disabled,0.222,False,manual,0.6
N00169,WAF,moderate,enabled,0.179,False,auto,0.98
N00169,IAMPolicy,moderate,enabled,0.199,False,policy_engine,0.49
N00170,Logging,moderate,enabled,0.072,False,inherited,0.51
N00170,CloudPolicy,legacy,enabled,0.186,False,auto,0.8
N00170,IAMPolicy,baseline,disabled,0.184,False,inherited,0.3
N00171,WAF,legacy,partial,0.028,False,manual,0.47
N00171,Logging,moderate,partial,0.261,True,inherited,0.69
N00171,WAF,baseline,disabled,0.151,False,auto,0.31
N00172,Firewall,baseline,enabled,0.233,False,auto,0.15
N00172,Hardening,strict,partial,0.307,True,manual,0.97
N00173,WAF,legacy,enabled,0.349,True,policy_engine,0.27
N00173,Logging,moderate,enabled,0.081,False,inherited,0.94
N00174,IAMPolicy,baseline,enabled,0.149,False,inherited,0.79
N00174,IAMPolicy,legacy,enabled,0.093,False,auto,0.51
N00175,NetworkIsolation,legacy,disabled,0.346,True,policy_engine,0.09
N00176,CloudPolicy,moderate,disabled,0.254,True,manual,0.48
N00176,Hardening,moderate,partial,0.162,False,auto,0.63
N00177,EDR,moderate,enabled,0.228,False,manual,0.06
N00177,NetworkIsolation,moderate,partial,0.15,False,inherited,0.95
N00178,WAF,moderate,partial,0.012,False,manual,0.07
N00178,EDR,strict,disabled,0.222,False,policy_engine,0.89
N00178,Firewall,baseline,disabled,0.014,False,inherited,0.21
N00179,Firewall,legacy,enabled,0.286,True,manual,0.79
N00179,Hardening,baseline,enabled,0.051,False,manual,0.02
N00180,EDR,moderate,disabled,0.101,False,auto,0.99
N00180,EDR,baseline,enabled,0.158,False,auto,0.79
N00180,CloudPolicy,strict,partial,0.253,True,inherited,0.15
N00181,NetworkIsolation,moderate,partial,0.109,False,auto,0.86
N00181,Hardening,legacy,enabled,0.045,False,auto,0.8
N00182,EDR,strict,enabled,0.176,False,policy_engine,0.93
N00182,WAF,baseline,partial,0.289,True,inherited,0.37
N00183,Firewall,baseline,disabled,0.128,False,manual,0.2
N00183,Firewall,legacy,disabled,0.063,False,auto,0.04
N00183,CloudPolicy,moderate,partial,0.349,True,policy_engine,0.25
N00184,Logging,strict,partial,0.311,True,policy_engine,0.71
N00184,Logging,moderate,disabled,0.111,False,policy_engine,0.22
N00184,Hardening,strict,enabled,0.162,False,auto,0.6
N00185,Firewall,baseline,disabled,0.3,True,auto,0.84
N00186,CloudPolicy,baseline,enabled,0.189,False,inherited,0.44
N00186,NetworkIsolation,legacy,enabled,0.056,False,auto,0.04
N00186,CloudPolicy,baseline,enabled,0.053,False,auto,0.93
N00187,Firewall,strict,enabled,0.041,False,policy_engine,0.8
N00187,Hardening,strict,disabled,0.079,False,policy_engine,0.82
N00188,Firewall,legacy,disabled,0.236,False,inherited,0.26
N00188,Hardening,strict,disabled,0.071,False,auto,0.8
N00189,Logging,moderate,disabled,0.339,True,inherited,0.93
N00190,WAF,legacy,disabled,0.024,False,auto,0.37
N00191,EDR,baseline,partial,0.013,False,inherited,0.11
N00191,NetworkIsolation,legacy,disabled,0.03,False,policy_engine,0.77
N00192,NetworkIsolation,legacy,partial,0.336,True,auto,0.79
N00193,NetworkIsolation,legacy,partial,0.088,False,auto,0.11
N00194,WAF,strict,enabled,0.166,False,policy_engine,0.38
N00194,Logging,moderate,enabled,0.241,False,inherited,0.28
N00194,Firewall,moderate,enabled,0.093,False,policy_engine,0.9
N00195,Logging,moderate,disabled,0.171,False,auto,0.1
N00195,Firewall,strict,partial,0.304,True,manual,0.67
N00196,CloudPolicy,moderate,enabled,0.069,False,policy_engine,0.89
N00196,EDR,strict,enabled,0.322,True,policy_engine,0.63
N00197,NetworkIsolation,legacy,partial,0.335,True,inherited,0.15
N00197,Logging,moderate,enabled,0.3,True,manual,0.72
N00197,IAMPolicy,moderate,disabled,0.185,False,policy_engine,0.35
N00198,WAF,baseline,enabled,0.017,False,inherited,0.85
N00198,EDR,legacy,partial,0.26,True,policy_engine,0.08
N00199,Hardening,moderate,partial,0.32,True,inherited,0.48
N00200,Hardening,moderate,enabled,0.322,True,policy_engine,0.16
N00200,Firewall,baseline,disabled,0.341,True,policy_engine,0.54
N00200,WAF,strict,disabled,0.269,True,manual,0.92
N00201,NetworkIsolation,strict,enabled,0.201,False,manual,0.1
N00202,NetworkIsolation,strict,disabled,0.099,False,manual,0.38
N00202,NetworkIsolation,legacy,enabled,0.232,False,auto,0.53
N00203,IAMPolicy,strict,partial,0.166,False,policy_engine,0.84
N00203,Logging,legacy,disabled,0.288,True,manual,0.41
N00204,IAMPolicy,strict,disabled,0.282,True,policy_engine,0.52
N00204,CloudPolicy,legacy,disabled,0.338,True,manual,0.93
N00204,Firewall,moderate,partial,0.315,True,manual,0.39
N00205,WAF,moderate,enabled,0.25,False,policy_engine,0.76
N00205,EDR,moderate,partial,0.251,True,policy_engine,0.78
N00206,NetworkIsolation,strict,partial,0.042,False,inherited,0.95
N00206,EDR,moderate,disabled,0.125,False,auto,0.63
N00207,Hardening,baseline,partial,0.349,True,policy_engine,0.53
N00207,WAF,legacy,disabled,0.095,False,auto,0.84
N00208,Logging,baseline,partial,0.028,False,manual,0.94
N00208,WAF,strict,disabled,0.286,True,manual,0.41
N00208,NetworkIsolation,baseline,partial,0.179,False,policy_engine,0.17
N00209,IAMPolicy,baseline,enabled,0.333,True,manual,0.76
N00209,CloudPolicy,legacy,disabled,0.1,False,manual,0.71
N00210,Firewall,legacy,disabled,0.209,False,auto,0.27
N00210,IAMPolicy,strict,partial,0.086,False,auto,0.94
N00211,NetworkIsolation,baseline,enabled,0.14,False,manual,0.72
N00211,CloudPolicy,baseline,enabled,0.236,False,manual,0.1
N00212,CloudPolicy,moderate,disabled,0.1,False,auto,0.65
N00212,CloudPolicy,baseline,disabled,0.259,True,manual,0.84
N00212,Hardening,moderate,disabled,0.282,True,policy_engine,0.81
N00213,WAF,strict,disabled,0.182,False,auto,0.39
N00213,NetworkIsolation,baseline,enabled,0.161,False,manual,0.19
N00214,Firewall,legacy,partial,0.084,False,auto,0.06
N00214,Firewall,moderate,disabled,0.233,False,policy_engine,0.78
N00214,Firewall,moderate,disabled,0.213,False,policy_engine,0.96
N00215,WAF,legacy,enabled,0.202,False,policy_engine,0.05
N00215,Logging,legacy,partial,0.149,False,manual,0.3
N00216,Logging,legacy,disabled,0.181,False,auto,0.97
N00216,WAF,baseline,partial,0.34,True,policy_engine,0.33
N00217,NetworkIsolation,moderate,disabled,0.338,True,manual,0.38
N00217,Logging,strict,disabled,0.306,True,manual,0.42
N00218,Logging,moderate,disabled,0.052,False,inherited,0.59
N00218,NetworkIsolation,legacy,partial,0.084,False,policy_engine,0.42
N00218,Logging,legacy,enabled,0.047,False,auto,0.17
N00219,WAF,legacy,disabled,0.005,False,auto,0.77
N00219,Hardening,baseline,partial,0.111,False,manual,0.05
N00220,IAMPolicy,baseline,disabled,0.178,False,inherited,0.63
N00220,WAF,strict,partial,0.121,False,auto,0.45
N00221,Logging,moderate,enabled,0.06,False,policy_engine,0.93
N00221,Hardening,strict,enabled,0.291,True,inherited,0.12
N00221,Firewall,legacy,disabled,0.046,False,inherited,0.67
N00222,IAMPolicy,moderate,partial,0.15,False,policy_engine,0.47
N00222,IAMPolicy,moderate,enabled,0.004,False,inherited,0.82
N00223,EDR,moderate,enabled,0.294,True,auto,0.15
N00223,NetworkIsolation,moderate,disabled,0.137,False,auto,0.44
N00224,IAMPolicy,strict,partial,0.122,False,auto,0.47
N00224,NetworkIsolation,moderate,partial,0.084,False,auto,0.99
N00225,Firewall,strict,disabled,0.166,False,auto,0.68
N00225,Logging,moderate,disabled,0.077,False,auto,0.93
N00225,Firewall,legacy,disabled,0.31,True,manual,0.94
